period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1325c792,growth1325c792,Y1538c608,Y1590c620,growth1590c620,Y1720c352,growth1720c352,Y1793c554,Y1818c688,growth1818c688,Y1903c251,growth1903c251,Y1986c826,growth1986c826,Y2135c124,growth2135c124,Y2136c268,growth2136c268,Y2159c203,Y2510c616,growth2510c616,Y2557c442,Y2714c68,growth2714c68,Y2716c300,growth2716c300,Y3129c208,growth3129c208,Y3134c440,growth3134c440,Y3470c208,growth3470c208,Y3534c616,growth3534c616,Y3614c152,growth3614c152,Y3681c498,Y3701c428,growth3701c428,Y3714c600,growth3714c600,Y3743c300,growth3743c300,Y3743c826,growth3743c826,Y4060c152,growth4060c152,Y4156c616,growth4156c616,Y428c344,Y4321c246,growth4321c246,Y4540c757,growth4540c757,Y4637c268,growth4637c268,Y4638c32,Y465c620,growth465c620,Y4699c428,Y4724c191,growth4724c191,Y473c124,growth473c124,Y4754c688,growth4754c688,Y4831c372,Y4837c705,growth4837c705,Y4840c616,growth4840c616,Y491c440,growth491c440,Y4928c372,growth4928c372,Y4957c32,Y4975c498,Y527c246,growth527c246,Y613c208,growth613c208,Y614c807,growth614c807,Y646c203,Y738c826,growth738c826,Y885c703,growth885c703,_merge,x,r2,s,sf
201001,841690,600,3862,1322030,01,0,0,0,0,0,0,0,0,0,0,0,867597,,566681,696913,,66028,,40342,55521,,48219368,,4558073,,507741,,7574,,60647,1118039,,671,70,,127815,,551485,,379175,,23017,,337110,,48539,,0,30016,,260516,,341776,,2779744,,127493,,960572,,1995604,219255,,28362,,693,,1207027,1048850,,757,12148,,1519268,,241038,,29624,22602,,31765,,408529,,801786,,3213340,72,186435,,58121,,50175,,339921,619743,,89729,,matched (3),,.83836871,,
201002,841690,601,3862,1064857,02,1,0,0,0,0,0,0,0,0,0,0,422885,-.7186269760131836,914542,1003928,.3650150299072266,39670,-.5094842910766602,3186,19105,-1.066811561584473,43694464,-.0985393524169922,3864081,-.1651763916015625,454229,-.1113700866699219,4643,-.4893608093261719,106560,960843,-.1515207290649414,137,4178,4.089093208312988,94750,-.299342155456543,655724,.1731252670288086,220995,-.5398569107055664,11864,-.662724494934082,202295,-.5106821060180664,57603,.1712064743041992,9622,25362,-.1684780120849609,134363,-.6621198654174805,234166,-.3781251907348633,2895772,.0408926010131836,189049,.3939447402954102,3931978,1.409369468688965,1432902,237135,.0783939361572266,30139,.0607700347900391,633,-.0905594825744629,734358,606264,-.5481338500976563,53,9593,-.2361307144165039,1501416,-.0118198394775391,105071,-.8303184509277344,25982,7118,-1.155411720275879,8881,-1.27445125579834,445563,.0867757797241211,622688,-.2527961730957031,5392963,1653,209342,.1158866882324219,59910,.0303163528442383,31395,-.4688682556152344,381860,833140,.2958965301513672,49482,-.5951852798461914,matched (3),2128879.5,.83836871,267401.84,451171.09
201003,841690,602,3862,1660900,03,0,1,0,0,0,0,0,0,0,0,0,1207640,1.049323081970215,604816,659793,-.4197502136230469,158287,1.383814811706543,5830,27001,.3459243774414063,49151968,.1176967620849609,4374186,.1239967346191406,668942,.3870964050292969,7186,.4367742538452148,158707,1525905,.4625320434570313,734,15539,1.313520431518555,224359,.8620061874389648,976424,.3981561660766602,463280,.7401914596557617,25377,.7603349685668945,348229,.5431327819824219,25461,-.8164262771606445,21660,29440,.1491022109985352,90465,-.3955812454223633,614766,.9652109146118164,2359942,-.2046146392822266,168544,-.1148090362548828,3568030,-.0971288681030273,1908016,295625,.2204618453979492,30308,.0055913925170898,316,-.6947283744812012,920608,1100412,.5961236953735352,385,79811,2.118627548217773,1898043,.2344150543212891,228497,.7768869400024414,81573,17945,.9246845245361328,36387,1.410297393798828,376080,-.1695375442504883,781728,.2274618148803711,7942253,2604,1446878,1.933194160461426,73074,.1986293792724609,52083,.506190299987793,598278,796769,-.0446367263793945,78049,.4557275772094727,matched (3),2031063,.83836871,252087.98,442266.84
201004,841690,603,3862,871904,04,0,0,1,0,0,0,0,0,0,0,0,1119231,-.0760269165039063,196621,729766,.1007976531982422,60835,-.9562444686889648,3177,19561,-.3223361968994141,31763096,-.4366130828857422,3409431,-.2491750717163086,507997,-.2752218246459961,5929,-.1922798156738281,76571,1283492,-.1730031967163086,188,9758,-.465266227722168,27003,-2.117300033569336,901373,-.0799770355224609,192349,-.8790206909179688,18985,-.2901945114135742,59798,-1.761887550354004,13070,-.6668281555175781,6140,19239,-.4254150390625,107694,.1743307113647461,151762,-1.398927688598633,2242786,-.0509185791015625,188134,.1099576950073242,3132910,-.1300516128540039,2166916,266760,-.1027421951293945,29247,-.0356349945068359,3268,2.336191177368164,574391,852652,-.2550878524780273,608,13594,-1.77003288269043,1652533,-.138514518737793,167629,-.3097696304321289,29761,10480,-.5378427505493164,31589,-.1414022445678711,500404,.285614013671875,695250,-.1172361373901367,10657212,878,333235,-1.468315124511719,61474,-.1728582382202148,21194,-.8991203308105469,576933,511276,-.4436550140380859,124423,.4663505554199219,matched (3),1425973.8,.83836871,244612.94,438049.19
201005,841690,604,3862,1097340,05,0,0,0,1,0,0,0,0,0,0,0,1049957,-.0638923645019531,142012,552359,-.2785253524780273,101960,.5164155960083008,2546,14625,-.2908058166503906,32456032,.0215816497802734,4089698,.1819257736206055,624235,.2060508728027344,16048,.9957284927368164,313355,1841208,.3608379364013672,766,6871,-.3507776260375977,22543,-.1805229187011719,1035172,.1384038925170898,259668,.3000926971435547,25695,.302647590637207,240576,1.392063140869141,69371,1.669149398803711,6553,18843,-.0207977294921875,215947,.6957387924194336,183409,.1894044876098633,2405575,.0700702667236328,322178,.5379495620727539,1409512,-.7987184524536133,1463978,275050,.0306034088134766,29935,.0232515335083008,4726,.368901252746582,1190304,322927,-.9709253311157227,1118,27691,.7114791870117188,1089222,-.4168453216552734,114643,-.3799304962158203,31030,14271,.3087606430053711,14543,-.7756996154785156,538355,.0731029510498047,568940,-.200495719909668,4194438,1482,429436,.2536249160766602,50851,-.1897153854370117,48570,.8292875289916992,468029,430327,-.1723642349243164,96539,-.2537403106689453,matched (3),1665275.4,.83836871,210512.72,419960.97
201006,841690,605,3862,1428287,06,0,0,0,0,1,0,0,0,0,0,0,1253368,.1770849227905273,142397,573593,.0377216339111328,330460,1.175904273986816,42629,30896,.747894287109375,46502996,.3596305847167969,4208984,.0287504196166992,655611,.0490407943725586,3157,-1.625961303710938,84046,1515243,-.1948461532592773,1428,7546,.0937080383300781,32263,.3584966659545898,1044427,.0089006423950195,273831,.0531072616577148,10901,-.8574419021606445,428603,.5774955749511719,4234,-2.796321868896484,1884,29718,.4556112289428711,166439,-.2604045867919922,226613,.2115259170532227,3643001,.4150190353393555,272221,-.1684894561767578,1595737,.1240921020507813,1409560,377834,.3175020217895508,27800,-.0739927291870117,5166,.089019775390625,895950,690532,.760035514831543,1316,13390,-.7265996932983398,1675727,.4307832717895508,212013,.6148252487182617,56463,4147,-1.235844612121582,31445,.7711305618286133,261247,-.7230520248413086,681893,.1810970306396484,9440702,3189,246657,-.554473876953125,63990,.229827880859375,38890,-.2222681045532227,600833,693607,.477360725402832,137525,.3538589477539063,matched (3),1717404,.83836871,231359.83,430788.78
201007,841690,606,3862,1736937,07,0,0,0,0,0,1,0,0,0,0,0,1260597,.0057516098022461,1187593,781683,.3095293045043945,37050,-2.188217163085938,3808,39397,.2430629730224609,49889656,.0702972412109375,4134029,-.0179691314697266,772234,.1637201309204102,3944,.2225732803344727,103261,1041181,-.3752202987670898,2326,5096,-.3925619125366211,73858,.8282232284545898,904237,-.1441326141357422,176585,-.4387092590332031,12497,.1366338729858398,403599,-.0601091384887695,33817,2.077816009521484,2454,37097,.2217836380004883,251094,.411198616027832,230110,.0153131484985352,2787935,-.2675065994262695,308932,.1265068054199219,1734973,.0836563110351563,1691303,372830,-.0133323669433594,30333,.0872001647949219,7339,.3511037826538086,1631967,927719,.2952671051025391,1778,10903,-.205470085144043,2265147,.3013925552368164,142433,-.3977766036987305,104182,8867,.7599515914916992,45912,.3784866333007813,309545,.1696367263793945,928975,.3092098236083984,14330431,1071,192976,-.2454328536987305,124856,.6684341430664063,129034,1.199337959289551,714186,701319,.0110569000244141,169682,.2101202011108398,matched (3),2507460.3,.83836871,192875.11,411402.97
201008,841690,607,3862,1256288,08,0,0,0,0,0,0,1,0,0,0,0,626066,-.699885368347168,570428,662101,-.1660308837890625,107347,1.063798904418945,2849,24949,-.4568557739257813,41972772,-.1727924346923828,3132583,-.2773942947387695,985777,.2441425323486328,5505,.333460807800293,16474,842981,-.2111663818359375,1586,2981,-.5361967086791992,53071,-.3305139541625977,1117808,.2120332717895508,305775,.5490474700927734,8624,-.3709392547607422,201918,-.6925601959228516,96152,1.044966697692871,621,41173,.1042461395263672,94898,-.9730243682861328,339165,.3879299163818359,4036343,.3700380325317383,337754,.0891962051391602,1578067,-.0947914123535156,2091294,267828,-.3307771682739258,18122,-.5151090621948242,2204,-1.202929019927979,1351873,949253,.0229463577270508,314,2240,-1.58256196975708,1963256,-.1430349349975586,131276,-.0815696716308594,51878,32510,1.299211502075195,14231,-1.171303749084473,92966,-1.202869415283203,939699,.0114774703979492,5273449,68,173043,-.1090259552001953,81688,-.4242544174194336,17550,-1.995021820068359,344347,622616,-.1190328598022461,149028,-.1297922134399414,matched (3),1250380.8,.83836871,223109.11,426414.44
201009,841690,608,3862,1883152,09,0,0,0,0,0,0,0,1,0,0,0,872159,.3315162658691406,598196,745549,.1187028884887695,60486,-.5736551284790039,4150,39378,.4563732147216797,45271208,.0756492614746094,4647048,.394373893737793,642670,-.4277992248535156,20637,1.321429252624512,208802,1784136,.7497444152832031,464,4763,.4686183929443359,116570,.7868614196777344,1064312,-.0490407943725586,524378,.539362907409668,25227,1.073365211486816,485937,.8782167434692383,30879,-1.13585376739502,1547,29946,-.3183870315551758,243676,.9430370330810547,402780,.1719036102294922,3130057,-.2542877197265625,496908,.3860874176025391,2715740,.5428638458251953,1648450,391526,.3797073364257813,32470,.5831899642944336,5587,.930168628692627,2465854,1009912,.0619430541992188,438,12843,1.746323108673096,2910512,.3937244415283203,278288,.7513551712036133,101762,59861,.6104774475097656,33516,.8565998077392578,577337,1.826191902160645,4031351,1.456296920776367,10821307,2081,249407,.3655462265014648,94836,.1492424011230469,35067,.6922063827514648,391372,528579,-.1637372970581055,183356,.2072954177856445,matched (3),2125299.8,.83836871,215626.09,422547.31
201010,841690,609,3862,815770,10,0,0,0,0,0,0,0,0,1,0,0,1394032,.4689836502075195,577975,771489,.0342016220092773,48221,-.2266168594360352,2721,31067,-.237060546875,42327248,-.0672397613525391,4260862,-.0867605209350586,606694,-.0576066970825195,4927,-1.432355880737305,25181,1721574,-.0356950759887695,264,4678,-.0180063247680664,71375,-.490544319152832,1051197,-.0123987197875977,345875,-.4161348342895508,11034,-.8269329071044922,265252,-.6053981781005859,39347,.2423439025878906,904,33625,.1158742904663086,204546,-.1750469207763672,273187,-.3882341384887695,2595598,-.1872348785400391,410389,-.1912994384765625,2325441,-.1551551818847656,1852835,282359,-.3268728256225586,28393,-.1341743469238281,61,-4.517323970794678,1725450,261312,-1.351902961730957,6604,20445,.4649391174316406,1701398,-.5368785858154297,82654,-1.213994026184082,110451,1886,-3.45756721496582,31560,-.0601320266723633,477506,-.1898488998413086,972002,-1.42249870300293,4219044,1185,305317,.2022638320922852,150782,.4636859893798828,34893,-.004974365234375,340838,618111,.1564750671386719,139345,-.2744760513305664,matched (3),2105009.8,.83836871,167137.92,399983.38
