period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1090c376,Y1239c32,Y1243c826,growth1243c826,Y1377c218,Y1503c348,growth1503c348,Y1528c440,growth1528c440,Y1600c300,growth1600c300,Y1721c757,growth1721c757,Y1753c600,growth1753c600,Y1757c688,growth1757c688,Y1835c792,growth1835c792,Y1854c600,growth1854c600,Y1914c703,growth1914c703,Y2010c203,Y2049c352,growth2049c352,Y2061c124,growth2061c124,Y2118c348,growth2118c348,Y2148c222,growth2148c222,Y2481c688,growth2481c688,Y2504c381,Y2754c705,growth2754c705,Y2758c757,growth2758c757,Y2884c152,growth2884c152,Y2912c616,growth2912c616,Y3033c484,growth3033c484,Y3069c554,Y307c124,growth307c124,Y3144c352,growth3144c352,Y3179c620,growth3179c620,Y3313c300,growth3313c300,Y3428c620,growth3428c620,Y3492c586,growth3492c586,Y3844c642,Y3900c616,growth3900c616,Y3900c757,growth3900c757,Y411c124,growth411c124,Y4165c300,growth4165c300,Y4271c757,growth4271c757,Y4275c251,growth4275c251,Y4410c826,growth4410c826,Y4479c428,growth4479c428,Y4761c600,growth4761c600,Y4821c222,growth4821c222,Y4931c268,growth4931c268,Y4932c616,growth4932c616,Y5034c757,growth5034c757,Y505c757,growth505c757,Y596c484,growth596c484,Y619c440,growth619c440,Y705c428,growth705c428,_merge,x,r2,s,sf
201001,901420,600,4732,18912,01,0,0,0,0,0,0,0,0,0,0,0,135000,70882,1442154,,1146650,1673933,,40782,,2725503,,579921,,114084,,188139,,66774,,33950,,192799,,234752,641,,6178018,,571,,1332,,85965,,216887,359501,,464990,,264799,,38871,,1645260,,121819,3025211,,29762,,39022,,41311,,2583700,,7328,,545064,12732814,,8725426,,585651,,74545,,10628529,,5254554,,5031894,,23163,,286958,,35018,,257551,,1104254,,231091,,370370,,93603,,149525,,98411,,matched (3),,.88721007,,
201002,901420,601,4732,44466,02,1,0,0,0,0,0,0,0,0,0,0,147000,105097,1575114,.0881900787353516,2301018,1945784,.1504888534545898,3191,-2.547906875610352,1902624,-.3594188690185547,530761,-.0885801315307617,115219,.0098991394042969,223408,.171818733215332,253237,1.333012580871582,63604,.6277875900268555,285810,.3936796188354492,485163,15276,3.171008586883545,6299496,.0194721221923828,1888,1.195884227752686,1455,.0883240699768066,113140,.2746858596801758,247590,360661,.0032215118408203,564391,.1937313079833984,676855,.9384851455688477,13890,-1.029079437255859,1904121,.1461219787597656,543074,3818561,.2328929901123047,94990,1.160539627075195,214652,1.704892158508301,88072,.7570257186889648,2345831,-.096583366394043,8491,.1473045349121094,777484,13537577,.0612869262695313,9696334,.1055078506469727,877351,.4041833877563477,38590,-.6584100723266602,12791260,.1852207183837891,4843914,-.0813722610473633,3853982,-.2666893005371094,11049,-.7402162551879883,84897,-1.217897415161133,44467,.2388849258422852,287347,.1094732284545898,1140463,.0322647094726563,141716,-.4889869689941406,333830,-.1038703918457031,165389,.5692377090454102,132744,-.1190414428710938,114720,.1533412933349609,matched (3),83381.023,.88721007,146948.38,183650.42
201003,901420,602,4732,201022,03,0,1,0,0,0,0,0,0,0,0,0,178000,182105,1865258,.1690711975097656,4652478,1870654,-.0393772125244141,2517,-.2372665405273438,2566596,.2993459701538086,761607,.361119270324707,115811,.0051250457763672,307536,.3195924758911133,124418,-.7106790542602539,105520,.5062246322631836,319209,.1105184555053711,685706,25567,.515019416809082,6536618,.0369501113891602,3833,.7081294059753418,5465,1.323358058929443,133091,.1624069213867188,361468,379494,.0509004592895508,447128,-.2329025268554688,143657,-1.550027847290039,18377,.2799310684204102,2222457,.1545934677124023,267747,2973882,-.2500057220458984,95336,.003636360168457,323706,.4108171463012695,80740,-.0869207382202148,3248524,.3255615234375,49937,1.771755218505859,663517,14860626,.0932445526123047,14973248,.4345169067382813,1057390,.1866512298583984,21204,-.5988025665283203,14833697,.1481380462646484,6198375,.2465648651123047,5495962,.3549070358276367,18502,.5155391693115234,436354,1.637015342712402,50181,.1208896636962891,230083,-.2222509384155273,1462360,.2486171722412109,249461,.5654783248901367,554849,.5080633163452148,90776,-.5999050140380859,133603,.0064496994018555,198282,.5471963882446289,matched (3),45077.793,.88721007,157103.88,191873.09
201004,901420,603,4732,75503,04,0,0,1,0,0,0,0,0,0,0,0,168000,112245,1469913,-.2381954193115234,2201805,1635015,-.1346359252929688,4473,.5749912261962891,2273048,-.1214590072631836,704490,-.0779571533203125,114390,-.0123453140258789,214451,-.3605108261108398,106284,-.1575326919555664,54287,-.6646156311035156,274831,-.1496896743774414,533761,634,-3.697008609771729,4956796,-.2766599655151367,1944,-.6788997650146484,6465,.1680393218994141,122569,-.0823583602905273,79400,373519,-.0158700942993164,294519,-.4175014495849609,415935,1.06309986114502,18690,.0168886184692383,1804708,-.2082147598266602,213591,3622165,.19720458984375,18056,-1.66392993927002,264787,-.2009096145629883,121206,.4062576293945313,2186379,-.3959541320800781,17645,-1.040309906005859,0,12757842,-.1525688171386719,10305633,-.3735752105712891,1016027,-.0399036407470703,50963,.8769092559814453,12922934,-.1378974914550781,5253123,-.1654644012451172,5802906,.0543451309204102,14148,-.268305778503418,325654,-.2926177978515625,52995,.054560661315918,128124,-.5854415893554688,1123753,-.2633781433105469,202723,-.2074623107910156,415780,-.288538932800293,173312,.6466989517211914,119163,-.1143798828125,116876,-.5285768508911133,matched (3),-291430.81,.88721007,99726.023,148589.81
201005,901420,604,4732,56504,05,0,0,0,1,0,0,0,0,0,0,0,264000,118300,1468300,-.0010986328125,2511303,1521021,-.0722694396972656,11186,.9166040420532227,2220421,-.0234241485595703,467559,-.4099483489990234,97572,-.1590232849121094,170497,-.2293643951416016,419144,1.372099876403809,24096,-.8122396469116211,186260,-.389012336730957,824510,97,-1.87733793258667,4769809,-.0384531021118164,50,-3.66048002243042,2694,-.8753762245178223,72295,-.5279197692871094,259942,414101,.1031417846679688,265699,-.1029796600341797,913191,.7864160537719727,9545,-.671971321105957,1763729,-.0229682922363281,347129,5216271,.364710807800293,167004,2.224539756774902,231236,-.1354866027832031,75403,-.474644660949707,1619538,-.3001060485839844,12216,-.367706298828125,175484,10952354,-.1525917053222656,10675680,.0352783203125,794551,-.2458782196044922,19667,-.9521570205688477,12501693,-.0331382751464844,4886617,-.0723228454589844,4149541,-.3353614807128906,13445,-.0509653091430664,183714,-.5724554061889648,46442,-.131993293762207,87741,-.3786087036132813,1127730,.0035333633422852,156418,-.2593088150024414,368111,-.1217718124389648,131414,-.2767410278320313,115844,-.0282478332519531,123465,.0548439025878906,matched (3),-1153.1644,.88721007,166151.45,199348.83
201006,901420,605,4732,75316,06,0,0,0,0,1,0,0,0,0,0,0,154000,154209,1808421,.2083492279052734,3132343,2159973,.3507137298583984,40677,1.290999412536621,2127429,-.0427827835083008,496633,.0603256225585938,122687,.2290458679199219,339043,.6874094009399414,458864,.0905399322509766,60321,.9176349639892578,271620,.3772602081298828,391433,14168,4.984030723571777,5621670,.1643218994140625,2747,4.006241798400879,1832,-.3856186866760254,156437,.7718982696533203,225087,503688,.1958465576171875,322013,.1922283172607422,232693,-1.36722469329834,17957,.631962776184082,2086004,.1678199768066406,399895,6004226,.1406803131103516,46162,-1.285861015319824,73582,-1.145038604736328,65857,-.1353616714477539,2168258,.291783332824707,13137,.0726861953735352,257045,12788085,.1549606323242188,12556073,.1622352600097656,465441,-.5347919464111328,27344,.329554557800293,13111199,.0476016998291016,5800936,.1715192794799805,5986875,.366572380065918,18237,.304844856262207,157833,-.1518430709838867,57510,.2137546539306641,88228,.0055351257324219,1338643,.1714496612548828,236028,.4114189147949219,275170,-.2909955978393555,149037,.1258420944213867,133024,.1382846832275391,129482,.0475845336914063,matched (3),387954.69,.88721007,108225.48,154422.81
201007,901420,606,4732,93373,07,0,0,0,0,0,1,0,0,0,0,0,221000,99363,1422610,-.2399606704711914,2164298,1536617,-.3405132293701172,6400,-1.849364280700684,1518881,-.3369407653808594,599645,.1884870529174805,76646,-.4704389572143555,316628,-.0683994293212891,190894,-.8770360946655273,46170,-.2673501968383789,493673,.5974693298339844,653682,32930,.8433980941772461,5617324,-.0007734298706055,3833,.3331379890441895,664,-1.014881610870361,114342,-.3134593963623047,398245,511971,.0163106918334961,637059,.6822700500488281,637530,1.007881164550781,20828,.1483182907104492,2340040,.1149177551269531,280540,8944805,.3986101150512695,49241,.0645694732666016,154037,.7387924194335938,317845,1.574078559875488,2157300,-.0050668716430664,30765,.8509454727172852,452502,12187068,-.0481395721435547,11733021,-.0677967071533203,595164,.2458524703979492,41797,.4243278503417969,13460531,.0262947082519531,8060757,.3289880752563477,6739287,.1183843612670898,13738,-.2832870483398438,303026,.6522808074951172,67444,.1593389511108398,237878,.9918327331542969,1122910,-.1757335662841797,85012,-1.021158218383789,200628,-.3159370422363281,109476,-.3084897994995117,146627,.0973625183105469,145599,.117314338684082,matched (3),270678.44,.88721007,101824.98,150006.61
201008,901420,607,4732,407345,08,0,0,0,0,0,0,1,0,0,0,0,179000,202440,1954331,.3175544738769531,2560033,1656197,.0749416351318359,32843,1.635440826416016,1989574,.2699470520019531,561457,-.0658025741577148,156670,.7149438858032227,347287,.0924243927001953,193742,.0148096084594727,80873,.5605497360229492,331959,-.3968620300292969,568037,13868,-.8648004531860352,5768933,.0266323089599609,1843,-.7322530746459961,4943,2.007445812225342,133939,.1581907272338867,254937,436821,-.1587438583374023,528240,-.1873111724853516,853194,.2913856506347656,86883,1.428263664245606,2597783,.1044902801513672,275798,8771452,-.0195713043212891,56505,.1376028060913086,68676,-.8077926635742188,23422,-2.607888221740723,2200957,.0200347900390625,30811,.0014934539794922,206791,11807583,-.0316333770751953,11895324,.0137386322021484,799310,.2949113845825195,34083,-.2040262222290039,11464575,-.1604995727539063,10503338,.2646856307983398,5059148,-.2867565155029297,17466,.2400903701782227,588353,.6635093688964844,74656,.101593017578125,321985,.3027477264404297,1458198,.2612781524658203,672462,2.068153381347656,453805,.8162155151367188,156515,.3574466705322266,110999,-.2783708572387695,146668,.0073146820068359,matched (3),73769.398,.88721007,97020.75,146787.88
201009,901420,608,4732,64195,09,0,0,0,0,0,0,0,1,0,0,0,132000,188055,1605305,-.1967344284057617,2325002,1951018,.1638269424438477,9640,-1.225817680358887,1955272,-.0173912048339844,498132,-.1196708679199219,136773,-.1358194351196289,441779,.2406578063964844,314788,.4853715896606445,78679,-.0275039672851563,261744,-.2376441955566406,502102,15873,.135035514831543,5414532,-.0634012222290039,5981,1.177193641662598,3725,-.2829055786132813,182029,.3067817687988281,490784,562732,.2532796859741211,623554,.1658840179443359,1416322,.5068321228027344,27509,-1.150049209594727,3317204,.2444639205932617,392981,3188174,-1.012053489685059,16778,-1.214260101318359,245495,1.273876190185547,220752,2.243364334106445,2835592,.2533588409423828,6795,-1.511684417724609,724503,17732322,.406646728515625,11874377,-.0017623901367188,539423,-.3932485580444336,20084,-.5288753509521484,16416450,.3590221405029297,7782223,-.2998514175415039,4434392,-.1318073272705078,21274,.1972293853759766,180266,-1.182893753051758,61621,-.1918878555297852,135664,-.864323616027832,1308074,-.1086454391479492,87944,-2.034245491027832,485819,.0681686401367188,125167,-.2235031127929688,143663,.2579498291015625,119310,-.2064456939697266,matched (3),479964.56,.88721007,90059.758,142282.86
201010,901420,609,4732,41334,10,0,0,0,0,0,0,0,0,1,0,0,149000,121261,1126519,-.3541812896728516,1706936,1790990,-.0855827331542969,5359,-.5871438980102539,1903444,-.0268650054931641,627234,.2304553985595703,93003,-.3856906890869141,679779,.4309587478637695,94607,-1.202167510986328,66856,-.1628351211547852,319367,.1989736557006836,641430,18836,.1711502075195313,5727064,.056117057800293,5086,-.1620960235595703,1357,-1.009790420532227,106325,-.5376653671264648,391228,507025,-.104243278503418,960307,.4318180084228516,579106,-.8943338394165039,45263,.4979772567749023,2355726,-.3422737121582031,348924,7282510,.8260269165039063,54513,1.178370475769043,402447,.4942865371704102,43734,-1.618914604187012,3117178,.0946769714355469,12409,.6022348403930664,327608,13732209,-.2556438446044922,10968001,-.0794010162353516,473545,-.1302528381347656,10451,-.6532258987426758,13985545,-.1602592468261719,7029603,-.1017112731933594,4439021,.0010433197021484,26083,.2037982940673828,188809,.0463018417358398,48878,-.2316751480102539,109199,-.2170095443725586,1367993,.0447893142700195,140468,.4682788848876953,374895,-.259190559387207,87037,-.3633155822753906,116959,-.2056474685668945,96890,-.2081489562988281,matched (3),365203.44,.88721007,110448.46,155988.83
