period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1316c300,growth1316c300,Y1467c208,growth1467c208,Y1514c826,growth1514c826,Y1684c251,growth1684c251,Y1747c208,growth1747c208,Y1764c300,growth1764c300,Y1803c251,growth1803c251,Y1808c300,growth1808c300,Y1818c251,growth1818c251,Y191c381,Y2000c348,growth2000c348,Y2121c300,growth2121c300,Y2150c246,growth2150c246,Y2217c620,growth2217c620,Y2308c381,Y2310c792,growth2310c792,Y2518c620,growth2518c620,Y2563c251,growth2563c251,Y2570c124,growth2570c124,Y2614c32,Y2643c251,growth2643c251,Y2654c620,growth2654c620,Y2799c792,growth2799c792,Y2963c251,growth2963c251,Y2972c352,growth2972c352,Y3013c752,growth3013c752,Y3120c268,growth3120c268,Y3134c251,growth3134c251,Y3372c757,growth3372c757,Y3433c620,growth3433c620,Y3462c620,growth3462c620,Y3594c352,growth3594c352,Y3721c381,Y3827c705,growth3827c705,Y3827c826,growth3827c826,Y3852c792,growth3852c792,Y3901c616,growth3901c616,Y404c208,growth404c208,Y4067c381,Y4085c300,growth4085c300,Y4152c372,Y4206c300,growth4206c300,Y4340c792,growth4340c792,Y4352c68,growth4352c68,Y4755c246,growth4755c246,Y4802c688,growth4802c688,Y4927c752,growth4927c752,Y4941c191,growth4941c191,Y4954c352,growth4954c352,Y872c705,growth872c705,_merge,x,r2,s,sf
201001,901480,600,4733,1245431,01,0,0,0,0,0,0,0,0,0,0,0,2743697,,61803,,2281823,,15300265,,5679,,857743,,314021,,67653,,1773094,,10192447,430020,,2026811,,7407396,,94998,,261979,935505,,2252,,2121391,,685709,,59078,3138286,,104762,,3881,,30521090,,10531,,151374,,53153,,4974595,,1911483,,541510,,4654162,,144018,,497303,130516,,7704630,,5574803,,603456,,454136,,4394970,156697,,12617,19551724,,1222935,,41450,,5407255,,42668,,208967,,375226,,443339,,248049,,matched (3),,.89506137,,
201002,901480,601,4733,651842,02,1,0,0,0,0,0,0,0,0,0,0,707328,-1.35556697845459,70898,.1372909545898438,2048398,-.1079158782958984,14166589,-.0769844055175781,17174,1.106621742248535,757139,-.1247577667236328,224888,-.333857536315918,147640,.7803859710693359,1767752,-.0030174255371094,8983428,240378,-.5816192626953125,1716641,-.1660947799682617,6335804,-.1562623977661133,58347,-.4874477386474609,240023,715937,-.2674951553344727,5076,.8127050399780273,1305222,-.4856986999511719,495427,-.3250331878662109,74411,3055868,-.0266132354736328,111253,.0601158142089844,809,-1.568049430847168,28209896,-.0787448883056641,48181,1.520641326904297,197191,.2644186019897461,22779,-.8473358154296875,4179404,-.1741752624511719,1756589,-.0845060348510742,279960,-.6597146987915039,3955499,-.1626548767089844,87897,-.4937725067138672,490308,141121,.0781221389770508,8293478,.0736474990844727,6019917,.0768165588378906,1105021,.6049461364746094,358926,-.2352800369262695,4002425,215473,.3185214996337891,7119,16681326,-.1587734222412109,1458150,.1759147644042969,19658,-.7460031509399414,6753955,.222386360168457,36437,-.1578645706176758,156877,-.2867136001586914,346341,-.0801048278808594,347923,-.2423543930053711,271294,.0895767211914063,matched (3),827089.75,.89506137,1197193.5,1599264.3
201003,901480,602,4733,992596,03,0,1,0,0,0,0,0,0,0,0,0,2303905,1.180866241455078,96739,.3107738494873047,2346109,.1357002258300781,16389984,.1457843780517578,6402,-.986785888671875,1313167,.5506505966186523,306935,.3110332489013672,199879,.3029346466064453,1590796,-.1054744720458984,9499352,241228,.0035295486450195,2975638,.5500888824462891,8740953,.321803092956543,51303,-.1286582946777344,301579,1303522,.5992336273193359,3016,-.5205926895141602,2036742,.4449787139892578,522985,.0541324615478516,115875,3087953,.0104446411132813,170734,.4282999038696289,7736,2.257841110229492,28560132,.0123386383056641,117230,.8891735076904297,92144,-.7608203887939453,30815,.3021631240844727,5569350,.2871103286743164,2341080,.2872390747070313,386742,.3231105804443359,5292965,.2912712097167969,36708,-.8731708526611328,625124,295275,.7382888793945313,10163823,.2033662796020508,7391858,.2053050994873047,1248168,.1218128204345703,488817,.3088722229003906,5240817,383094,.575444221496582,15062,15367399,-.0820426940917969,1752867,.1840839385986328,91916,1.542390823364258,7204486,.0645761489868164,90027,.9045248031616211,333046,.7528181076049805,468291,.3016653060913086,721472,.7293128967285156,305333,.118199348449707,matched (3),2313961,.89506137,1311528.1,1686558.5
201004,901480,603,4733,928274,04,0,0,1,0,0,0,0,0,0,0,0,840153,-1.008776664733887,45036,-.7645540237426758,1903652,-.208984375,16382842,-.0004348754882813,3821,-.5160989761352539,706210,-.6202850341796875,116352,-.9700155258178711,134332,-.3973979949951172,2142725,.2978439331054688,7480330,205138,-.1620588302612305,2077979,-.3590621948242188,8211318,-.0625057220458984,153018,1.092805862426758,261544,946764,-.3197755813598633,1309,-.8346676826477051,2165692,.0613880157470703,522749,-.0004510879516602,81127,2690845,-.1376533508300781,256202,.4058589935302734,1635,-1.554242134094238,23974442,-.1750240325927734,24020,-1.585250854492188,94203,.022099494934082,65147,.7486438751220703,4745950,-.1599874496459961,2150979,-.0846900939941406,516920,.290130615234375,4440878,-.1755256652832031,58441,.4650230407714844,538185,274434,-.0731964111328125,9714335,-.0452327728271484,6723743,-.0947341918945313,1047342,-.1754217147827148,383929,-.2415313720703125,5015995,295036,-.2611827850341797,6967,11049017,-.3299064636230469,977964,-.5835351943969727,40861,-.810699462890625,6580808,-.0905466079711914,37209,-.8835582733154297,232919,-.3575897216796875,399549,-.1587533950805664,472884,-.4224433898925781,269996,-.1229953765869141,matched (3),-2187088,.89506137,1352981.6,1718991.9
201005,901480,604,4733,1112284,05,0,0,0,1,0,0,0,0,0,0,0,795336,-.0548191070556641,82034,.5996713638305664,1918131,.0075769424438477,12913812,-.2379379272460938,21777,1.740342140197754,1050456,.3970670700073242,514999,1.487545013427734,163754,.1980514526367188,2092798,-.0235767364501953,9793666,216690,.0547847747802734,2248791,.0789966583251953,5913638,-.3282527923583984,212350,.3276805877685547,282234,1345338,.3513507843017578,1428,.0870113372802734,1879399,-.1417875289916992,590709,.1222219467163086,139416,2940028,.0885639190673828,279077,.0855216979980469,3968,.8866195678710938,23536572,-.0184326171875,34211,.3536605834960938,123026,.2669439315795898,36890,-.5687055587768555,4783559,.0078935623168945,2194908,.0202169418334961,578875,.1131982803344727,4567080,.0280218124389648,262073,1.500605583190918,410484,125671,-.7810430526733398,11747213,.1900138854980469,7782962,.1462926864624023,2308270,.7902431488037109,407181,.0588006973266602,5133096,250636,-.1630954742431641,9785,7757119,-.3537302017211914,940842,-.0386972427368164,53807,.2752275466918945,6896125,.0468025207519531,39541,.0607872009277344,159233,-.3803224563598633,536355,.2944602966308594,499330,.0544166564941406,258930,-.0418491363525391,matched (3),147218.78,.89506137,1490498.6,1829196.5
201006,901480,605,4733,1666886,06,0,0,0,0,1,0,0,0,0,0,0,1794969,.8139781951904297,166090,.7053956985473633,2540371,.2809591293334961,15099572,.1563682556152344,5017,-1.468022346496582,1229255,.1571846008300781,572794,.1063613891601563,183937,.1162281036376953,3251764,.4406957626342773,10031490,227589,.0490732192993164,1804270,-.2202367782592773,6631153,.1145181655883789,253515,.1771869659423828,406997,1712174,.2411184310913086,55039,3.651767253875732,2050390,.0870780944824219,893667,.4140100479125977,200334,2558681,-.1389274597167969,348654,.2225923538208008,13149,1.198083877563477,27645786,.1609172821044922,43690,.2445716857910156,164112,.2881536483764648,61040,.5035886764526367,5513434,.142003059387207,2303425,.0482578277587891,505016,-.1364965438842773,5994311,.2719364166259766,265717,.0138082504272461,665031,196167,.4452991485595703,11653386,-.0080204010009766,7439469,-.0451374053955078,1450985,-.4642562866210938,426882,.0472497940063477,6282396,224513,-.1100683212280273,20197,8397520,.0793256759643555,1301928,.3248262405395508,149496,1.021865844726563,7468231,.0796985626220703,77066,.6673240661621094,161317,.0130033493041992,582185,.0819921493530273,534695,.0684299468994141,275209,.0609722137451172,matched (3),4686481,.89506137,1498126.1,1835417
201007,901480,606,4733,1047684,07,0,0,0,0,0,1,0,0,0,0,0,1559886,-.1403751373291016,54767,-1.109441757202148,2509932,-.012054443359375,14901937,-.0131740570068359,3386,-.3931827545166016,1049052,-.1585216522216797,218673,-.9629487991333008,184530,.0032186508178711,2999670,-.0806951522827148,7288264,185846,-.2026233673095703,2024310,.1150732040405273,6570090,-.009251594543457,185867,-.3103914260864258,326572,893925,-.649897575378418,6555,-2.127814292907715,1637117,-.2250938415527344,361747,-.904388427734375,242898,2419156,-.0560731887817383,125358,-1.022906303405762,1369,-2.262265682220459,27545096,-.0036487579345703,7359,-1.781195640563965,82790,-.6842422485351563,39758,-.4287176132202148,4595450,-.1821212768554688,2908547,.2332563400268555,614941,.1969366073608398,5397928,-.1047954559326172,265955,.0008955001831055,346570,174769,-.1155014038085938,10367120,-.1169567108154297,5291335,-.3407297134399414,2222768,.4265108108520508,358786,-.1737813949584961,6911677,122045,-.6095438003540039,0,7692745,-.0876588821411133,1168179,-.1084003448486328,95412,-.4490652084350586,5567168,-.2937717437744141,43217,-.5784282684326172,124140,-.2619619369506836,450079,-.2573652267456055,515668,-.0362339019775391,266381,-.0326032638549805,matched (3),-1562849.9,.89506137,1292079.6,1671479.4
201008,901480,607,4733,650494,08,0,0,0,0,0,0,1,0,0,0,0,38272,-3.707649230957031,64956,.1706228256225586,2008497,-.2228689193725586,12179490,-.2017383575439453,2900,-.1549382209777832,619458,-.5267972946166992,159573,-.3150758743286133,63705,-1.063549041748047,2645422,-.12567138671875,6467910,179295,-.0358858108520508,1484662,-.3100414276123047,8307128,.2345867156982422,62990,-1.08205509185791,47412,675819,-.2796964645385742,24331,1.3115234375,1639736,.0015993118286133,542405,.4050674438476563,140921,1460131,-.5048923492431641,99285,-.2331790924072266,125720,4.51997709274292,24420508,-.1204013824462891,20088,1.004199028015137,67805,-.1996707916259766,44555,.1139125823974609,5690775,.2137794494628906,1713187,-.5292987823486328,584171,-.0513324737548828,4107715,-.2731485366821289,66398,-1.387660026550293,220764,215855,.2111415863037109,11576906,.1103725433349609,5163102,-.0245323181152344,881073,-.9253673553466797,369109,.0283660888671875,2932122,145999,.1792106628417969,4041,6782067,-.1259956359863281,534629,-.7816286087036133,40343,-.8607864379882813,5480722,-.0156497955322266,35617,-.1934108734130859,163079,.2728252410888672,444863,-.0116567611694336,520179,.0087099075317383,222469,-.1801395416259766,matched (3),702961.94,.89506137,1086107.9,1517894.6
201009,901480,608,4733,1423501,09,0,0,0,0,0,0,0,1,0,0,0,2364587,4.123640060424805,54630,-.1731271743774414,2440319,.1947422027587891,17651150,.3710479736328125,7206,.9102034568786621,767996,.2149391174316406,489018,1.119897842407227,113592,.5783500671386719,3259646,.2087879180908203,8271950,264515,.3888654708862305,1918534,.256373405456543,8988641,.0788478851318359,237909,1.328911781311035,291611,671299,-.0067100524902344,62526,.9438314437866211,1670158,.0183830261230469,481620,-.1188573837280273,196380,3171874,.7757968902587891,312706,1.147269248962402,43912,-1.05186939239502,25351480,.03741455078125,29482,.3836574554443359,116711,.5430641174316406,55328,.2165555953979492,5744399,.0093793869018555,2671548,.4443025588989258,511084,-.1336603164672852,5458272,.2842655181884766,104686,.4552984237670898,583029,191524,-.119593620300293,12140921,.0475692749023438,5230552,.0129785537719727,1539163,.5578527450561523,437030,.1689090728759766,7092859,310663,.7551088333129883,27890,9981372,.386439323425293,2072967,1.35516357421875,105294,.9593381881713867,6299984,.1393098831176758,51333,.3655109405517578,339371,.7328586578369141,486125,.0886993408203125,985135,.638606071472168,273358,.2059946060180664,matched (3),2051238.3,.89506137,905812.5,1394586
201010,901480,609,4733,799268,10,0,0,0,0,0,0,0,0,1,0,0,1681690,-.3408041000366211,56936,.0413446426391602,3385379,.327336311340332,18988804,.0730476379394531,4350,-.5047378540039063,1042859,.3059368133544922,286014,-.5363588333129883,142166,.2243824005126953,1754260,-.6195716857910156,6847622,314197,.1721229553222656,1788363,-.0702600479125977,8088485,-.1055202484130859,229754,-.0348787307739258,107438,689654,.0269746780395508,31952,-.6713476181030273,1387407,-.1854820251464844,1282566,.9794626235961914,182158,3203828,.0100231170654297,256247,-.1991214752197266,120979,1.013428688049316,26022856,.0261383056640625,40939,.328303337097168,113538,-.0275630950927734,68551,.2142982482910156,5616612,-.0224971771240234,2997174,.1150121688842773,933216,.6021032333374023,5452314,-.0010919570922852,51614,-.7071723937988281,714306,276957,.3688488006591797,6241657,-.6653356552124023,6896834,.2765464782714844,1029712,-.4019594192504883,456975,.0446271896362305,8344217,158871,-.6706161499023438,1929,13466749,.2995014190673828,1326567,-.4463863372802734,129827,.209446907043457,7073462,.1158027648925781,32584,-.4545125961303711,271297,-.2238798141479492,462042,-.0508098602294922,1134305,.140995979309082,360369,.2763462066650391,matched (3),1565936.3,.89506137,1078863.1,1512719.3
