period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1166c203,Y1233c616,growth1233c616,Y1276c826,growth1276c826,Y1322c616,growth1322c616,Y137c246,growth137c246,Y1459c36,Y1486c752,growth1486c752,Y1502c440,growth1502c440,Y1505c218,Y1508c792,growth1508c792,Y1823c152,growth1823c152,Y1911c600,Y1924c792,growth1924c792,Y2052c688,growth2052c688,Y2095c348,growth2095c348,Y2117c68,growth2117c68,Y2441c208,growth2441c208,Y2523c807,growth2523c807,Y2668c705,growth2668c705,Y2941c344,Y2954c246,growth2954c246,Y3117c440,growth3117c440,Y3197c152,growth3197c152,Y3216c792,growth3216c792,Y3479c826,growth3479c826,Y3523c705,growth3523c705,Y3695c807,growth3695c807,Y3742c68,growth3742c68,Y3918c68,growth3918c68,Y4019c620,growth4019c620,Y4084c586,growth4084c586,Y4085c208,growth4085c208,Y412c348,growth412c348,Y4231c268,Y4247c251,growth4247c251,Y4388c32,Y4569c440,growth4569c440,Y4837c440,Y4892c36,Y4966c233,Y4981c152,growth4981c152,Y526c124,growth526c124,Y540c268,Y545c222,growth545c222,Y550c642,Y620c233,Y652c428,growth652c428,Y699c703,growth699c703,Y719c440,growth719c440,Y983c586,growth983c586,_merge,x,r2,s,sf
201001,901490,600,4734,91427,01,0,0,0,0,0,0,0,0,0,0,0,64314,179871,,6848760,,79126,,23916,,1693021,874625,,86666,,254441,185770,,84855,,123,914989,,68116,,1683280,,165,,398827,,28946,,456721,,49266,84877,,111444,,208778,,4668457,,3011086,,35740,,8160,,16620,,5910,,437885,,3438567,,566397,,7192,,376,984345,,47279880,32174,,940,145659,9205,108374,,46113,,30800,3033,,13859031,169484,222699,,52285,,1298832,,158834,,matched (3),,.83343625,,
201002,901490,601,4734,201557,02,1,0,0,0,0,0,0,0,0,0,0,121996,234809,.2665319442749023,6283116,-.0862016677856445,50947,-.4402561187744141,12617,-.6395025253295898,1788194,1165711,.2872915267944336,106063,.2019720077514648,594222,249028,.293055534362793,137411,.4820318222045898,5038,2429128,.9763755798339844,81256,.1763925552368164,2051304,.1977310180664063,15,-2.397895336151123,354683,-.1173038482666016,141705,1.588315010070801,444780,-.0264930725097656,18758,130822,.4326353073120117,151955,.3100614547729492,450918,.770014762878418,6869550,.3862695693969727,3427308,.1294746398925781,16619,-.7657241821289063,16776,.7207059860229492,37497,.8136539459228516,6805,.1410112380981445,715302,.490748405456543,2738010,-.2278242111206055,734053,.2592859268188477,22333,1.133095741271973,28320,802557,-.2041730880737305,63216916,24908,-.2559700012207031,11689,145881,34780,101568,-.0648603439331055,35107,-.2726945877075195,45846,11090,1.296491622924805,4443684,256464,237745,.0653772354125977,97651,.624690055847168,1022765,-.2389554977416992,140358,-.1236629486083984,matched (3),-1160465.9,.83343625,401774.5,447330.59
201003,901490,602,4734,216166,03,0,1,0,0,0,0,0,0,0,0,0,152876,346122,.3880186080932617,8309400,.2795209884643555,47792,-.0639276504516602,26913,.7575645446777344,2098846,1200689,.0295648574829102,154655,.3771629333496094,284778,253479,.0177154541015625,91771,-.4036798477172852,1914,3733465,.429804801940918,122742,.412480354309082,2134174,.0396041870117188,354,3.161246776580811,364051,.0260696411132813,148037,.0437145233154297,553837,.2192907333374023,29225,166346,.2402315139770508,171556,.1213254928588867,489386,.0818653106689453,7293287,.0598554611206055,4114613,.182769775390625,86193,1.646042823791504,11197,-.4043035507202148,42843,.1332817077636719,11031,.4830522537231445,1175909,.4970922470092773,5610342,.7173805236816406,765481,.0419235229492188,53351,.8708276748657227,41129,554796,-.3692026138305664,63474864,78259,1.144835472106934,13301,173547,42607,3202,-3.456952095031738,61475,.5602302551269531,0,10657,-.0398263931274414,156441,249639,239571,.0076513290405273,116190,.1738271713256836,1350525,.2779836654663086,165624,.1655235290527344,matched (3),-1674725.8,.83343625,450406.06,491474.84
201004,901490,603,4734,394385,04,0,0,1,0,0,0,0,0,0,0,0,29497,300882,-.1400728225708008,10245749,.2094764709472656,57023,.1765966415405273,69412,.9474496841430664,0,1313767,.0900030136108398,166185,.0719051361083984,377003,125961,-.6993083953857422,91166,-.0066146850585938,1488,3787258,.0143051147460938,111494,-.0961141586303711,1596763,-.2901010513305664,1193,1.214929580688477,386517,.0598821640014648,111931,-.2795791625976563,388914,-.3535118103027344,32081,145648,-.1328763961791992,225717,.2743721008300781,1021440,.7358179092407227,12141997,.5097169876098633,4983186,.1915245056152344,31504,-1.006474494934082,21275,.6418867111206055,54992,.2496452331542969,57351,1.648480415344238,1634633,.329376220703125,3464771,-.4819650650024414,792140,.0342340469360352,69961,.2710447311401367,41423,887027,.4692754745483398,66894160,165842,.751011848449707,11361,0,83838,4496,.339411735534668,69010,.1156206130981445,66610,12619,.1689863204956055,0,376287,240616,.0043525695800781,93814,-.2139129638671875,1667565,.2108707427978516,201358,.1953649520874023,matched (3),-1419657.4,.83343625,448269.59,489517.63
201005,901490,604,4734,315864,05,0,0,0,1,0,0,0,0,0,0,0,154235,263860,-.1312990188598633,8257336,-.2157611846923828,43504,-.2706022262573242,20320,-1.228453636169434,0,986205,-.2867898941040039,85153,-.6686515808105469,301679,302529,.8762044906616211,105622,.1471853256225586,3672,4004984,.0558977127075195,72156,-.4351406097412109,2101703,.2747688293457031,875,-.3100028038024902,305053,-.2366905212402344,117418,.0478572845458984,299151,-.2624101638793945,56659,91792,-.4616680145263672,207685,-.0832586288452148,798665,-.2460269927978516,10668160,-.1294078826904297,4437313,-.1160211563110352,28839,-.0883865356445313,7369,-1.060251235961914,45477,-.1899805068969727,4387,-2.570544242858887,824382,-.684539794921875,3144021,-.0971441268920898,606854,-.2664499282836914,27315,-.9405021667480469,28326,414290,-.7613096237182617,66540824,56737,-1.072608947753906,2549,0,79007,13313,1.085553169250488,85651,.216029167175293,48203,11104,-.1278982162475586,11993177,231760,220707,-.0863666534423828,364921,1.358366966247559,445552,-1.319805145263672,115093,-.5593442916870117,matched (3),-1810298.8,.83343625,447077.09,488425.88
201006,901490,605,4734,379606,06,0,0,0,0,1,0,0,0,0,0,0,121693,395071,.4036464691162109,9557097,.1461811065673828,18262,-.8680305480957031,62232,1.119263648986816,0,1168927,.1699771881103516,110241,.2582187652587891,273033,193430,-.447260856628418,218550,.7271480560302734,8758,5863030,.3811264038085938,227289,1.147392272949219,1659152,-.2364406585693359,893,.0203628540039063,717655,.855504035949707,204531,.5549793243408203,313911,.048161506652832,25842,46411,-.6819887161254883,282522,.3077335357666016,1151983,.366297721862793,15083789,.3463573455810547,4019981,-.0987710952758789,8855,-1.180746078491211,22737,1.126711845397949,71493,.452392578125,11982,1.004759788513184,863239,.0460577011108398,5063940,.4766426086425781,680119,.1139793395996094,23145,-.1656570434570313,9187,485135,.1578607559204102,69561792,31308,-.5945529937744141,37435,0,92225,34605,.9552574157714844,89595,.0450191497802734,342,8235,-.2989120483398438,21642784,186878,308175,.333831787109375,256752,-.3515701293945313,2237597,1.61384391784668,149816,.263667106628418,matched (3),-1390368.6,.83343625,479129.59,517925.72
201007,901490,606,4734,310724,07,0,0,0,0,0,1,0,0,0,0,0,65105,233841,-.5244245529174805,8589749,-.1067142486572266,74676,1.408336639404297,36558,-.5319690704345703,2442496,1784859,.423253059387207,172893,.4500045776367188,415795,110009,-.5643539428710938,131144,-.5107192993164063,1173,5791292,-.0123109817504883,89149,-.9359130859375,1156798,-.3606510162353516,383,-.8465518951416016,550753,-.2647027969360352,140298,-.3769502639770508,441399,.3408393859863281,31957,40890,-.1266508102416992,233439,-.1908359527587891,702874,-.4940624237060547,9681519,-.4434013366699219,2854624,-.3423376083374023,51625,1.763023376464844,19460,-.1556320190429688,22109,-1.173614501953125,19194,.4711923599243164,1255367,.3744916915893555,6820207,.2977447509765625,485814,-.3364419937133789,63533,1.009780883789063,16372,431724,-.1166400909423828,61083072,289950,2.225834846496582,16872,152740,12957,65839,.643214225769043,100886,.1186914443969727,36077,8604,.0438337326049805,5786544,202739,183190,-.5201435089111328,225446,-.1300296783447266,2778222,.2164077758789063,277878,.6177749633789063,matched (3),-1671967.9,.83343625,440377.72,482301.19
201008,901490,607,4734,226389,08,0,0,0,0,0,0,1,0,0,0,0,62880,125980,-.6185178756713867,9953619,.1473674774169922,35024,-.7571249008178711,54682,.4026346206665039,2563033,1279263,-.3330554962158203,110644,-.4463558197021484,269164,227531,.7267246246337891,198078,.4123649597167969,1156,5668013,-.0215167999267578,59141,-.4103851318359375,1336485,.1443872451782227,14026,3.600633144378662,338778,-.4859418869018555,123991,-.1235599517822266,182405,-.8837194442749023,25640,9307,-1.480118751525879,285646,.2018327713012695,922051,.27142333984375,5565772,-.5535831451416016,2203519,-.2588844299316406,27932,-.6142330169677734,9104,-.7596473693847656,35845,.4832191467285156,106974,1.717988014221191,852979,-.3864479064941406,4524241,-.4104394912719727,520394,.0687599182128906,45362,-.3368844985961914,136193,225495,-.6494884490966797,54712176,209398,-.3254718780517578,4672,245676,3738,38668,-.5321998596191406,96015,-.0494871139526367,32612,8565,-.0045433044433594,3251628,481167,303136,.503657341003418,184361,-.2011852264404297,1984348,-.3365201950073242,195143,-.353449821472168,matched (3),-1304184.6,.83343625,385484.66,432758.97
201009,901490,608,4734,330013,09,0,0,0,0,0,0,0,1,0,0,0,111542,196556,.44482421875,8708632,-.1336221694946289,63615,.5968151092529297,112148,.7182846069335938,2694962,1334396,.0421953201293945,156386,.3460102081298828,411988,324067,.353663444519043,220990,.1094570159912109,4752,4097072,-.3245658874511719,121805,.7224969863891602,1845032,.322453498840332,1845,-2.028433322906494,736131,.7760629653930664,163371,.2758150100708008,566318,1.132925987243652,36133,41521,1.495432853698731,397374,.3301248550415039,1226013,.2849216461181641,12742717,.8283233642578125,3342236,.4165849685668945,29410,.0515623092651367,7381,-.2098045349121094,114359,1.160138130187988,11712,-2.211972236633301,929256,.0856494903564453,4036266,-.1141300201416016,655590,.2309494018554688,45955,.0129880905151367,1718,357392,.4605350494384766,62719252,416177,.6868734359741211,21620,264559,11228,231978,1.791629791259766,94098,-.020167350769043,16180,8453,-.0131626129150391,41899424,181152,253955,-.1770248413085938,242227,.272979736328125,2236253,.119511604309082,171841,-.1271629333496094,matched (3),-860548.44,.83343625,428084.66,471103.34
201010,901490,609,4734,598401,10,0,0,0,0,0,0,0,0,1,0,0,163498,197226,.0034027099609375,9498961,.0868673324584961,60980,-.0423030853271484,59368,-.6360645294189453,2872910,1544165,.1460046768188477,149606,-.0443229675292969,507836,241215,-.2952613830566406,182745,-.1900262832641602,7414,6177829,.4106941223144531,138819,.1307497024536133,2641180,.358729362487793,1191,-.4376859664916992,722686,-.0184326171875,152695,-.0675821304321289,781396,.3219261169433594,42011,80061,.6565895080566406,800162,.6999359130859375,1783309,.3747034072875977,5276874,-.8816251754760742,3341019,-.0003643035888672,55957,.6432485580444336,32160,1.471814155578613,138516,.1916437149047852,54494,1.537476539611816,2022355,.7776336669921875,5021817,.2184715270996094,693836,.0567007064819336,31240,-.3859634399414063,15387,535048,.4035234451293945,52187928,568133,.3112449645996094,36994,210029,5003,114916,-.7024412155151367,181359,.6561412811279297,11178,21276,.9230585098266602,20433800,250646,304344,.1810016632080078,212805,-.1294994354248047,2340758,.0456724166870117,200022,.1518573760986328,matched (3),-729773,.83343625,357216.94,407781.63
