period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1480c372,growth1480c372,Y1489c826,growth1489c826,Y1492c428,growth1492c428,Y1575c152,growth1575c152,Y1669c792,growth1669c792,Y1730c807,growth1730c807,Y2003c191,growth2003c191,Y200c705,Y2148c616,growth2148c616,Y2540c616,growth2540c616,Y2621c705,growth2621c705,Y2715c68,growth2715c68,Y2715c792,growth2715c792,Y2729c757,growth2729c757,Y2740c68,growth2740c68,Y2821c381,Y2848c620,growth2848c620,Y2877c208,growth2877c208,Y2884c124,growth2884c124,Y3208c688,growth3208c688,Y3210c246,growth3210c246,Y3439c246,growth3439c246,Y3443c688,growth3443c688,Y3552c233,Y3577c268,growth3577c268,Y3729c757,growth3729c757,Y3793c152,growth3793c152,Y37c246,growth37c246,Y3800c348,growth3800c348,Y3908c251,growth3908c251,Y3977c152,growth3977c152,Y405c807,growth405c807,Y4105c372,growth4105c372,Y4138c68,growth4138c68,Y4198c348,growth4198c348,Y4209c372,growth4209c372,Y4277c191,growth4277c191,Y4286c705,growth4286c705,Y4338c348,growth4338c348,Y4363c251,growth4363c251,Y4489c792,growth4489c792,Y4685c381,Y4699c757,growth4699c757,Y4882c68,growth4882c68,Y4890c792,growth4890c792,Y4935c642,Y4995c124,growth4995c124,Y5010c246,growth5010c246,Y532c703,growth532c703,Y868c372,growth868c372,_merge,x,r2,s,sf
201001,901520,600,4736,291009,01,0,0,0,0,0,0,0,0,0,0,0,623750,,315395,,154906,,456038,,388113,,786504,,37805,,191262,2635290,,1043822,,19739,,1498,,301,,492414,,1043,,6019102,579030,,7820,,2265041,,338089,,105340,,52556,,57827,,7905,42194,,265325,,36330,,328,,71677,,27583966,,198478,,112498,,20042,,7906,,13887526,,654643,,238657,,39218,,3111744,,936570,,1723629,,509089,13143,,3152,,44654,,682832,56206,,6921,,874025,,13496,,matched (3),,.80423963,,
201002,901520,601,4736,566531,02,1,0,0,0,0,0,0,0,0,0,0,553568,-.1193647384643555,518195,.496525764465332,160924,.0381135940551758,488950,.0696840286254883,792662,.7140998840332031,958731,.1980133056640625,22630,-.5131645202636719,229982,1599544,-.4992752075195313,2053056,.6764402389526367,12883,-.4266872406005859,732,-.7161059379577637,732,.8886699676513672,606090,.2077093124389648,1439,.3218474388122559,9797411,793443,.3150272369384766,40136,1.635589599609375,1924687,-.1628293991088867,343754,.0166168212890625,149569,.3505649566650391,88551,.5216989517211914,75160,.2621631622314453,19088,235555,1.719666481018066,357799,.299015998840332,2052084,4.033967018127441,6172,2.934764862060547,53601,-.2906017303466797,29978348,.0832405090332031,356038,.5843591690063477,133745,.172999382019043,69301,1.240629196166992,3090,-.9394502639770508,14051682,.0117511749267578,714450,.0874223709106445,208428,-.1354341506958008,17030,-.8341588973999023,3343677,.0718879699707031,584142,-.4720802307128906,1425475,-.1899271011352539,588562,38465,1.073859214782715,1275,-.9050912857055664,84205,.6343097686767578,1045091,65865,.1585836410522461,37071,1.678274154663086,1048710,.1822071075439453,157510,2.457095146179199,matched (3),322992.38,.80423963,132364.63,222262.94
201003,901520,602,4736,1098316,03,0,1,0,0,0,0,0,0,0,0,0,707553,.2454280853271484,427148,-.1932210922241211,428345,.9789962768554688,55984,-2.167194366455078,736907,-.0729351043701172,1176967,.2050857543945313,48412,.7604713439941406,367884,2202898,.3200559616088867,1276726,-.4750299453735352,25636,.6880884170532227,5465,2.01033878326416,11593,2.76237678527832,1041883,.5417566299438477,7815,1.692096710205078,9716208,772179,-.027165412902832,18350,-.7826442718505859,2398506,.2200822830200195,377666,.0940837860107422,154412,.0318670272827148,104405,.1646995544433594,114758,.4232063293457031,71338,155743,-.4137372970581055,453683,.2374277114868164,190612,-2.376371383666992,60609,2.284420013427734,152196,1.043601036071777,37294832,.2183799743652344,207442,-.5401859283447266,174081,.2635860443115234,780623,2.421632766723633,13007,1.437315940856934,23208672,.5017852783203125,1255581,.5638408660888672,265011,.240178108215332,58879,1.240508079528809,4849187,.371739387512207,1292670,.7943210601806641,2309363,.4824666976928711,713231,17149,-.8078088760375977,4095,1.166820526123047,79040,-.0633001327514648,1865004,67528,.0249347686767578,31847,-.1518917083740234,1172362,.1114597320556641,250646,.4645528793334961,matched (3),121590.46,.80423963,205019.31,271870.06
201004,901520,603,4736,711082,04,0,0,1,0,0,0,0,0,0,0,0,661276,-.0676412582397461,396211,-.0751838684082031,283307,-.4133977890014648,218449,1.361486434936523,817294,.1035375595092773,625007,-.6329336166381836,45316,-.0660877227783203,217477,1885713,-.1554679870605469,1950418,.4237442016601563,19639,-.2664794921875,1075,-1.626043319702148,48924,1.439866065979004,390561,-.981201171875,5461,-.3584136962890625,4477703,736556,-.0472307205200195,34793,.6397867202758789,2306297,-.0392026901245117,369328,-.0223245620727539,147941,-.042811393737793,138435,.2821226119995117,315917,1.012654304504395,14816,106451,-.3805217742919922,343980,-.2768154144287109,20737,-2.218320846557617,3312,-2.906890869140625,118336,-.2516412734985352,33317184,-.1127815246582031,362661,.5586166381835938,167983,-.0356578826904297,152923,-1.630157470703125,5599,-.8428993225097656,13901251,-.5125484466552734,1025713,-.2022104263305664,223967,-.1682729721069336,49175,-.1800994873046875,4025622,-.186131477355957,824426,-.4497785568237305,1425025,-.4827823638916016,546940,21162,.2102680206298828,22483,1.70299243927002,49960,-.4587306976318359,0,59979,-.1185474395751953,11799,-.9929285049438477,1051593,-.1087141036987305,358389,.3575773239135742,matched (3),1150456.9,.80423963,141140.17,227598.27
201005,901520,604,4736,609348,05,0,0,0,1,0,0,0,0,0,0,0,510848,-.2580995559692383,319672,-.2146511077880859,248460,-.1312484741210938,357355,.4921770095825195,918070,.1162748336791992,583740,-.0683069229125977,46423,.024134635925293,188928,3085496,.492405891418457,2047160,.0484104156494141,22688,.1443185806274414,3435,1.161696434020996,2125,-3.136496067047119,316341,-.2107639312744141,1808,-1.105410099029541,2179416,655991,-.1158380508422852,5074,-1.925286293029785,2456343,.0630302429199219,283846,-.2632541656494141,138436,-.0664052963256836,64590,-.7623405456542969,177392,-.577117919921875,58524,76360,-.3322257995605469,309878,-.1044044494628906,49362,.8672618865966797,60207,2.900236129760742,62970,-.6308689117431641,25235050,-.2778396606445313,125432,-1.061704635620117,144211,-.1525850296020508,304409,.6884374618530273,6829,.1985902786254883,14519078,.0434856414794922,680489,-.4103317260742188,228800,.0213499069213867,46494,-.0560617446899414,3269885,-.2079248428344727,484179,-.5322322845458984,1325719,-.0722341537475586,1012767,7370,-1.054789543151856,8724,-.946681022644043,163281,1.184249877929688,1049903,81189,.3027849197387695,11856,.0048198699951172,919769,-.1339387893676758,158394,-.816533088684082,matched (3),628600.38,.80423963,125662.9,218338.22
201006,901520,605,4736,564033,06,0,0,0,0,1,0,0,0,0,0,0,749206,.3829421997070313,430325,.2972450256347656,231575,-.070378303527832,185980,-.6530904769897461,701317,-.2693138122558594,601887,.030613899230957,42083,-.0981512069702148,250095,3575875,.1474981307983398,1644577,-.2189702987670898,17172,-.2785558700561523,11246,1.185995101928711,16246,2.034075260162354,298281,-.0587844848632813,10018,1.712162494659424,2935600,641534,-.0222854614257813,2197,-.8370370864868164,2283442,-.0729894638061523,313733,.1001110076904297,81324,-.5319671630859375,320681,1.602386474609375,168281,-.0527267456054688,15723,76498,.001805305480957,323936,.0443668365478516,380859,2.043248176574707,36695,-.495147705078125,94800,.4091110229492188,32962308,.2671298980712891,100026,-.2263336181640625,142211,-.0139656066894531,201588,-.4121456146240234,11,-6.43103837966919,18958688,.2667980194091797,270463,-.9226760864257813,185543,-.2095623016357422,51394,.1001977920532227,2513063,-.2632522583007813,1167792,.8804149627685547,985222,-.2968435287475586,603275,22552,1.118405342102051,3503,-.9124584197998047,98839,-.5019807815551758,812236,72188,-.1175060272216797,49402,1.427156448364258,1107233,.1854963302612305,26415,-1.791153907775879,matched (3),1078559.8,.80423963,166927.7,244428.47
201007,901520,606,4736,537805,07,0,0,0,0,0,1,0,0,0,0,0,610780,-.2042779922485352,572233,.2850055694580078,213662,-.0805082321166992,73673,-.9260025024414063,552801,-.2379617691040039,716132,.1737947463989258,12549,-1.210002899169922,232303,2959469,-.1892004013061523,2160270,.2727499008178711,25435,.3928461074829102,9542,-.1643085479736328,63541,1.363838195800781,419194,.3402976989746094,6789,-.3890800476074219,2279235,825823,.2525186538696289,1112,-.6809325218200684,2137900,-.0658597946166992,372001,.170353889465332,152661,.6297788619995117,83135,-1.349980354309082,189341,.117915153503418,38935,41975,-.6001901626586914,332976,.0275249481201172,315934,-.1868953704833984,19180,-.6487722396850586,61859,-.4269123077392578,30461938,-.0788860321044922,125220,.2246417999267578,117480,-.1910438537597656,54904,-1.300640106201172,7633,6.542340755462647,17603172,-.0741825103759766,1104229,1.406766891479492,327276,.5675172805786133,44291,-.1487398147583008,3086638,.2055797576904297,699875,-.511967658996582,1057524,.0708189010620117,777975,29605,.2721195220947266,35897,2.327033996582031,52384,-.6348905563354492,714263,60134,-.1826982498168945,66178,.2923574447631836,1351589,.1994171142578125,65882,.9139328002929688,matched (3),835763.06,.80423963,102683.09,205971.44
201008,901520,607,4736,396085,08,0,0,0,0,0,0,1,0,0,0,0,562646,-.0820856094360352,398616,-.3615474700927734,271976,.2413177490234375,215054,1.071252822875977,882520,.4677829742431641,651077,-.0952367782592773,86835,1.934369087219238,332626,2313618,-.2461977005004883,1654779,-.266566276550293,5896,-1.461852073669434,8991,-.0594797134399414,1906,-3.506678581237793,547122,.2663383483886719,4187,-.4833192825317383,1807559,855375,.0351591110229492,42578,3.645177364349365,2337506,.0892601013183594,338645,-.0939435958862305,174809,.1354742050170898,68436,-.1945667266845703,84420,-.8077459335327148,21514,37789,-.1050567626953125,369522,.1041393280029297,29547,-2.369551658630371,19903,.0370016098022461,46909,-.2766475677490234,30025572,-.0144290924072266,425818,1.223939895629883,96968,-.1918869018554688,126556,.8350982666015625,14372,.6328010559082031,21989212,.22247314453125,628891,-.5629444122314453,226772,-.3668584823608398,10939,-1.398447036743164,2057366,-.4056558609008789,647933,-.0771150588989258,1008593,-.0473737716674805,435354,21574,-.3164539337158203,14652,-.8960771560668945,80066,.4242496490478516,535991,46131,-.2650899887084961,19684,-1.212541580200195,1422620,.0512189865112305,86453,.2717361450195313,matched (3),515858.06,.80423963,130015.9,220872.25
201009,901520,608,4736,921675,09,0,0,0,0,0,0,0,1,0,0,0,676827,.1847648620605469,468277,.1610612869262695,283319,.0408601760864258,286320,.2862205505371094,684014,-.2548027038574219,715730,.0946750640869141,40058,-.773681640625,254022,2601323,.1172084808349609,2157049,.2650737762451172,15071,.9384975433349609,41913,1.539372444152832,18013,2.246087074279785,468106,-.1559772491455078,4156,-.0074310302734375,3376525,1086625,.2392921447753906,134952,1.153581619262695,2729806,.155146598815918,350387,.0340852737426758,1219180,1.942239761352539,138033,.7015933990478516,228567,.9960250854492188,12607,169835,1.502809524536133,479030,.2595529556274414,254030,2.151470184326172,48533,.8913736343383789,57479,.2032098770141602,37722680,.2282123565673828,270545,-.4535732269287109,79000,-.2049331665039063,58743,-.767512321472168,19057,.2821521759033203,27608508,.2275714874267578,1348856,.7630538940429688,208769,-.0827169418334961,58310,1.673439025878906,3002272,.3779430389404297,1189209,.6072568893432617,1468638,.3757791519165039,890341,17954,-.1836757659912109,20857,.3531131744384766,129502,.4808454513549805,675132,51048,.1012811660766602,8263,-.8680191040039063,1379294,-.0309286117553711,92074,.0629911422729492,matched (3),1245066.4,.80423963,301630.03,350515.47
201010,901520,609,4736,326784,10,0,0,0,0,0,0,0,0,1,0,0,675989,-.0012388229370117,778982,.5089282989501953,243377,-.1519622802734375,106178,-.9919929504394531,738286,.0763530731201172,563454,-.2392168045043945,80597,.6991329193115234,244098,2472832,-.0506563186645508,1542901,-.3350763320922852,24893,.5018148422241211,5135,-2.099516868591309,4058,-1.490403175354004,212713,-.7887506484985352,2505,-.5062646865844727,2492024,869278,-.2231693267822266,84841,-.4641399383544922,2280723,-.1797380447387695,509284,.3739681243896484,159760,-2.032260894775391,79588,-.5506296157836914,100093,-.8257293701171875,16537,119967,-.3476104736328125,412141,-.1503973007202148,17970,-2.648748397827148,40218,-.1879291534423828,3488,-2.802091598510742,33738844,-.1116123199462891,191423,-.3459529876708984,157398,.6893291473388672,43045,-.3109264373779297,11654,-.4917850494384766,23841192,-.1467094421386719,261251,-1.64153003692627,194224,-.0722160339355469,31090,-.6288871765136719,3293019,.0924358367919922,494455,-.8775873184204102,1077196,-.3099746704101563,793310,29356,.4916839599609375,12092,-.5451459884643555,90870,-.3542671203613281,481614,26703,-.6479902267456055,17607,.7565088272094727,1348732,-.0224065780639648,333336,1.286559104919434,matched (3),957767.56,.80423963,105417.71,207348.28
