period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1082c554,Y1108c484,growth1108c484,Y1267c124,growth1267c124,Y1471c600,growth1471c600,Y1497c703,growth1497c703,Y1570c703,growth1570c703,Y1652c218,Y1688c600,growth1688c600,Y1735c428,growth1735c428,Y1814c600,growth1814c600,Y1844c807,growth1844c807,Y1845c608,Y2498c752,growth2498c752,Y2637c246,growth2637c246,Y2788c300,growth2788c300,Y2788c344,Y2809c268,growth2809c268,Y2885c348,growth2885c348,Y2911c222,growth2911c222,Y2952c203,Y2982c222,growth2982c222,Y3147c440,growth3147c440,Y3451c616,growth3451c616,Y3516c352,growth3516c352,Y3542c440,growth3542c440,Y3587c352,growth3587c352,Y3719c218,Y3732c600,growth3732c600,Y3733c705,growth3733c705,Y3915c600,growth3915c600,Y3936c152,growth3936c152,Y4044c642,Y40c32,Y4132c208,growth4132c208,Y4174c586,growth4174c586,Y4291c608,Y4538c68,growth4538c68,Y4577c757,growth4577c757,Y4694c251,growth4694c251,Y4719c152,growth4719c152,Y4764c616,growth4764c616,Y4790c300,growth4790c300,Y4809c36,Y4970c428,growth4970c428,Y4987c586,growth4987c586,Y5027c440,growth5027c440,Y519c372,growth519c372,Y528c616,growth528c616,Y660c554,Y969c620,growth969c620,_merge,x,r2,s,sf
201001,901580,600,4739,2113708,01,0,0,0,0,0,0,0,0,0,0,0,916,224984,,195019,,288306,,28854,,1212234,,193570,270859,,83425,,1243,,3732,,111002,205870,,612745,,209866,,98718,5441,,639601,,164238,,13399,199326,,3249,,545592,,14763,,4024,,59602,,64087,648660,,221976,,86457,,2051307,,79244,0,42281,,32755,,731850,6920,,129378,,777376,,270593,,45207,,199520,,1588897,106426,,16665494,,9628,,201702,,2473042,,838529,7069,,matched (3),,.92209238,,
201002,901580,601,4739,1863537,02,1,0,0,0,0,0,0,0,0,0,0,0,649563,1.060270309448242,284207,.3766059875488281,415890,.366398811340332,12904,-.8047113418579102,1695115,.3352851867675781,190226,250747,-.0771541595458984,37490,-.7998733520507813,5305,1.451122283935547,3233,-.1435346603393555,168750,119943,-.5402288436889648,462105,-.2821569442749023,278202,.2818775177001953,77854,25665,1.551165580749512,10195,-4.138947486877441,58447,-1.033196449279785,45021,131816,-.4135341644287109,4303,.2809648513793945,195699,-1.025294303894043,975,-2.717441558837891,9411,.8496026992797852,28521,-.7370481491088867,46303,181738,-1.272342681884766,452993,.7133073806762695,20706,-1.42922306060791,1437691,-.3554391860961914,6629,0,38713,-.0881624221801758,3962,-2.112306594848633,734023,1270,-1.695398330688477,77360,-.5142679214477539,400909,-.6621894836425781,65289,-1.421792030334473,126142,1.026156425476074,369107,.6151723861694336,2483581,56285,-.6370210647583008,933411,-2.88224983215332,20034,.7327547073364258,119850,-.5205497741699219,2766911,.1122827529907227,1125986,14006,.6837673187255859,matched (3),-617630.69,.92209238,800798.31,1158164.8
201003,901580,602,4739,1215200,03,0,1,0,0,0,0,0,0,0,0,0,152,451030,-.3647661209106445,464683,.4916524887084961,539740,.2606668472290039,40221,1.136851310729981,1476754,-.137904167175293,158142,175742,-.3554267883300781,41853,.1100893020629883,759,-1.944403648376465,690,-1.544473648071289,48554,134091,.1115026473999023,652771,.3454341888427734,256914,-.0796060562133789,109580,22955,-.1115922927856445,6470,-.4547214508056641,41866,-.3336467742919922,7394,136123,.0321512222290039,9393,.7806529998779297,70043,-1.027468681335449,6398,1.881302833557129,12421,.2775096893310547,36977,.2596549987792969,41180,110574,-.4968805313110352,230082,-.6774406433105469,33982,.4954071044921875,550262,-.9603986740112305,14605,0,71687,.6161346435546875,12721,1.166505813598633,426024,6130,1.574177742004395,318892,1.4163818359375,927627,.8388948440551758,129328,.683527946472168,139732,.1023178100585938,358287,-.0297527313232422,2593461,54406,-.0339536666870117,838632,-.1070737838745117,16805,-.1757535934448242,169645,.3474664688110352,1622059,-.5340356826782227,1287249,12530,-.1113605499267578,matched (3),-4108574.5,.92209238,672736.38,1073611.6
201004,901580,603,4739,1316477,04,0,0,1,0,0,0,0,0,0,0,0,71,598589,.2830419540405273,467584,.0062236785888672,556010,.029698371887207,40867,.0159339904785156,1565872,.0585966110229492,427199,164230,-.0677499771118164,107262,.9411106109619141,14997,2.983603477478027,5217,2.02298641204834,138021,51888,-.9494314193725586,606283,-.0738792419433594,51164,-1.613704681396484,145163,37225,.4834442138671875,16988,.9653310775756836,54334,.260676383972168,22069,189575,.3312263488769531,12172,.2591733932495117,73729,.0512876510620117,4193,-.4225683212280273,3390,-1.298559188842773,17111,-.7705745697021484,71413,836373,2.02338981628418,483913,.74346923828125,30286,-.1151456832885742,2574605,1.543056488037109,0,0,83986,.1583404541015625,16980,.2887821197509766,541170,56883,2.227801322937012,179807,-.5729684829711914,483106,-.6523933410644531,273692,.7496509552001953,132830,-.0506563186645508,141250,-.9308023452758789,0,157050,1.060089111328125,305618,-1.009435653686523,22036,.271000862121582,197946,.1542863845825195,2149603,.2815866470336914,1701138,22910,.6034479141235352,matched (3),-6525186,.92209238,955877.69,1270342.4
201005,901580,604,4739,1094066,05,0,0,0,1,0,0,0,0,0,0,0,354,204250,-1.075230598449707,237852,-.6759300231933594,355296,-.4478349685668945,12772,-1.163067817687988,1151541,-.3073415756225586,69777,284869,.5507621765136719,45622,-.854884147644043,337,-3.795522212982178,331,-2.757559776306152,101835,89532,.5455083847045898,730357,.1861858367919922,41105,-.2189064025878906,88163,30584,-.1965036392211914,15510,-.0910215377807617,76887,.3471870422363281,18022,171734,-.0988378524780273,5088,-.87225341796875,90737,.2075691223144531,1385,-1.107717037200928,9122,.9898595809936523,68484,1.386878967285156,58917,244943,-1.228049278259277,199455,-.8863162994384766,43087,.3525362014770508,2202521,-.1560935974121094,27868,0,53199,-.4566106796264648,8951,-.6402711868286133,441734,22232,-.9394636154174805,52377,-1.233416557312012,485737,.0054311752319336,52014,-1.660490036010742,105318,-.232086181640625,168175,.174473762512207,0,151844,-.0337104797363281,526002,.54296875,15913,-.3255414962768555,170312,-.1503620147705078,1756524,-.2019462585449219,344879,12035,-.6437540054321289,matched (3),-5316030.5,.92209238,841996.19,1187023.6
201006,901580,605,4739,2289353,06,0,0,0,0,1,0,0,0,0,0,0,2263,394752,.6589126586914063,456266,.6514272689819336,452264,.2413148880004883,62183,1.582826614379883,1213728,.0525951385498047,622525,352737,.2136926651000977,170097,1.31597900390625,1929,1.744673728942871,2157,1.874355316162109,117235,67054,-.289097785949707,537051,-.3074398040771484,107447,.9608678817749023,65019,23536,-.2619457244873047,29822,.6537609100341797,159351,.7287721633911133,60889,174677,.0169916152954102,4636,-.0930328369140625,103589,.1324653625488281,959,-.3675642013549805,10692,.1588068008422852,16867,-1.401241302490234,77262,386839,.4569826126098633,527137,.9718713760375977,44635,.0352973937988281,1891074,-.1524572372436523,3247,0,90357,.529728889465332,22101,.9038572311401367,655870,22621,.0173463821411133,200652,1.343105316162109,925396,.6445541381835938,198051,1.337011337280273,184169,.5588703155517578,313454,.6226472854614258,0,15020,-2.313470840454102,541795,.0295829772949219,44206,1.021724700927734,245864,.3671464920043945,2644583,.4091768264770508,688411,7318,-.4974822998046875,matched (3),-6301769.5,.92209238,850600.94,1193142.8
201007,901580,606,4739,1900616,07,0,0,0,0,0,1,0,0,0,0,0,81,319372,-.2119007110595703,319244,-.3571205139160156,507935,.1160879135131836,46985,-.2802534103393555,860369,-.344090461730957,391647,176552,-.6921072006225586,77848,-.781611442565918,5489,1.0457444190979,1192,-.5930857658386231,98400,60658,-.1002464294433594,394974,-.3072738647460938,99389,-.0779561996459961,47579,10702,-.7881002426147461,54205,.5975275039672852,114055,-.3344287872314453,37798,143600,-.1959066390991211,8203,.570648193359375,130095,.2278337478637695,226616,5.465120792388916,6500,-.4976940155029297,15425,-.0893697738647461,57322,75051,-1.639840126037598,487462,-.0782480239868164,52348,.1593952178955078,985197,-.6520586013793945,74778,0,61770,-.3803510665893555,12237,-.5911588668823242,397923,21344,-.0581083297729492,124791,-.4749317169189453,857353,-.0763721466064453,307786,.4408807754516602,157312,-.157623291015625,267754,-.1575841903686523,3116089,87566,1.763010025024414,489615,-.1012687683105469,18343,-.879612922668457,265449,.0766439437866211,2226039,-.1722898483276367,912166,7239,-.0108537673950195,matched (3),228497.17,.92209238,390295.16,923254
201008,901580,607,4739,1683002,08,0,0,0,0,0,0,1,0,0,0,0,62,265226,-.1857748031616211,292996,-.0857963562011719,368737,-.3202705383300781,91897,.6708402633666992,1038377,.1880531311035156,649413,261858,.3941869735717773,121015,.4411563873291016,2692,-.7124614715576172,114,-2.347189426422119,67122,47515,-.244206428527832,567302,.3620719909667969,35385,-1.032753944396973,199950,107692,2.308844566345215,36042,-.4080886840820313,45186,-.9258928298950195,19542,151720,.0550050735473633,5801,-.3464698791503906,129679,-.0032024383544922,155,-7.287586688995361,82092,2.536038398742676,26329,.5346822738647461,11099,433972,1.75481128692627,208296,-.8502521514892578,46712,-.1139125823974609,3022338,1.120944023132324,5491,0,42088,-.3836545944213867,12258,.0017147064208984,729067,7871,-.9975852966308594,63235,-.6797828674316406,720662,-.1736793518066406,173284,-.5744733810424805,67134,-.8515405654907227,240474,-.1074562072753906,2770788,25635,-1.228433609008789,728129,.3968591690063477,26411,.364532470703125,472817,.5772857666015625,2168611,-.0261363983154297,996351,19382,.9848613739013672,matched (3),-238286.13,.92209238,544205.19,998111.69
201009,901580,608,4739,3112538,09,0,0,0,0,0,0,0,1,0,0,0,568,343477,.2585382461547852,165639,-.5703487396240234,737555,.6932573318481445,20290,-1.510540008544922,991029,-.0466699600219727,523948,397433,.4172239303588867,202126,.5129766464233398,10951,1.403145790100098,5525,3.880840301513672,68373,168622,1.266613960266113,899790,.4612703323364258,232211,1.881359100341797,321387,167065,.4391078948974609,24776,-.3748092651367188,72266,.4695663452148438,135493,212256,.3357563018798828,5184,-.1124534606933594,760120,1.768413543701172,23530,5.022606372833252,50950,-.4769954681396484,32471,.2096757888793945,38344,399009,-.0839958190917969,410512,.6784448623657227,54808,.1598348617553711,3176225,.0496625900268555,56358,0,103163,.8965473175048828,21648,.5687341690063477,558020,17459,.7966699600219727,390398,1.820308685302734,1051125,.377446174621582,164406,-.0525922775268555,109544,.4896354675292969,365126,.4176301956176758,1893111,83138,1.176543235778809,2000080,1.010463714599609,52283,.6828908920288086,526718,.1079568862915039,2765356,.2430820465087891,1373921,24160,.2203540802001953,matched (3),-1060408,.92209238,684801.69,1081212.8
201010,901580,609,4739,2193250,10,0,0,0,0,0,0,0,0,1,0,0,122,526553,.4272317886352539,273118,.5000934600830078,714367,-.0319442749023438,16954,-.1796245574951172,1163068,.1600723266601563,336488,331616,-.1810483932495117,113905,-.5735263824462891,3866,-1.041210174560547,394,-2.640687942504883,257482,118514,-.3526287078857422,416702,-.7697906494140625,379624,.4915342330932617,180483,176967,.0575799942016602,57520,.8422574996948242,133132,.6109867095947266,34881,355554,.5158834457397461,9726,.6292257308959961,1024918,.2988920211791992,644,-3.59833288192749,53914,.0565452575683594,19877,-.49078369140625,49711,779107,.6691646575927734,465606,.1259346008300781,30595,-.5829992294311523,2641575,-.1843175888061523,30337,0,96904,-.0625896453857422,6185,-1.252785682678223,524453,13026,-.29290771484375,244935,-.4661741256713867,699783,-.4068460464477539,254675,.4376487731933594,190681,.5542764663696289,283638,-.2525434494018555,1791508,239159,1.056626319885254,1135812,-.5658388137817383,35762,-.3797855377197266,401615,-.2711715698242188,2441453,-.1245756149291992,1851734,19905,-.1937274932861328,matched (3),3728744.5,.92209238,904980.81,1232500.6
