period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1101c251,growth1101c251,Y1131c152,growth1131c152,Y1242c68,growth1242c68,Y1316c752,growth1316c752,Y1357c152,growth1357c152,Y1485c68,growth1485c68,Y1615c352,growth1615c352,Y1745c152,growth1745c152,Y1759c152,growth1759c152,Y1802c352,growth1802c352,Y1814c757,growth1814c757,Y1896c203,Y1990c620,growth1990c620,Y201c124,growth201c124,Y2035c757,growth2035c757,Y2043c68,Y2091c348,growth2091c348,Y2190c152,Y2394c440,growth2394c440,Y2445c372,growth2445c372,Y2790c233,Y2835c344,Y2889c222,growth2889c222,Y2894c428,growth2894c428,Y3134c191,growth3134c191,Y3338c484,growth3338c484,Y3354c32,Y3732c36,Y3762c268,growth3762c268,Y3828c222,growth3828c222,Y382c268,growth382c268,Y3949c352,growth3949c352,Y4041c600,growth4041c600,Y4081c807,growth4081c807,Y4209c372,growth4209c372,Y437c152,growth437c152,Y4439c600,growth4439c600,Y4514c600,growth4514c600,Y4627c484,growth4627c484,Y4680c428,growth4680c428,Y4845c440,growth4845c440,Y4975c233,Y538c268,growth538c268,Y541c208,growth541c208,Y542c372,growth542c372,Y581c376,Y684c484,growth684c484,Y890c348,growth890c348,Y891c826,growth891c826,Y905c826,growth905c826,_merge,x,r2,s,sf
201001,901811,600,4747,380248,01,0,0,0,0,0,0,0,0,0,0,0,187477,,119039,,106493,,206156,,91566,,61906,,3046,,146802,,6305260,,1212,,245389,,320557,152175,,10825670,,122915,,54638,1155426,,675181,14065,,83872,,26391,1573733,31264,,30606,,170264,,76917,,209658,3731867,3260,,9947,,5415,,24219,,109169,,6594,,654643,,11433,,5174653,,44389,,12129,,114406,,19906,,13636,101922,,9004,,969256,,2086000,165851,,205185,,827079,,161775,,matched (3),,.90635246,,
201002,901811,601,4747,438811,02,1,0,0,0,0,0,0,0,0,0,0,249164,.284454345703125,33546,-1.266532897949219,511146,1.568575859069824,213667,.0357856750488281,323935,1.263483047485352,101260,.4920749664306641,8388,1.012972831726074,446323,1.111958503723145,4440232,-.350677490234375,8563,1.955179214477539,333415,.3065433502197266,599783,146582,-.0374460220336914,11194917,.033538818359375,499231,1.401575088500977,161223,1174428,.0163116455078125,826575,9254,-.4186334609985352,94881,.1233310699462891,303641,949756,17980,-.5532073974609375,980,-3.441398143768311,234955,.3220443725585938,204476,.9777231216430664,485830,3808850,25800,2.068647384643555,15093,.4169597625732422,26031,1.570115089416504,158642,1.879512786865234,120010,.0946779251098633,11282,.53704833984375,714450,.0874223709106445,13955,.1993341445922852,6778613,.2700004577636719,126020,1.043449401855469,40285,1.200379371643066,122618,.0693206787109375,36178,.5974302291870117,12929,85451,-.176264762878418,13397,.3973617553710938,1100126,.1266517639160156,3468000,236991,.3569326400756836,171286,-.180577278137207,482222,-.5394954681396484,3698244,3.129406929016113,matched (3),924218.69,.90635246,61988.754,159284.98
201003,901811,602,4747,308791,03,0,1,0,0,0,0,0,0,0,0,0,193572,-.2524614334106445,84987,.9295806884765625,175621,-1.068326950073242,155567,-.3173418045043945,241066,-.2954721450805664,90928,-.1076240539550781,3680,-.8238897323608398,131293,-1.223611831665039,3867688,-.1380500793457031,8012,-.0665102005004883,300069,-.1053752899169922,379465,180408,.2076358795166016,13929824,.2185726165771484,172772,-1.06109619140625,0,618531,-.6411886215209961,586911,44585,1.572340965270996,163132,.541935920715332,191612,690557,26353,.3823223114013672,30734,3.445572376251221,379865,.4804220199584961,41671,-1.590644836425781,379680,3765884,5753,-1.500653266906738,14708,-.0258398056030273,1562,-2.813321590423584,10063,-2.757784843444824,58026,-.7266845703125,3556,-1.154572486877441,1255581,.5638408660888672,8921,-.4474296569824219,6406987,-.0563840866088867,45241,-1.024436950683594,30398,-.2816019058227539,108149,-.1255645751953125,27131,-.2877740859985352,16176,47626,-.584564208984375,9977,-.2947483062744141,1372847,.2214622497558594,1810000,321523,.3050470352172852,278023,.4843692779541016,1023262,.7523460388183594,851070,-1.469119071960449,matched (3),646105.44,.90635246,80435.492,167328.92
201004,901811,603,4747,553739,04,0,0,1,0,0,0,0,0,0,0,0,414539,.7615175247192383,65057,-.2672348022460938,201424,.1370840072631836,314799,.7048578262329102,137431,-.5619487762451172,97836,.0732250213623047,27293,2.003718376159668,308806,.8552818298339844,3892719,.0064516067504883,11203,.335240364074707,325146,.0802621841430664,524590,108019,-.512913703918457,14406368,.0336380004882813,208301,.18701171875,21,1128566,.6013555526733398,582118,47509,.0635223388671875,130690,-.2217311859130859,171525,1610558,25943,-.0156803131103516,5724,-1.680702209472656,310030,-.2031469345092773,467310,2.417187690734863,422103,0,16788,1.070942878723145,20227,.3186273574829102,27610,2.87221097946167,92086,2.213857650756836,144672,.9135780334472656,6723,.6368980407714844,1025713,-.2022104263305664,126712,2.653508186340332,8041397,.2272138595581055,63174,.3338890075683594,16419,-.6159372329711914,103609,-.0428848266601563,6520,-1.425802230834961,21117,209077,1.479323387145996,13220,.2814483642578125,1386866,.0101594924926758,3727000,243947,-.276118278503418,308203,.1030540466308594,927330,-.0984411239624023,2664338,1.141217231750488,matched (3),1310319,.90635246,104028.32,179863.81
201005,901811,604,4747,550824,05,0,0,0,1,0,0,0,0,0,0,0,334566,-.2143325805664063,139915,.7657709121704102,262291,.264042854309082,43403,-1.981406211853027,248463,.5921716690063477,95154,-.0277957916259766,14179,-.6548690795898438,221882,-.3305673599243164,2316813,-.5189151763916016,5940,-.6344718933105469,322999,-.0066251754760742,467376,157491,.3770618438720703,13459933,-.0679531097412109,189694,-.093571662902832,32613,1242103,.0958576202392578,791973,17744,-.9848718643188477,139522,.065394401550293,137042,1700331,20469,-.2369899749755859,381,-2.709623336791992,331029,.0655364990234375,121113,-1.350269317626953,310959,0,7616,-.7904129028320313,15049,-.2957067489624023,47504,.5426359176635742,92982,.0096826553344727,133740,-.0785713195800781,61227,2.209053993225098,680489,-.4103317260742188,70587,-.5850706100463867,10483717,.2652215957641602,16926,-1.317041397094727,192027,2.459196090698242,116769,.119572639465332,10876,.511683464050293,17633,195623,-.0665130615234375,8377,-.4562406539916992,1075164,-.2545738220214844,3203000,255001,.044316291809082,273958,-.1177835464477539,914733,-.0136775970458984,6892395,.9504623413085938,matched (3),808944.88,.90635246,91041.625,172677.97
201006,901811,605,4747,399619,06,0,0,0,0,1,0,0,0,0,0,0,1037481,1.131716728210449,34050,-1.413205146789551,294474,.1157360076904297,112000,.9479703903198242,54974,-1.508433341979981,75266,-.2344684600830078,29055,.7174291610717773,679592,1.119346618652344,3035540,.2701959609985352,10378,.557978630065918,270321,-.17803955078125,429849,153860,-.0233259201049805,13428307,-.0023517608642578,225935,.174835205078125,3,829558,-.4036674499511719,369727,23589,.2847328186035156,204448,.3820915222167969,53650,1642667,6085,-1.213085174560547,6806,2.882760047912598,268563,-.2091197967529297,90318,-.2933874130249023,586503,0,2591,-1.078207015991211,28291,.6312322616577148,29271,-.4842166900634766,10375,-2.19300651550293,82777,-.4797468185424805,24063,-.9339132308959961,270463,-.9226760864257813,78346,.1042890548706055,14485648,.323333740234375,2695,-1.83745288848877,86419,-.7984285354614258,88820,-.273585319519043,26231,.8803834915161133,6104,177950,-.0946865081787109,11572,.3230981826782227,1071835,-.0031003952026367,2012000,190647,-.2908430099487305,200221,-.3135528564453125,509439,-.5853214263916016,1176471,-1.767898559570313,matched (3),670795.5,.90635246,98266.18,176593.73
201007,901811,606,4747,760834,07,0,0,0,0,0,1,0,0,0,0,0,818801,-.2367095947265625,49246,.3689985275268555,451507,.4273996353149414,149313,.2875461578369141,160111,1.06900691986084,100464,.2887706756591797,4697,-1.822266578674316,308563,-.7895669937133789,3561753,.1598634719848633,11346,.089177131652832,332192,.2061033248901367,517300,199336,.2589492797851563,14171442,.053863525390625,253038,.1132917404174805,57086,1118668,.2990007400512695,851032,58083,.901092529296875,646919,1.151906967163086,55611,2154394,11136,.6043567657470703,9062,.286285400390625,228012,-.1636877059936523,305532,1.218717575073242,702631,4686923,12526,1.575762748718262,23301,-.1940479278564453,20695,-.3467044830322266,77796,2.014691352844238,185880,.8089504241943359,16245,-.3928899765014648,1104229,1.406766891479492,49068,-.4679279327392578,6848578,-.7491168975830078,51519,2.950551986694336,182473,.7473955154418945,130204,.3824901580810547,12950,-.705845832824707,13238,247911,.3315668106079102,26119,.8140754699707031,1088016,.0149831771850586,2518000,318837,.5142555236816406,269313,.296452522277832,983576,.6578845977783203,2187155,.620081901550293,matched (3),774532.38,.90635246,113954.29,185781.28
201008,901811,607,4747,705200,08,0,0,0,0,0,0,1,0,0,0,0,432106,-.6391706466674805,89467,.597041130065918,51130,-2.178218841552734,135235,-.0990304946899414,299456,.6261005401611328,56060,-.5833768844604492,2572,-.6022405624389648,508310,.4991655349731445,2625627,-.3049325942993164,8871,-.2460775375366211,219609,-.4138641357421875,405203,107970,-.6131381988525391,17921138,.2347526550292969,226008,-.1129693984985352,50197,1031480,-.0811443328857422,550093,5047,-2.443078994750977,25955,-3.215856552124023,36545,2112132,2259,-1.595261096954346,6043,-.4051895141601563,194393,-.1595163345336914,100338,-1.113509178161621,851397,3442460,11821,-.0579290390014648,18299,-.2416496276855469,1806,-2.438777923583984,34919,-.8010587692260742,424035,.8247146606445313,14933,-.0842113494873047,628891,-.5629444122314453,7219,-1.91649055480957,7323801,.0670881271362305,11755,-1.477671623229981,83295,-.7842140197753906,153189,.1625699996948242,12987,.0028533935546875,5788,139571,-.5744962692260742,245,-4.66916036605835,1084237,-.00347900390625,2281000,264158,-.1881322860717773,213945,-.2301549911499023,334808,-1.077637672424316,1088972,-.6973676681518555,matched (3),304208.94,.90635246,171699.02,225853.17
201009,901811,608,4747,859982,09,0,0,0,0,0,0,0,1,0,0,0,858939,.6870269775390625,65530,-.3113613128662109,299476,1.76766300201416,158297,.1574583053588867,587168,.6733427047729492,77605,.3252096176147461,21699,2.132582664489746,139085,-1.296006202697754,2965891,.1218576431274414,12328,.3290853500366211,263999,.1840963363647461,246687,228136,.7480878829956055,19413688,.0799961090087891,250456,.1027135848999023,76562,1495451,.3714332580566406,503024,6230,.2105827331542969,174719,1.906814575195313,90273,1581419,13887,1.816030979156494,6934,.1375370025634766,283936,.3788671493530273,131279,.2687797546386719,599499,3130154,9117,-.2597370147705078,36480,.6899175643920898,4464,.9049310684204102,189953,1.693744659423828,114888,-1.305857658386231,13845,-.0756492614746094,1348856,.7630538940429688,51855,1.971735000610352,7605570,.0377521514892578,16403,.3331851959228516,97679,.1592979431152344,206814,.3001480102539063,24235,.6238489151000977,13110,239816,.5412988662719727,12530,3.934622287750244,1156948,.0649089813232422,1497000,348368,.2767124176025391,300519,.3397912979125977,418094,.2221488952636719,4335689,1.381647109985352,matched (3),1153324.5,.90635246,120840.78,190083.13
201010,901811,609,4747,631112,10,0,0,0,0,0,0,0,0,1,0,0,594805,-.3674640655517578,22471,-1.070282936096191,43505,-1.929159164428711,187443,.169001579284668,118507,-1.600338935852051,47476,-.4914073944091797,4883,-1.491506576538086,396979,1.048798561096191,4144228,.3345394134521484,5818,-.7509164810180664,301416,.1325454711914063,95153,241021,.0549421310424805,21153532,.0858287811279297,237357,-.0537185668945313,53063,1112733,-.2956085205078125,781629,25763,1.419562339782715,111050,-.4531984329223633,79491,1779889,7803,-.5764455795288086,1728,-1.389472484588623,272274,-.0419397354125977,169155,.2534904479980469,572505,2798655,11110,.1977052688598633,9781,-1.316322326660156,62983,2.646819114685059,17658,-2.375587463378906,128930,.1153116226196289,45691,1.193976402282715,261251,-1.64153003692627,194,-5.588348865509033,8830999,.1493864059448242,54972,1.209360122680664,87377,-.111454963684082,154343,-.2926425933837891,18104,-.2916650772094727,11604,132372,-.5942564010620117,15106,.1869668960571289,1567223,.3035202026367188,1811000,282221,-.2105693817138672,271311,-.1022453308105469,360196,-.1490573883056641,931016,-1.538359642028809,matched (3),-73344.5,.90635246,142864.02,204790.69
