period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1021c218,Y1288c705,growth1288c705,Y1387c807,growth1387c807,Y1449c32,Y1479c124,growth1479c124,Y1492c124,growth1492c124,Y1661c484,growth1661c484,Y1730c32,Y1980c344,Y1982c203,Y1991c124,growth1991c124,Y1992c376,Y223c124,growth223c124,Y2282c484,growth2282c484,Y2362c208,Y245c352,growth245c352,Y266c554,Y2694c792,growth2694c792,Y2915c792,growth2915c792,Y2965c152,growth2965c152,Y3144c152,growth3144c152,Y326c208,Y3298c600,growth3298c600,Y3463c428,growth3463c428,Y3469c792,growth3469c792,Y3670c372,growth3670c372,Y3724c32,Y3835c376,Y3971c484,growth3971c484,Y3987c440,growth3987c440,Y4140c68,growth4140c68,Y4175c484,growth4175c484,Y4195c36,Y4198c348,growth4198c348,Y4292c124,growth4292c124,Y4322c344,Y4472c32,Y4478c818,Y4494c124,growth4494c124,Y4645c484,growth4645c484,Y4685c484,growth4685c484,Y4710c124,growth4710c124,Y4724c32,Y4806c484,growth4806c484,Y4926c352,growth4926c352,Y4976c246,growth4976c246,Y556c554,Y663c428,growth663c428,Y665c428,growth665c428,Y667c807,growth667c807,_merge,x,r2,s,sf
201001,901819,600,4751,16718011,01,0,0,0,0,0,0,0,0,0,0,0,28904,16160,,73395,,1624263,11332868,,15442828,,12900161,,2663590,2919963,442335,2805914,,856000,2297309,,23325,,13128,44787,,72149,226653,,367331,,2403409,,287677,,1233482,742149,,45657,,1560718,,19307,,838863,710000,3851996,,877148,,7463,,4245290,,37589796,13887526,,2502266,,22688512,379959,2700482,628813,,4804763,,560835,,983377,,4848,653489,,44510,,762692,,177207,407363,,703312,,201741,,matched (3),,.79738718,,
201002,901819,601,4751,18649688,02,1,0,0,0,0,0,0,0,0,0,0,136297,52499,1.178255081176758,57221,-.2489347457885742,1385276,11838569,.0436553955078125,13424788,-.1400432586669922,16842538,.2666664123535156,2310895,455685,364126,2887467,.0286502838134766,550000,1978860,-.1492176055908203,87042,1.316864967346191,14930,52022,.1497488021850586,64919,924,-5.502463817596436,230385,-.4665107727050781,2052018,-.1580648422241211,292810,.0176858901977539,1018728,859290,.1465559005737305,65732,.3644285202026367,2004659,.2503280639648438,46335,.8754301071166992,843825,810000,4522523,.1604785919189453,107397,-2.100143432617188,19467,.9587631225585938,4250359,.0011930465698242,27688842,14051682,.0117511749267578,2303309,-.0828495025634766,17704920,935284,2718915,752607,.1797094345092773,5918362,.2084522247314453,224142,-.9171466827392578,849618,-.1462059020996094,96232,744172,.1299457550048828,102416,.8333292007446289,488571,-.4453697204589844,29567,469999,.1430263519287109,787385,.1129159927368164,175148,-.1413536071777344,matched (3),35809160,.79738718,1644001.1,2719097.3
201003,901819,602,4751,23308544,03,0,1,0,0,0,0,0,0,0,0,0,161061,123088,.8521051406860352,176655,1.127277374267578,2018207,15977002,.2997875213623047,18661726,.3293724060058594,24102840,.3584232330322266,3047578,966975,518531,3305940,.1353416442871094,1155000,2712001,.3151655197143555,65200,-.2889318466186523,15890,58066,.1099138259887695,73988,36265,3.669896602630615,730125,1.153463363647461,3475519,.5269203186035156,233661,-.2256526947021484,1335296,940012,.0897865295410156,50336,-.2668647766113281,2554648,.2424402236938477,35119,-.277155876159668,1400438,962000,6804202,.4084711074829102,1560232,2.676057815551758,551,-3.564741611480713,5522878,.2618951797485352,50360104,23208672,.5017852783203125,2969238,.2539587020874023,26175134,623116,3224091,958363,.2416830062866211,7699373,.2630786895751953,519211,.8400306701660156,1415215,.5102500915527344,19572,838916,.1198387145996094,727932,1.961164474487305,744290,.4209461212158203,59894,488327,.0382547378540039,1116245,.3490085601806641,314792,.5862808227539063,matched (3),37049636,.79738718,2117205.3,3028747
201004,901819,603,4751,23317052,04,0,0,1,0,0,0,0,0,0,0,0,170202,156164,.2380075454711914,84365,-.7390460968017578,1501413,15331913,-.0412139892578125,15138594,-.2092266082763672,22738504,-.0582714080810547,2087572,1231132,867720,3422528,.0346584320068359,580000,3393234,.2240972518920898,200127,1.121492385864258,147,39818,-.3772611618041992,81845,75943,.7391300201416016,938668,.251246452331543,2778808,-.2237215042114258,343358,.3849020004272461,1658331,2919231,1.133182525634766,75074,.3997535705566406,2717412,.0617656707763672,15123,-.8425254821777344,1280764,879000,4775401,-.3540630340576172,2635362,.5241851806640625,1244,.8143525123596191,4860114,-.1278371810913086,0,13901251,-.5125484466552734,2796574,-.059910774230957,26533764,1276023,2232507,550657,-.5541143417358398,6185708,-.218897819519043,1045184,.6996374130249023,1125081,-.229426383972168,85084,681415,-.2079391479492188,72434,-2.30753231048584,827470,.1059417724609375,125675,646893,.2811956405639648,1160390,.0387859344482422,437781,.3298072814941406,matched (3),40731196,.79738718,1894158.1,2877253
201005,901819,604,4751,24973448,05,0,0,0,1,0,0,0,0,0,0,0,189322,260961,.5134639739990234,72355,-.1535682678222656,1875683,15930532,.0383014678955078,13755048,-.0958423614501953,21745844,-.0446357727050781,2413493,1632703,500456,3883602,.1263837814331055,1001000,3926378,.1459331512451172,57242,-1.251664161682129,12634,39510,-.0077657699584961,162048,47047,-.4788360595703125,1058794,.1204233169555664,3443883,.2145767211914063,226659,-.4153270721435547,2043719,1866867,-.4470577239990234,94429,.2293739318847656,2612746,-.0392780303955078,19942,.276611328125,1345973,955000,6515244,.3106670379638672,6806792,.9489011764526367,169279,4.913216590881348,6008834,.2121686935424805,0,14519078,.0434856414794922,2710277,-.0313444137573242,26442726,281570,13443486,719348,.2672328948974609,8881372,.3617153167724609,596091,-.5615549087524414,803982,-.336033821105957,8217,929757,.3107519149780273,64183,-.1209373474121094,1588487,.6521644592285156,13634,666057,.0291938781738281,1274994,.0941848754882813,465628,.0616683959960938,matched (3),45380956,.79738718,3763373,4342087.5
201006,901819,605,4751,28940312,06,0,0,0,0,1,0,0,0,0,0,0,236006,206846,-.232396125793457,79748,.0972871780395508,2107798,12814230,-.217681884765625,17839770,.2600250244140625,22309140,.02557373046875,3101800,2037508,555106,4477510,.1423044204711914,1081000,3736411,-.049591064453125,257937,1.505427360534668,24,40485,.0243778228759766,875667,52005,.1001930236816406,630646,-.5181407928466797,3709252,.0742311477661133,329151,.3730707168579102,2763004,4130414,.7941160202026367,50045,-.6349258422851563,2969124,.1278648376464844,45761,.8306045532226563,1349799,700000,5605259,-.1504392623901367,9574929,.3412275314331055,82114,-.7234401702880859,6237650,.0373735427856445,0,18958688,.2667980194091797,3134282,.1453495025634766,25991596,610745,2687878,967804,.2966842651367188,9983582,.1169862747192383,337249,-.5695714950561523,1130117,.3404998779296875,12702,849293,-.0905189514160156,223965,1.249752044677734,1524337,-.0412225723266602,29745,890158,.2900238037109375,1743014,.3126745223999023,551446,.1691560745239258,matched (3),43306236,.79738718,1435130,2598143.3
201007,901819,606,4751,29048176,07,0,0,0,0,0,1,0,0,0,0,0,120667,4450,-3.839070320129395,130285,.4908523559570313,2417473,15053666,.1610660552978516,18748828,.0496997833251953,22988602,.0300025939941406,3165623,2406923,464603,4593250,.0255203247070313,1206000,3870903,.0353622436523438,286374,.104583740234375,12472,49898,.209050178527832,1022125,124489,.8728771209716797,636931,.0099172592163086,3879440,.04486083984375,364437,.101837158203125,1665779,1760262,-.8529157638549805,78703,.4527587890625,2859829,-.0375051498413086,15635,-1.073920249938965,1645883,867000,4624290,-.1923828125,7561537,-.2360744476318359,37364,-.7874002456665039,6867055,.0961313247680664,37728232,17603172,-.0741825103759766,3984489,.2400093078613281,29390222,515968,3105997,651051,-.3964414596557617,9120847,-.0903797149658203,362685,.0727128982543945,1156978,.0234899520874023,21372,974563,.1375846862792969,91326,-.8970546722412109,1684882,.1001358032226563,75827,1007618,.1239461898803711,1679972,-.0368385314941406,754874,.3140077590942383,matched (3),32579602,.79738718,1500198.5,2634643.3
201008,901819,607,4751,36022068,08,0,0,0,0,0,0,1,0,0,0,0,346538,252300,4.037714958190918,123643,-.0523252487182617,1690095,16645297,.1005058288574219,18736376,-.0006637573242188,21247836,-.0787448883056641,3303532,725626,597376,5101033,.1048555374145508,1394000,3753502,-.0307989120483398,652599,.823664665222168,26232,47758,-.0438346862792969,966537,207707,.5119113922119141,1096421,.5431451797485352,3766751,-.0294780731201172,417976,.1370697021484375,2872722,4372757,.9099311828613281,81186,.0310611724853516,2351724,-.195612907409668,43957,1.033699989318848,1759293,869000,5819042,.2298126220703125,1917694,-1.371951103210449,108452,1.06559944152832,6481261,-.0578203201293945,37531660,21989212,.22247314453125,3219106,-.2133054733276367,30889196,690050,5003201,871444,.2915639877319336,11067921,.1934871673583984,421670,.1506891250610352,1785698,.4339981079101563,65287,826873,-.1643381118774414,92470,.0124492645263672,1850291,.0936479568481445,107455,871073,-.1456193923950195,1751515,.0417041778564453,592558,-.2421026229858398,matched (3),45773464,.79738718,1619154.6,2704147
201009,901819,608,4751,28735088,09,0,0,0,0,0,0,0,1,0,0,0,147987,46185,-1.697963714599609,59591,-.729893684387207,1956317,14163161,-.1614837646484375,17681284,-.0579605102539063,17540632,-.1917343139648438,4435227,2079078,562172,4498478,-.1257038116455078,326000,3615802,-.0373754501342773,281747,-.8399534225463867,116,37543,-.2406597137451172,755849,4318,-3.873336791992188,662391,-.5039510726928711,3573356,-.0527076721191406,283945,-.3866434097290039,2345458,3689775,-.1698284149169922,68508,-.1697921752929688,2473595,.0505237579345703,114634,.9585323333740234,1558457,655000,5922884,.0176877975463867,568889,-1.215192794799805,688,-5.060274124145508,5468702,-.1698732376098633,40565964,27608508,.2275714874267578,3070249,-.0473451614379883,25767544,717940,2981679,850561,-.0242557525634766,9239752,-.1805343627929688,221166,-.6453094482421875,1695582,-.051783561706543,32404,833946,.0085172653198242,75788,-.1989450454711914,1826946,-.0126972198486328,129901,647473,-.2966480255126953,1101199,-.4640817642211914,405797,-.3785953521728516,matched (3),35451684,.79738718,1421243.3,2590498.5
201010,901819,609,4751,26813262,10,0,0,0,0,0,0,0,0,1,0,0,118704,257212,1.717245101928711,105291,.5692234039306641,1956459,12901707,-.0932846069335938,18523124,.0465145111083984,15505162,-.1233463287353516,4430066,1090945,626574,4103401,-.091923713684082,1686000,3131422,-.1438264846801758,443415,.453495979309082,15495,35069,-.0681695938110352,460152,205645,3.863359451293945,578019,-.1362495422363281,3148456,-.1265935897827148,347437,.2018032073974609,1938687,1326728,-1.022849082946777,79889,.1536874771118164,2257520,-.0914058685302734,2764,-3.7250657081604,1524621,933000,5754002,-.0289278030395508,459353,-.2138671875,43408,4.144610404968262,5435035,-.0061759948730469,36338224,23841192,-.1467094421386719,3280262,.0661649703979492,22150280,659761,2565812,583257,-.3772678375244141,9895134,.0685272216796875,299561,.3034038543701172,874347,-.6623039245605469,84173,1103288,.279881477355957,61854,-.2031631469726563,1403500,-.263676643371582,19002,602319,-.0722904205322266,917721,-.1822614669799805,260508,-.4432201385498047,matched (3),34599612,.79738718,2319255,3173278
