period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1028c440,growth1028c440,Y1275c554,Y1379c586,growth1379c586,Y1451c586,growth1451c586,Y1490c268,growth1490c268,Y1706c620,growth1706c620,Y1772c498,Y1774c68,growth1774c68,Y1851c268,growth1851c268,Y2104c203,Y2166c498,Y2319c484,growth2319c484,Y232c300,growth232c300,Y2360c344,Y2553c705,growth2553c705,Y2646c703,growth2646c703,Y2743c616,growth2743c616,Y2813c218,Y2865c222,growth2865c222,Y2867c703,growth2867c703,Y3032c68,growth3032c68,Y3094c124,growth3094c124,Y3178c372,growth3178c372,Y3257c222,growth3257c222,Y3517c792,growth3517c792,Y3727c348,growth3727c348,Y3727c68,growth3727c68,Y3885c208,growth3885c208,Y3912c32,Y4002c246,growth4002c246,Y4082c642,Y4132c300,growth4132c300,Y4163c818,Y4241c233,Y4252c300,growth4252c300,Y4368c124,growth4368c124,Y4380c498,Y4417c554,Y4450c807,growth4450c807,Y4481c752,growth4481c752,Y4525c757,growth4525c757,Y4613c222,growth4613c222,Y4830c792,growth4830c792,Y4937c203,Y4992c152,growth4992c152,Y5025c440,growth5025c440,Y545c203,Y638c208,growth638c208,Y736c442,Y983c818,_merge,x,r2,s,sf
201001,901820,600,4752,71504,01,0,0,0,0,0,0,0,0,0,0,0,6715,,268633,237502,,405046,,35618,,62181,,48833,22095,,92488,,1988682,4483,412654,,82280,,771176,322381,,51243,,160050,,5576,172499,,11202,,13368,,134499,,159198,,23846,,1163141,,57322,,40182,,111647,,55744,43009,,99642,25343,,230825,13044,2107079,,99305,,26386,235561,1116,,301307,,251405,,13127,,1226284,,507420,292530,,354,,6293,91983,,245241,265148,matched (3),,.87384516,,
201002,901820,601,4752,165389,02,1,0,0,0,0,0,0,0,0,0,0,10815,.4765901565551758,560781,806762,1.22285270690918,108822,-1.314287185668945,104129,1.072779655456543,45025,-.3228311538696289,36463,41171,.6223821640014648,97932,.0571937561035156,3276418,343163,71234,-1.75663948059082,76194,-.0768451690673828,348769,433935,.2971601486206055,389989,2.029539108276367,296320,.6159543991088867,8144,192042,.1073226928710938,10373,-.0768861770629883,11765,-.1277341842651367,157839,.1600189208984375,12049,-2.581167221069336,34773,.3772249221801758,3392031,1.070304870605469,127784,.8016567230224609,38397,-.0454397201538086,84870,-.2742214202880859,125708,87415,.7092571258544922,121540,2367,-2.370879173278809,207876,843,616970,-1.228237152099609,123006,.2140378952026367,153343,287962,1230,.0972633361816406,300398,-.003021240234375,329512,.2705478668212891,24023,.6043405532836914,1422568,.1484756469726563,408914,475659,.4861335754394531,3624,2.32603645324707,9880,49373,-.6222000122070313,415934,487787,matched (3),178635.3,.87384516,112641.89,175935.42
201003,901820,602,4752,80854,03,0,1,0,0,0,0,0,0,0,0,0,6484,-.5115966796875,385246,937597,.1502914428710938,225006,.7264137268066406,86802,-.1820011138916016,101265,.8105230331420898,80271,65985,.4716930389404297,78661,-.2191257476806641,2471040,397543,360072,1.620334625244141,415961,1.697308540344238,622947,542677,.2236194610595703,106661,-1.296463012695313,328710,.1037359237670898,7357,228295,.1729249954223633,2161,-1.5686354637146,20679,.5639896392822266,136677,-.1439552307128906,246176,3.017065048217773,52458,.4111719131469727,3871290,.1321582794189453,52223,-.8948183059692383,12082,-1.156262397766113,190038,.8061037063598633,183916,92335,.0547571182250977,494839,57565,3.191291809082031,1160944,2659,1747410,1.041069030761719,176070,.3586483001708984,83693,285426,3,-6.016157150268555,240535,-.2222423553466797,183780,-.5838737487792969,37418,.4431400299072266,2220538,.4452857971191406,473471,386166,-.2084341049194336,12158,1.210409164428711,4812,38413,-.2510080337524414,400601,675173,matched (3),238396.03,.87384516,124718.74,183901.72
201004,901820,603,4752,59979,04,0,0,1,0,0,0,0,0,0,0,0,5639,-.1396312713623047,368923,189604,-1.598382949829102,148183,-.4176788330078125,67447,-.2522869110107422,65664,-.4331903457641602,57107,60135,-.0928354263305664,20160,-1.361446380615234,1234165,305432,133973,-.9886665344238281,51445,-2.090078353881836,374243,479391,-.123997688293457,57506,-.6177663803100586,138971,-.8609104156494141,13280,273454,.1804943084716797,1944,-.1058230400085449,27146,.2721109390258789,114028,-.1811761856079102,174358,-.3449363708496094,39901,-.2736120223999023,3828166,-.0112018585205078,40344,-.2580804824829102,28397,.8545665740966797,572455,1.102709770202637,239560,46887,-.6776828765869141,0,4264,-2.602707862854004,237436,2279,931594,-.6289920806884766,155635,-.1233682632446289,34882,297832,6057,7.610357761383057,412112,.5384292602539063,296917,.4797134399414063,32614,-.1374101638793945,1042805,-.7558355331420898,508782,473664,.2042312622070313,11810,-.0290403366088867,5256,18811,-.713953971862793,466588,441292,matched (3),56433.02,.87384516,94318.883,164806.34
201005,901820,604,4752,166171,05,0,0,0,1,0,0,0,0,0,0,0,7338,.2633600234985352,600844,201161,.0591678619384766,192910,.2637758255004883,77805,.1428632736206055,122851,.6264209747314453,90979,131566,.7829170227050781,64810,1.167758941650391,1329676,514067,656405,1.589139938354492,22995,-.80523681640625,537624,526465,.0936679840087891,103623,.5888700485229492,155792,.1142559051513672,15188,286225,.0456447601318359,3567,.6069774627685547,72547,.9830045700073242,126125,.1008291244506836,44441,-1.366948127746582,25511,-.447291374206543,4852850,.2371807098388672,67478,.5143585205078125,11443,-.908905029296875,172809,-1.197747230529785,95557,82788,.56854248046875,205412,8540,.6945533752441406,530968,24377,1123787,.1875619888305664,193441,.2174587249755859,103575,237060,4304,-.341670036315918,500945,.1952009201049805,721915,.8884553909301758,13034,-.917180061340332,2972061,1.047341346740723,477649,326225,-.3729104995727539,9985,-.1678628921508789,7950,89029,1.554519653320313,345518,736255,matched (3),222983.14,.87384516,76460.102,155277.89
201006,901820,605,4752,139290,06,0,0,0,0,1,0,0,0,0,0,0,4709,-.4435911178588867,307655,389400,.6605014801025391,171409,-.1181716918945313,55584,-.3363103866577148,76585,-.4725704193115234,130947,65721,-.6940898895263672,44020,-.3868160247802734,1337227,78730,628136,-.0440216064453125,14710,-.4467487335205078,834765,448641,-.1599617004394531,57898,-.5820760726928711,117200,-.2846393585205078,8146,192271,-.3978719711303711,7324,.7194309234619141,11396,-1.850972175598145,142422,.12152099609375,359790,2.091358184814453,57189,.8072519302368164,4634846,-.0459632873535156,60633,-.1069622039794922,30674,.9860372543334961,692533,1.388169288635254,150627,34204,-.8839406967163086,61048,9705,.1278800964355469,745541,46155,1136371,.0111360549926758,620544,1.165624618530273,14071,328140,19788,1.525530815124512,252125,-.6865711212158203,249469,-1.062573432922363,21452,.498255729675293,1184070,-.9202976226806641,444070,553590,.5288362503051758,5064,-.6789274215698242,7874,23718,-1.322727203369141,263759,315012,matched (3),267650.63,.87384516,114232.4,176957.95
201007,901820,606,4752,129835,07,0,0,0,0,0,1,0,0,0,0,0,7524,.4686222076416016,798353,253189,-.4304704666137695,264546,.4339628219604492,48218,-.1421632766723633,67344,-.1285877227783203,47018,92594,.3428058624267578,30046,-.3819141387939453,1155047,73575,698484,.1061563491821289,3961,-1.312030792236328,650564,589369,.2728300094604492,33070,-.5600566864013672,322087,1.010939598083496,37252,227033,.1661891937255859,5405,-.3038320541381836,29964,.9667339324951172,70433,-.704132080078125,194286,-.6161890029907227,237277,1.422866821289063,3478252,-.2870731353759766,55905,-.0811853408813477,17998,-.5331554412841797,182358,-1.334384918212891,102225,122287,1.274027824401856,368268,216156,3.103359222412109,685861,5316,754297,-.4098091125488281,137029,-1.510404586791992,136843,526505,15141,-.267669677734375,213230,-.1675539016723633,226644,-.0959539413452148,36462,.5304527282714844,2922016,.903315544128418,418972,464156,-.176203727722168,3363,-.4093236923217773,6811,18337,-.2573137283325195,370555,654101,matched (3),213987.8,.87384516,104184.07,170644.06
201008,901820,607,4752,88009,08,0,0,0,0,0,0,1,0,0,0,0,11280,.4049339294433594,522736,284397,.1162347793579102,353182,.2889680862426758,40038,-.1859025955200195,66753,-.008814811706543,164220,91042,-.0169038772583008,94962,1.150747299194336,1918469,122728,309340,-.8144712448120117,40631,2.328034400939941,395794,542672,-.0825471878051758,75526,.8258504867553711,223046,-.3674440383911133,14096,171859,-.2784204483032227,7193,.2857837677001953,6208,-1.57415771484375,126174,.5830001831054688,63672,-1.115586280822754,338992,.3567485809326172,3472998,-.0015115737915039,47076,-.1718902587890625,33641,.6254854202270508,138548,-.274754524230957,119010,155345,.2392778396606445,84820,12749,-2.830547332763672,550801,4641,633264,-.1748991012573242,1485627,2.383399963378906,56352,907528,11604,-.2660560607910156,323954,.4182300567626953,156287,-.3716859817504883,11353,-1.166788101196289,882640,-1.197111129760742,425287,445879,-.0401725769042969,5840,.5518980026245117,4589,115977,1.844470977783203,301537,472685,matched (3),682523.19,.87384516,102724.7,169757.02
201009,901820,608,4752,55650,09,0,0,0,0,0,0,0,1,0,0,0,4324,-.9588508605957031,451953,480309,.5240583419799805,257900,-.3144111633300781,56231,.3396387100219727,71904,.0743331909179688,96906,132998,.3790130615234375,185044,.6671171188354492,892571,224596,550428,.5762548446655273,36094,-.1184043884277344,1496361,595963,.0936727523803711,115796,.4273529052734375,442212,.6844120025634766,8796,94402,-.5991125106811523,6432,-.1118221282958984,74487,2.484786033630371,87803,-.3625669479370117,40440,-.4539260864257813,182431,-.6196050643920898,2945278,-.1648149490356445,40335,-.1545438766479492,51247,.4209117889404297,292062,.7457494735717773,265885,85026,-.6026906967163086,24879,35436,1.022275924682617,13727,10377,2435189,1.346892356872559,375798,-1.374540328979492,101388,548530,4587,-.9281234741210938,274080,-.1671810150146484,255028,.4896783828735352,27810,.8959131240844727,1994671,.8153171539306641,401207,436107,-.022160530090332,7865,.2976913452148438,16745,41856,-1.019156455993652,101101,504916,matched (3),68940.438,.87384516,82283.945,158226.81
201010,901820,609,4752,17319,10,0,0,0,0,0,0,0,0,1,0,0,13987,1.173947334289551,210097,377868,-.2398843765258789,152362,-.5263128280639648,29644,-.6402082443237305,34276,-.7408866882324219,91072,143384,.0751924514770508,65815,-1.033746719360352,779955,493183,757752,.3196601867675781,19220,-.6301755905151367,666163,469877,-.2377071380615234,54504,-.7535552978515625,133759,-1.195750236511231,19366,83796,-.1191768646240234,5614,-.1360225677490234,19252,-1.353010177612305,132958,.4149379730224609,241812,1.788341522216797,62064,-1.078206062316895,4180309,.3501815795898438,24209,-.5104951858520508,51288,.0007991790771484,144112,-.7063751220703125,181635,85606,.0067977905273438,21221,4947,-1.968947410583496,104808,1668,663526,-1.300211906433106,265152,-.3487491607666016,273625,371886,6953,.4159469604492188,419926,.4266586303710938,526866,.7255735397338867,19082,-.3766498565673828,1489642,-.2919435501098633,471678,420904,-.0354824066162109,6717,-.157780647277832,38203,23639,-.5713376998901367,375080,381377,matched (3),-75201.32,.87384516,85491.086,159918.11
