period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1055c826,growth1055c826,Y1400c152,Y1424c554,Y1540c586,growth1540c586,Y1686c440,growth1686c440,Y1752c440,growth1752c440,Y1980c484,growth1980c484,Y2080c826,growth2080c826,Y2120c372,growth2120c372,Y2327c208,Y2560c191,growth2560c191,Y2603c586,growth2603c586,Y2764c208,growth2764c208,Y2897c300,growth2897c300,Y2945c381,Y2968c484,growth2968c484,Y2984c124,growth2984c124,Y3007c757,growth3007c757,Y3260c428,growth3260c428,Y3394c554,Y3406c381,Y3453c152,growth3453c152,Y3454c498,Y3455c203,Y3465c300,growth3465c300,Y365c376,Y3681c484,growth3681c484,Y3738c208,growth3738c208,Y3820c826,growth3820c826,Y4077c218,Y4138c233,Y4173c586,growth4173c586,Y4181c826,growth4181c826,Y4210c376,Y4277c191,growth4277c191,Y4306c152,growth4306c152,Y4329c352,growth4329c352,Y4634c300,growth4634c300,Y4681c642,Y4711c348,growth4711c348,Y4757c152,growth4757c152,Y4760c620,growth4760c620,Y4793c688,growth4793c688,Y4838c246,growth4838c246,Y4922c428,growth4922c428,Y5009c222,growth5009c222,Y619c233,Y663c440,growth663c440,Y679c792,growth679c792,Y686c251,growth686c251,_merge,x,r2,s,sf
201001,901831,600,4753,6260871,01,0,0,0,0,0,0,0,0,0,0,0,965026,,362064,327075,263239,,1912783,,15255,,3052565,,337711,,5462478,,62145,11805,,22640,,9111296,,490268,,1141584,193446,,6192936,,250074,,81395,,274121,1306400,352352,,8118,107395,3410,,228000,160198,,138232,,2827187,,109841,7239,117527,,104796,,97000,238657,,10426855,,116077,,61389,,53746,39642,,1120416,,1871185,,77666,,5808,,25083,,6001,,49576,467263,,105149,,3969602,,matched (3),,.92764288,,
201002,901831,601,4753,3022686,02,1,0,0,0,0,0,0,0,0,0,0,618967,-.4441032409667969,159962,69804,132511,-.686396598815918,1596008,-.1810531616210938,37058,.8875770568847656,4577677,.4052095413208008,190758,-.5711851119995117,5353724,-.0201101303100586,33089,14919,.2341117858886719,25,-6.808597564697266,7438525,-.2028427124023438,374676,-.2688913345336914,1176850,108126,-.5817012786865234,4921958,-.2297029495239258,121869,-.7188100814819336,445183,1.699172019958496,72762,4280463,278423,-.2354888916015625,4036,130179,28819,2.134323120117188,351000,72483,-.7930583953857422,48141,-1.05479907989502,1839959,-.4295387268066406,33278,6642,105400,-.1089048385620117,103988,-.0077400207519531,183000,208428,-.1354341506958008,2449912,-1.448331832885742,239550,.7245082855224609,25070,-.8955593109130859,50850,70132,.5704898834228516,662349,-.5256624221801758,1156880,-.4808454513549805,294880,1.334151268005371,18583,1.16301155090332,61789,.9015350341796875,629,-2.255549907684326,23896,504301,.0762815475463867,76012,-.3244867324829102,3517139,-.1210184097290039,matched (3),4633697.5,.92764288,534335.81,689987.56
201003,901831,602,4753,3942397,03,0,1,0,0,0,0,0,0,0,0,0,672394,.0827932357788086,2444295,190174,300204,.8177967071533203,2289954,.3610258102416992,8712,-1.447783470153809,8768234,.6499433517456055,270621,.3497133255004883,5937181,.1034412384033203,45617,10245,-.3758459091186523,2713,4.686934471130371,9102584,.2018852233886719,758576,.7053813934326172,1303693,128933,.1759958267211914,5010941,.0179176330566406,182260,.4024877548217773,42709,-2.344076156616211,102066,1903277,372837,.2919998168945313,904,173292,21191,-.3074588775634766,504000,318882,1.481468200683594,97622,.7069683074951172,2303401,.2246437072753906,34929,7494,103547,-.0177373886108398,400702,1.348942756652832,911000,265011,.240178108215332,9669692,1.372943878173828,275785,.1408596038818359,60147,.8751201629638672,68303,85253,.1952438354492188,1434353,.7726764678955078,1409826,.1977396011352539,158752,-.6192255020141602,27675,.3982820510864258,164628,.9799633026123047,4027,1.856646060943604,64195,802410,.4644460678100586,220058,1.062999725341797,4689162,.2876062393188477,matched (3),2643512,.92764288,574860.56,721826
201004,901831,603,4753,4641798,04,0,0,1,0,0,0,0,0,0,0,0,531535,-.2350759506225586,3197438,78702,280661,-.0673151016235352,1734974,-.2775392532348633,22710,.958104133605957,5078058,-.5462064743041992,245146,-.0988655090332031,6101457,.0272932052612305,80,10922,.0639896392822266,6501,.8739013671875,6984473,-.2648687362670898,400783,-.6380224227905273,871742,181420,.341522216796875,3910127,-.2480545043945313,192305,.0536479949951172,116964,1.007456779479981,177575,2854084,227435,-.4942770004272461,7506,98895,63847,1.102913856506348,298000,161470,-.6805009841918945,50560,-.6579418182373047,889789,-.9511575698852539,187396,30087,102407,-.0110702514648438,716159,.580683708190918,1286000,223967,-.1682729721069336,1816812,-1.671913146972656,209906,-.2729616165161133,63284,.0508403778076172,0,128137,.4074773788452148,1635717,.1313667297363281,1520023,.0752592086791992,103550,-.4272890090942383,3258,-2.139415740966797,122189,-.2981195449829102,1308,-1.124522686004639,95074,586100,-.3141298294067383,332195,.4118309020996094,5404362,.1419525146484375,matched (3),4065875.5,.92764288,280235.28,518748.38
201005,901831,604,4753,5430962,05,0,0,0,1,0,0,0,0,0,0,0,276620,-.6531238555908203,87462,133557,443061,.4565601348876953,2198068,.2365865707397461,20543,-.1002845764160156,10201140,.69757080078125,253097,.0319194793701172,6248119,.0237531661987305,49344,2829,-1.350855827331543,24987,1.346399307250977,6691994,-.0427780151367188,283917,-.3447380065917969,1352206,127945,-.3492145538330078,8064980,.7239618301391602,516755,.9884862899780273,218255,.6237983703613281,443404,3087782,407875,.5840969085693359,2921,142027,9595,-1.895247459411621,485000,271341,.5190563201904297,39284,-.2523441314697266,7052457,2.070146560668945,119060,35089,173210,.5255489349365234,750049,.0462369918823242,1821000,228800,.0213499069213867,1844785,.0152797698974609,289593,.3218164443969727,57507,-.0957260131835938,55045,227829,.5754947662353516,1608109,-.0170221328735352,1668753,.0933513641357422,106695,.0299196243286133,7146,.7854385375976563,17229,-1.958974838256836,908,-.3650102615356445,67177,929039,.4606609344482422,380261,.1351356506347656,3061383,-.5683393478393555,matched (3),3870587.8,.92764288,397864.91,590647.63
201006,901831,605,4753,5237018,06,0,0,0,0,1,0,0,0,0,0,0,527481,.6454677581787109,353085,94387,434561,-.0193710327148438,1778382,-.2118749618530273,30455,.3937292098999023,6935807,-.3858022689819336,252296,-.0031700134277344,6595151,.0540542602539063,6812,2003,-.3452773094177246,16174,-.4349508285522461,7741499,.1456842422485352,419802,.3911008834838867,1261787,83907,-.4218912124633789,6229500,-.258234977722168,399630,-.2570295333862305,97471,-.8061094284057617,138636,2917424,308824,-.2781896591186523,18952,210926,6995,-.3160467147827148,115000,228247,-.172947883605957,90894,.8388767242431641,2932646,-.8774709701538086,88140,3088,165371,-.0463132858276367,481118,-.444025993347168,880000,185543,-.2095623016357422,950875,-.6627359390258789,286635,-.0102672576904297,70484,.2034797668457031,48450,18311,-2.521093368530273,960585,-.5152711868286133,1283746,-.262293815612793,159024,.3990812301635742,5127,-.33203125,83612,1.579592704772949,5483,1.798162937164307,68470,1001925,.0755271911621094,313834,-.1919937133789063,4326770,.3459539413452148,matched (3),3911455.5,.92764288,250385.5,503250.41
201007,901831,606,4753,6793171,07,0,0,0,0,0,1,0,0,0,0,0,887983,.5208396911621094,1615586,167674,616365,.3495025634765625,2668536,.4058265686035156,12741,-.871424674987793,5749770,-.1875371932983398,244575,-.0310811996459961,5899639,-.1114435195922852,7641,1164,-.5427837371826172,51216,1.152647018432617,9945401,.2505149841308594,900326,.7629737854003906,1447847,136498,.4866008758544922,4773013,-.2663183212280273,330666,-.1894302368164063,103832,.0632190704345703,107764,4791058,547230,.5720977783203125,3401,115425,51726,2.000764846801758,120000,240057,.0504484176635742,67047,-.3043003082275391,4905730,.5144987106323242,44019,277632,160596,-.0292987823486328,837317,.5540895462036133,562000,327276,.5675172805786133,2256969,.8643960952758789,187403,-.4249477386474609,88975,.2329692840576172,104986,135615,2.002318382263184,972622,.0124530792236328,1315733,.0246114730834961,163417,.0272502899169922,5137,.001948356628418,63839,-.2698230743408203,3963,-.324650764465332,39472,1233668,.20806884765625,471219,.406458854675293,6167986,.3545513153076172,matched (3),4292053,.92764288,259617.8,507906.97
201008,901831,607,4753,5742362,08,0,0,0,0,0,0,1,0,0,0,0,833803,-.0629549026489258,994002,138397,515057,-.1795616149902344,1726047,-.4356966018676758,33148,.9561576843261719,2427999,-.8620929718017578,333828,.3111038208007813,6928749,.1607885360717773,8327,1013,-.1389460563659668,189373,1.307666778564453,9885685,-.0060234069824219,686012,-.2718620300292969,887466,117504,-.1498374938964844,4226205,-.121673583984375,43647,-2.024974822998047,338232,1.180957794189453,277854,4258668,453528,-.1878118515014648,2755,149969,161094,1.136027336120606,344000,205020,-.1577692031860352,50364,-.2861166000366211,3240220,-.4147624969482422,113661,25420,164913,.0265254974365234,785901,-.0633716583251953,647000,226772,-.3668584823608398,1397725,-.4791774749755859,218957,.155613899230957,52400,-.5294485092163086,37808,2991,-3.814212799072266,1335828,.3173103332519531,1407772,.0676145553588867,143523,-.1298103332519531,11834,.8345069885253906,113262,.5733394622802734,12875,1.178285598754883,51627,749371,-.4985122680664063,248957,-.6380424499511719,3931517,-.4503469467163086,matched (3),3956668.3,.92764288,280900.38,519108
201009,901831,608,4753,5182869,09,0,0,0,0,0,0,0,1,0,0,0,1258161,.4114084243774414,325486,98290,674186,.2692289352416992,2030829,.1626100540161133,19935,-.5085058212280273,8084061,1.202827453613281,339886,.0179843902587891,7879504,.1285848617553711,812,1078,.0621914863586426,152063,-.2194242477416992,8912496,-.1036338806152344,643679,-.063694953918457,1182584,194632,.5046377182006836,3922749,-.0745115280151367,8117,-1.682173728942871,336490,-.0051631927490234,20661,3213472,209961,-.7701358795166016,11874,239262,71092,-.8180131912231445,77000,262387,.2467136383056641,62326,.2131023406982422,3036226,-.0650262832641602,38721,27663,138133,-.1772012710571289,460169,-.5352363586425781,467000,208769,-.0827169418334961,1656732,.1700010299682617,159110,-.319279670715332,50028,-.0463237762451172,58510,370966,4.820503234863281,1152718,-.1474285125732422,1611057,.1348819732666016,413805,1.058899879455566,10300,-.1388320922851563,53944,-.7417573928833008,6957,-.6155385971069336,49835,381966,-.6739034652709961,166140,-.404449462890625,2812136,-.3350811004638672,matched (3),4435553.5,.92764288,258634.63,507405.13
201010,901831,609,4753,3995332,10,0,0,0,0,0,0,0,0,1,0,0,1142889,-.0960912704467773,178759,177299,281196,-.8744544982910156,1602066,-.2371501922607422,39975,.6957769393920898,2989443,-.994807243347168,144015,-.8586921691894531,7591539,-.0372304916381836,1362,565,-.6460371017456055,20946,-1.982346534729004,8589763,-.0368824005126953,643278,-.0006227493286133,2429932,162295,-.1816940307617188,3762534,-.0417003631591797,216033,3.281471252441406,156249,-.7671175003051758,152631,2872037,425363,.7060213088989258,757,237819,21624,-1.190171241760254,194000,72456,-1.28684139251709,54921,-.1264829635620117,2989926,-.0153665542602539,38237,1056,116161,-.1732397079467773,709081,.4323759078979492,346000,194224,-.0722160339355469,6987177,1.439229965209961,155461,-.0232009887695313,33297,-.4071159362792969,34729,7602,-3.887699127197266,1048431,-.0948276519775391,1066454,-.4125518798828125,138321,-1.095817565917969,5114,-.7001628875732422,29639,-.5988550186157227,12550,.5899724960327148,33117,529343,.3263053894042969,283026,.5327081680297852,5185693,.6119594573974609,matched (3),4278804,.92764288,263949.34,510134.63
