period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1084c752,growth1084c752,Y1164c818,Y1173c152,growth1173c152,Y1358c484,growth1358c484,Y1456c818,Y1489c222,growth1489c222,Y1527c222,growth1527c222,Y1539c428,Y1569c586,growth1569c586,Y1602c688,growth1602c688,Y1710c124,growth1710c124,Y1757c586,growth1757c586,Y1771c268,growth1771c268,Y2137c376,Y2393c344,Y2452c376,Y24c191,Y2637c352,growth2637c352,Y2638c372,growth2638c372,Y2790c372,growth2790c372,Y3059c68,growth3059c68,Y3081c246,growth3081c246,Y3266c484,growth3266c484,Y3315c440,growth3315c440,Y3397c222,growth3397c222,Y3461c818,Y3482c344,Y3518c818,Y3697c498,Y3703c818,Y3749c428,growth3749c428,Y3804c642,Y3811c818,Y4076c818,Y4204c818,Y4252c246,growth4252c246,Y4272c376,Y4275c818,Y4345c484,growth4345c484,Y4354c818,Y4682c428,growth4682c428,Y4753c352,growth4753c352,Y4917c484,growth4917c484,Y4925c818,Y4982c344,Y596c620,growth596c620,Y603c203,Y677c32,Y684c818,Y723c554,_merge,x,r2,s,sf
201001,901832,600,4754,880782,01,0,0,0,0,0,0,0,0,0,0,0,2080908,,1399892,1073763,,1153812,,17575,977,,37873,,214,36093,,165269,,381886,,20358,,17239,,202000,1755952,145000,720905,78407,,213914,,73098,,8895,,100731,,693450,,400647,,28021,,33651,2030284,749947,5584,405253,13194,,132431,2703539,872345,198056,1033048,,724000,4148979,118492,,1483945,150830,,26454,,3451456,,93727,1223121,101374,,2569706,49222,753,72036,matched (3),,.85415035,,
201002,901832,601,4754,449046,02,1,0,0,0,0,0,0,0,0,0,0,2812999,.3014469146728516,806432,629974,-.5332460403442383,1315739,.1313266754150391,4843,3253,1.202846050262451,79306,.73907470703125,115,13852,-.9576692581176758,36332,-1.514875411987305,421361,.0983676910400391,6916,-1.079636573791504,66324,1.347377777099609,46000,1734873,134000,912844,19222,-1.405858039855957,175899,-.1956644058227539,57662,-.2372026443481445,12036,.3024129867553711,206660,.7186212539672852,857815,.2127094268798828,425511,.0602102279663086,184271,1.883453369140625,1213,1340867,518741,7075,291034,7961,-.5052070617675781,72232,1844128,777670,263950,1277922,.2127218246459961,828000,3670817,67225,-.5668001174926758,1406807,135104,-.1101083755493164,19194,-.3208093643188477,3556966,.0301113128662109,183188,1463839,122188,.1867437362670898,2367835,27309,32919,36088,matched (3),671656.13,.85415035,79608.234,191612.7
201003,901832,602,4754,481785,03,0,1,0,0,0,0,0,0,0,0,0,3135623,.108576774597168,1083995,385835,-.4902687072753906,1209687,-.0840368270874023,16749,6078,.6250982284545898,80419,.0139369964599609,978,34286,.9063072204589844,173410,1.562959671020508,733973,.5549821853637695,34686,1.612498283386231,130230,.6747503280639648,48000,2853630,229000,1359161,80990,1.438270568847656,233203,.2819995880126953,49242,-.1578512191772461,61643,1.633457183837891,155594,-.2838249206542969,1090778,.2402582168579102,428383,.0067262649536133,184397,.0006837844848633,42553,2521867,758274,8300,309590,15658,.676426887512207,96991,1829685,933711,205572,2997685,.852604866027832,860000,2953752,71740,.06500244140625,1524242,173297,.24896240234375,66257,1.238943099975586,3569319,.0034666061401367,201115,1732351,116241,-.0498952865600586,2641015,21011,38177,16867,matched (3),1095447.4,.85415035,114997.92,208812.06
201004,901832,603,4754,669527,04,0,0,1,0,0,0,0,0,0,0,0,875442,-1.275854110717773,1165597,1717139,1.49300479888916,558098,-.7735815048217773,55216,7687,.2348546981811523,111642,.3280467987060547,0,49669,.3706436157226563,33143,-1.654827117919922,446239,-.4976177215576172,32914,-.0524377822875977,77853,-.5144796371459961,19000,3797759,59000,1405048,257397,1.156293869018555,276103,.1688642501831055,64942,.2767477035522461,20336,-1.108966827392578,192427,.2124662399291992,668490,-.4896249771118164,1035738,.8828525543212891,23945,-2.041331291198731,48154,2128558,1084989,12670,175118,13990,-.1126394271850586,0,2487945,1215650,418815,3894173,.2616405487060547,949000,2234400,78893,.0950441360473633,1038983,122260,-.3488569259643555,57856,-.1355838775634766,3469253,-.0284347534179688,82324,2815595,126959,.0881986618041992,2611740,15518,20251,17671,matched (3),789974.75,.85415035,76514.758,190348.28
201005,901832,604,4754,690267,05,0,0,0,1,0,0,0,0,0,0,0,642722,-.3090171813964844,359075,352037,-1.584677696228027,1280316,.830327033996582,108133,2190,-1.255629062652588,90071,-.2146987915039063,1193,56913,.1361427307128906,155930,1.548576354980469,494758,.1032142639160156,260560,2.068935394287109,81485,.0455961227416992,76000,3611000,105000,1356620,101863,-.9269905090332031,161450,-.5365781784057617,28824,-.812286376953125,44677,.7870664596557617,364770,.6395502090454102,1184274,.5718631744384766,1056708,.0200443267822266,42892,.5829257965087891,28002,1612772,1138533,5265,2421034,16467,.1630163192749023,35855,10925837,342554,33516,2722258,-.3580198287963867,879000,12274504,136376,.5473232269287109,4062128,85173,-.3614654541015625,20382,-1.043305397033691,5017116,.3689155578613281,259207,1909488,140124,.098663330078125,2428759,48292,23339,32591,matched (3),2481229,.85415035,370606.06,409544.66
201006,901832,605,4754,761807,06,0,0,0,0,1,0,0,0,0,0,0,656254,.0208358764648438,355471,1272164,1.284737586975098,536887,-.869074821472168,19998,2564,.1576671600341797,152428,.5260934829711914,364,102132,.584742546081543,43069,-1.286603927612305,387898,-.2433261871337891,18731,-2.63265323638916,124872,.4268703460693359,38000,4907208,201000,1581383,120443,.1675472259521484,279289,.5480518341064453,133032,1.529380798339844,4181,-2.368908882141113,191542,-.6441593170166016,1315079,.104766845703125,1174834,.1059684753417969,178424,1.425477027893066,83322,1649446,1053212,12002,413888,17459,.0584964752197266,62525,2284017,1365602,1200492,1734959,-.4504776000976563,951000,1756442,73826,-.6137046813964844,2317131,128210,.4089851379394531,54864,.9902057647705078,5056762,.0078716278076172,50490,3668499,83633,-.5160894393920898,2671988,82290,38473,18565,matched (3),845562,.85415035,194513.28,261176.91
201007,901832,606,4754,861609,07,0,0,0,0,0,1,0,0,0,0,0,703555,.0695981979370117,785707,1670997,.2727012634277344,901554,.5183324813842773,175570,11356,1.48817777633667,60090,-.9308481216430664,1557,88120,-.1475667953491211,57615,.2909793853759766,418841,.0767488479614258,2823,-1.892380237579346,104182,-.1811494827270508,196000,2462169,158000,1295663,157894,.270747184753418,531804,.6440277099609375,38375,-1.243183135986328,38205,2.212416648864746,273505,.3562126159667969,1274401,-.0314197540283203,1771931,.4109430313110352,162769,-.0918302536010742,59762,1695681,1435977,18165,584479,17742,.0160799026489258,202828,2335941,3083686,419272,2111713,.1965160369873047,1132000,3689898,105865,.3604536056518555,2819920,140292,.0900564193725586,32158,-.5341968536376953,4786170,-.0549964904785156,169032,3157841,108998,.2648916244506836,3072327,66508,55012,41076,matched (3),965881.88,.85415035,123641.29,213694
201008,901832,607,4754,855510,08,0,0,0,0,0,0,1,0,0,0,0,699599,-.0056390762329102,570976,1335743,-.2239322662353516,582587,-.436640739440918,89976,7422,-.425297737121582,87441,.3751201629638672,0,62499,-.3435487747192383,188021,1.182770729064941,531546,.2382984161376953,18840,1.898182392120361,149967,.3642759323120117,58000,2864310,155000,1768156,23030,-1.925126075744629,389560,-.3112573623657227,55286,.3651132583618164,18810,-.7085781097412109,311991,.1316537857055664,1503614,.1653947830200195,1441671,-.2062673568725586,126060,-.2555742263793945,32543,2304056,761540,2395,708984,12380,-.3598527908325195,98536,2275084,2856834,387886,1361879,-.438633918762207,1157000,2828525,69384,-.4225082397460938,2769207,196543,.3371553421020508,11592,-1.020345687866211,7469328,.4450750350952148,195423,2485940,108088,-.0083837509155273,3164926,55253,24186,31843,matched (3),311212.06,.85415035,109070.86,205607.42
201009,901832,608,4754,636135,09,0,0,0,0,0,0,0,1,0,0,0,2533841,1.286984443664551,1255186,1051005,-.239741325378418,1416323,.8883399963378906,21156,24862,1.208891868591309,81068,-.0756759643554688,1385,84941,.3068065643310547,65448,-1.0552978515625,457189,-.1506929397583008,24324,.2554807662963867,104906,-.3573513031005859,10000,2819196,210000,1680765,47744,.7290554046630859,266745,-.3787250518798828,40706,-.3061437606811523,5402,-1.24761962890625,185612,-.5193157196044922,1278710,-.1620197296142578,1386400,-.0390920639038086,144535,.1367635726928711,15509,1111227,180414,7570,671803,15895,.2499217987060547,65394,2086363,2245441,1084885,1625157,.1767387390136719,781000,3090326,98600,.3514156341552734,1371595,130893,-.4065017700195313,71893,1.824863433837891,5577402,-.2920818328857422,20088,1970614,75349,-.3608150482177734,2472069,41619,1134,56967,matched (3),958442.56,.85415035,131586.83,218387.39
201010,901832,609,4754,708490,10,0,0,0,0,0,0,0,0,1,0,0,2549168,.0060310363769531,2289824,1757396,.5140867233276367,1229317,-.1416053771972656,32884,30194,.1943025588989258,86153,.0608367919921875,324,153838,.5939426422119141,282255,1.461555480957031,650294,.3523273468017578,30449,.2245903015136719,82586,-.2392244338989258,26000,2882075,81000,1690144,41050,-.15106201171875,219828,-.1934471130371094,778778,2.951350212097168,61773,2.436697006225586,186039,.0022983551025391,998634,-.2472190856933594,1995280,.3640737533569336,240457,.5090198516845703,66906,1338104,12103874,20588,1790814,14155,-.115936279296875,183190,2403313,2915426,1113649,1746533,.0720281600952148,979000,4175137,3061398,3.435555458068848,2393593,169812,.2603120803833008,49923,-.3646965026855469,5814142,.041569709777832,60111,3843909,74956,-.0052299499511719,2457935,49626,96459,37361,matched (3),1597546.3,.85415035,336917.75,379330.38
