period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1212c484,growth1212c484,Y137c124,growth137c124,Y147c124,growth147c124,Y1728c32,Y1735c152,growth1735c152,Y1759c152,growth1759c152,Y1776c620,growth1776c620,Y1900c124,growth1900c124,Y1900c36,Y1903c484,growth1903c484,Y2008c268,growth2008c268,Y2019c124,growth2019c124,Y2307c222,growth2307c222,Y2322c484,growth2322c484,Y2831c124,growth2831c124,Y2861c752,growth2861c752,Y2877c703,Y2925c152,growth2925c152,Y2963c36,Y2991c440,growth2991c440,Y3127c586,growth3127c586,Y3420c620,growth3420c620,Y3473c246,growth3473c246,Y3698c586,growth3698c586,Y3762c484,growth3762c484,Y3808c300,growth3808c300,Y4038c484,growth4038c484,Y4197c376,Y4240c251,Y4259c376,Y425c124,growth425c124,Y4291c376,Y4386c124,growth4386c124,Y4391c616,growth4391c616,Y4467c152,growth4467c152,Y4578c222,growth4578c222,Y4686c352,growth4686c352,Y4734c792,growth4734c792,Y4800c376,Y4917c376,Y4917c484,growth4917c484,Y4937c222,growth4937c222,Y4941c554,Y4943c251,growth4943c251,Y4961c586,Y4990c300,growth4990c300,Y4992c124,growth4992c124,Y598c807,growth598c807,Y679c792,growth679c792,Y890c484,growth890c484,_merge,x,r2,s,sf
201001,901839,600,4755,6708836,01,0,0,0,0,0,0,0,0,0,0,0,1076562,,2623881,,6605338,,3298313,354192,,6305260,,121132,,6109990,,5502578,7362024,,26229,,821845,,827052,,2917635,,11632757,,456634,,10588,2356215,,11538089,38806,,55383,,462185,,318901,,9036,,588412,,48275,,3369931,,32705000,533862,2827000,194397,,1535000,6022753,,50461736,,98293,,82366,,5158,,159517,,508000,902000,3451456,,3254,,301524,24442540,,15705,218842,,2335658,,4776,,105149,,14401300,,matched (3),,.92419767,,
201002,901839,601,4755,5300999,02,1,0,0,0,0,0,0,0,0,0,0,4051792,1.325387001037598,2825571,.0740566253662109,4776650,-.3241386413574219,3083936,245949,-.3647146224975586,4440232,-.350677490234375,43207,-1.030879020690918,6388817,.0446233749389648,6090170,9252721,.2285823822021484,135791,1.644251823425293,363698,-.8152284622192383,650262,-.2404918670654297,4275549,.3821392059326172,12825548,.0976142883300781,390947,-.1553096771240234,972,547578,-1.459306716918945,12477613,11673,-1.201295852661133,16760,-1.195277214050293,389766,-.1704187393188477,301534,-.0559978485107422,4673,-.6594152450561523,796810,.3031883239746094,13835,-1.249711990356445,2950939,-.1327695846557617,22879000,150664,4847000,83772,-.8418035507202148,997000,5708819,-.053532600402832,51566016,.0216464996337891,89579,-.0928325653076172,18734,-1.480832099914551,2691,-.6506361961364746,1183091,2.003734588623047,881000,1494000,3556966,.0301113128662109,12054,1.309511184692383,238700,23669186,-.0321502685546875,28648,133162,-.4967832565307617,2894099,.2143802642822266,10657,.8026142120361328,76012,-.3244867324829102,12009487,-.1816215515136719,matched (3),8770232,.92419767,1172660.3,1836276.6
201003,901839,602,4755,5186015,03,0,1,0,0,0,0,0,0,0,0,0,2177778,-.620854377746582,1812970,-.4437446594238281,8485059,.5745677947998047,3270977,268756,.088679313659668,3867688,-.1380500793457031,27688,-.4450035095214844,5356861,-.1761703491210938,4621605,9214581,-.0041313171386719,171711,.2346954345703125,567512,.4449377059936523,1054673,.4836101531982422,3827661,-.1106586456298828,10561056,-.1942653656005859,254508,-.4292402267456055,8754,1994418,1.2926025390625,11808568,31857,1.003978729248047,15571,-.0735845565795898,461852,.1696987152099609,286641,-.0506525039672852,7870,.5212574005126953,558970,-.3545198440551758,110222,2.075294494628906,4529891,.4285745620727539,27902000,149111,3684000,190443,.821253776550293,2007000,5780910,.0125484466552734,64583580,.22509765625,236886,.9724588394165039,313196,2.816489219665527,8071,1.098364353179932,618162,-.649134635925293,1321000,958000,3569319,.0034666061401367,18722,.440302848815918,337835,26987932,.1312160491943359,23979,100191,-.2844886779785156,2842905,-.0178470611572266,15741,.3900518417358398,220058,1.062999725341797,13770291,.1368179321289063,matched (3),7481939.5,.92419767,939087.56,1696663
201004,901839,603,4755,5090517,04,0,0,1,0,0,0,0,0,0,0,0,2521719,.1466360092163086,2938704,.4830026626586914,4267041,-.6873865127563477,2724090,462577,.5430088043212891,3892719,.0064516067504883,209005,2.021359443664551,5215738,-.026698112487793,0,5902957,-.4453325271606445,16209,-2.360245704650879,556031,-.0204372406005859,1055961,.001220703125,4850865,.236903190612793,7319084,-.3666877746582031,230130,-.1006879806518555,590,1133273,-.5652427673339844,0,6403,-1.604491233825684,25312,.4858684539794922,429858,-.0717897415161133,300989,.0488433837890625,14262,.5945405960083008,500557,-.1103744506835938,63351,-.5538053512573242,2502517,-.5934009552001953,23049000,110077,3380000,145635,-.26824951171875,1701000,5462131,-.0567216873168945,48960376,-.2769489288330078,216371,-.0905847549438477,88509,-1.263725280761719,3454,-.8487443923950195,366490,-.5227794647216797,1156000,933000,3469253,-.0284347534179688,9656,-.6621198654174805,311340,24239996,-.1073856353759766,135004,80875,-.2141733169555664,2682570,-.0580511093139648,9763,-.4776697158813477,332195,.4118309020996094,7458388,-.6131744384765625,matched (3),4301196,.92419767,1569255.3,2111715.5
201005,901839,604,4755,6876720,05,0,0,0,1,0,0,0,0,0,0,0,2353853,-.0688877105712891,2315438,-.2383699417114258,5536171,.2603826522827148,2928355,165072,-1.030430793762207,2316813,-.5189151763916016,56216,-1.313157081604004,6152146,.1651210784912109,0,6557791,.1051998138427734,73656,1.513838768005371,476042,-.1553182601928711,1271159,.1854782104492188,5631847,.1492805480957031,8722623,.1754350662231445,157136,-.3815326690673828,929,659756,-.5409946441650391,0,24939,1.35966682434082,40001,.4576253890991211,477538,.1051883697509766,395816,.2738752365112305,5339,-.9825611114501953,667708,.2881288528442383,467690,1.999114990234375,3774698,.4110240936279297,23309000,249179,3416000,111295,-.2689189910888672,2159000,5885275,.0746145248413086,54360716,.1046295166015625,232116,.0702428817749023,153357,.5496644973754883,10940,1.15289306640625,607651,.5056295394897461,1150000,1421000,5017116,.3689155578613281,11963,.2142391204833984,325152,20567936,-.1642704010009766,28465,119447,.3899679183959961,3561211,.2833251953125,16930,.5504875183105469,380261,.1351356506347656,9842812,.2774009704589844,matched (3),4505063,.92419767,1714023.1,2221408.5
201006,901839,605,4755,7211733,06,0,0,0,0,1,0,0,0,0,0,0,3795296,.4777088165283203,2400238,.0359687805175781,6753907,.1988182067871094,2788948,204943,.2163496017456055,3035540,.2701959609985352,234353,1.427627563476563,8308969,.3005342483520508,0,7381649,.1183433532714844,91798,.2201852798461914,703335,.3903274536132813,1420892,.1113557815551758,5830618,.0346851348876953,10825269,.2159624099731445,172999,.0961742401123047,330,2703218,1.410327911376953,0,38269,.4282073974609375,27945,-.3586664199829102,459028,-.0395326614379883,403603,.0194826126098633,6380,.1781301498413086,692750,.0368185043334961,55310,-2.134852409362793,4893667,.2596216201782227,21663000,306044,3622000,140299,.2315912246704102,2278000,6040930,.0261049270629883,59748116,.0944957733154297,81405,-1.047801017761231,113731,-.2989330291748047,2513,-1.470948696136475,449590,-.301264762878418,1326000,1522000,5056762,.0078716278076172,46944,1.367136955261231,242571,23042560,.1136093139648438,77296,137952,.1440334320068359,3163171,-.118525505065918,38923,.8324985504150391,313834,-.1919937133789063,11247396,.1333961486816406,matched (3),5605576,.92419767,1597513.4,2132798.5
201007,901839,606,4755,7940483,07,0,0,0,0,0,1,0,0,0,0,0,2977201,-.2427787780761719,3257649,.3054380416870117,6182106,-.0884618759155273,3180325,440824,.7659139633178711,3561753,.1598634719848633,127087,-.6119565963745117,8334008,.0030088424682617,10624248,8123118,.0957174301147461,181980,.6843061447143555,715253,.0168027877807617,1001503,-.3497829437255859,5787760,-.0073776245117188,9352113,-.1462802886962891,304338,.5648536682128906,1201,1612134,-.5168848037719727,14752716,52663,.3192729949951172,45153,.4798183441162109,444211,-.032811164855957,418665,.0366392135620117,1105,-1.753322601318359,677241,-.0226421356201172,10453,-1.666064262390137,2759913,-.5727434158325195,23192000,464424,4857000,151861,.0791902542114258,1674000,5024939,-.1841449737548828,45907640,-.2635059356689453,177071,.7771139144897461,124647,.0916500091552734,8642,1.235156536102295,644936,.3608150482177734,1595000,1725000,4786170,-.0549964904785156,356056,2.026132583618164,331563,23248556,.0088996887207031,68083,188082,.309971809387207,3177121,.0044002532958984,12544,-1.132343292236328,471219,.406458854675293,6844744,-.4966554641723633,matched (3),9835790,.92419767,973185.13,1715770.8
201008,901839,607,4755,8142075,08,0,0,0,0,0,0,1,0,0,0,0,4083875,.3160629272460938,2928703,-.1064462661743164,7126375,.1421432495117188,4226896,652113,.3915719985961914,2625627,-.3049325942993164,239636,.6342487335205078,8713180,.0444927215576172,10800770,8981851,.1004924774169922,112639,-.4797086715698242,667990,-.0683631896972656,1518409,.4161605834960938,5019924,-.1423301696777344,10137362,.0806255340576172,767223,.9246377944946289,7954,1211552,-.2856559753417969,15213088,5539,-2.252099990844727,22453,-.6986322402954102,522536,.1623945236206055,376766,-.1054468154907227,6554,1.780229568481445,725541,.0688905715942383,14437,.3229055404663086,3470892,.229212760925293,25793000,39768,5105000,153460,.0104742050170898,2575000,5506548,.0915241241455078,49186044,.0689792633056641,167115,-.0578680038452148,203429,.4898309707641602,11411,.2779436111450195,272019,-.8632793426513672,1180000,1741000,7469328,.4450750350952148,96790,-1.302544593811035,336653,24419966,.0491580963134766,68196,133147,-.3454246520996094,2957366,-.0716762542724609,14730,.16064453125,248957,-.6380424499511719,8984591,.272028923034668,matched (3),17310538,.92419767,1098831.8,1790031
201009,901839,608,4755,8858926,09,0,0,0,0,0,0,0,1,0,0,0,5273511,.2556495666503906,3135418,.0682029724121094,7598924,.064204216003418,3822674,402145,-.4834051132202148,2965891,.1218576431274414,373274,.4431915283203125,8489851,-.025965690612793,11874421,8249879,-.0850086212158203,10662,-2.357501983642578,610671,-.0897150039672852,271260,-1.72234058380127,5282865,.0510540008544922,10709906,.0549411773681641,512169,-.4041223526000977,13213,1559529,.2524814605712891,15330181,20028,1.285317420959473,30776,.3153114318847656,647608,.2145910263061523,466588,.2138223648071289,30978,1.553202629089356,939291,.2582082748413086,19130,.2814626693725586,4175929,.1849250793457031,25962000,204729,3968000,111142,-.3226318359375,1238000,6475868,.162144660949707,63011472,.2477073669433594,282019,.5232915878295898,200891,-.0125541687011719,6884,-.5053777694702148,664746,.8935337066650391,764000,858000,5577402,-.2920818328857422,33807,-1.051876068115234,185283,25037232,.02496337890625,200298,165618,.2182302474975586,3026686,.0231685638427734,42188,1.052248954772949,166140,-.404449462890625,14190882,.4570903778076172,matched (3),9400317,.92419767,1016515.8,1740713.8
201010,901839,609,4755,8664805,10,0,0,0,0,0,0,0,0,1,0,0,3581501,-.3869142532348633,3631054,.1467609405517578,6787811,-.1128778457641602,2702509,605759,.4096698760986328,4144228,.3345394134521484,50755,-1.995302200317383,10331052,.1962833404541016,10399823,7691245,-.0701150894165039,57608,1.686975479125977,602609,-.0132894515991211,503593,.6186904907226563,4089560,-.2560319900512695,8096942,-.2796831130981445,338725,-.4134664535522461,3363,699105,-.8023386001586914,13566263,29075,.3727474212646484,5738,-1.679624557495117,556926,-.150853157043457,319395,-.3790178298950195,515,-4.096866130828857,633026,-.3946142196655273,25320,.2803373336791992,2920486,-.3575868606567383,24950000,82590,4744000,160956,.3703222274780273,2548000,5709063,-.1260271072387695,57177260,-.0971603393554688,89487,-1.147880554199219,300999,.4043445587158203,2771,-.9099917411804199,272812,-.8906221389770508,1006000,1046000,5814142,.041569709777832,42156,.2207098007202148,232518,23850282,-.0485687255859375,60337,88941,-.6217107772827148,2639766,-.1367778778076172,6991,-1.797512054443359,283026,.5327081680297852,8083173,-.5628156661987305,matched (3),9126324,.92419767,817481.13,1632499.8
