period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1187c757,growth1187c757,Y1201c372,growth1201c372,Y1202c600,growth1202c600,Y1360c586,growth1360c586,Y1467c124,growth1467c124,Y1526c68,growth1526c68,Y1542c826,growth1542c826,Y1611c352,growth1611c352,Y1853c586,growth1853c586,Y2003c752,growth2003c752,Y2530c233,Y2561c642,Y2631c586,growth2631c586,Y2635c586,growth2635c586,Y2773c381,Y2775c344,Y2921c586,growth2921c586,Y2926c705,growth2926c705,Y2932c268,growth2932c268,Y3029c586,growth3029c586,Y3140c152,growth3140c152,Y3254c484,growth3254c484,Y3452c36,Y3605c484,growth3605c484,Y3693c344,Y3694c344,Y3883c348,growth3883c348,Y4004c586,growth4004c586,Y4085c218,Y4160c381,Y4233c191,growth4233c191,Y4284c222,growth4284c222,Y4358c218,Y4402c752,growth4402c752,Y4403c554,Y4412c208,growth4412c208,Y4429c68,growth4429c68,Y4480c218,Y4581c372,growth4581c372,Y4617c792,growth4617c792,Y4745c586,growth4745c586,Y4820c68,growth4820c68,Y4938c233,Y4945c703,growth4945c703,Y496c348,growth496c348,Y4980c344,Y5005c268,growth5005c268,Y588c376,Y718c616,growth718c616,Y894c222,growth894c222,_merge,x,r2,s,sf
201001,901849,600,4757,2269356,01,0,0,0,0,0,0,0,0,0,0,0,733923,,2009266,,17697,,380299,,47614,,404776,,1517902,,13490,,80310,,836467,,947482,31367,342087,,440703,,492094,599222,156650,,15992,,67631,,306293,,132359,,940738,,3775378,141416,,65867,114651,2106836,,979673,,33245,703130,4317,,62064,,223584,327035,,44331,2051640,,11246,,640907,3130957,,25187,,68625,,416,,432843,1624403,,492636,,398809,75844,,210000,28540,,143823,,matched (3),,.91973144,,
201002,901849,601,4757,2185719,02,1,0,0,0,0,0,0,0,0,0,0,648775,-.1233186721801758,1867295,-.0732784271240234,1969,-2.19586992263794,335884,-.1241922378540039,16685,-1.048616409301758,305782,-.280461311340332,1209685,-.2269687652587891,3499,-1.349471092224121,73584,-.0874671936035156,517034,-.4810781478881836,563153,45797,165622,-.7253570556640625,335071,-.2740287780761719,404084,559931,8868,-2.871564865112305,26754,.5145950317382813,86684,.2482032775878906,189497,-.4801692962646484,76147,-.552851676940918,1707412,.5960693359375,983996,178466,.2326927185058594,10928,76030,94654,-3.102714538574219,889089,-.0970220565795898,11707,1264922,2800,-.4329409599304199,51944,-.1779994964599609,189127,215856,-.4154558181762695,45753,1732610,-.1690101623535156,4936,-.8234567642211914,354569,169591,-2.915703773498535,20397,-.2109394073486328,31971,-.7638282775878906,25100,4.099937438964844,583280,1042251,-.4437570571899414,541009,.0936651229858398,219140,33946,-.8039073944091797,48000,42079,.3882427215576172,143781,-.0002927780151367,matched (3),3365830.5,.91973144,215487.31,410767.69
201003,901849,602,4757,2409865,03,0,1,0,0,0,0,0,0,0,0,0,1461537,.8121576309204102,2369629,.2382421493530273,27182,2.62502908706665,169322,-.6849632263183594,50852,1.114409446716309,363633,.1732730865478516,1531631,.2359733581542969,12311,1.258015632629395,74372,.0106525421142578,542114,.047368049621582,2149862,118959,134559,-.2077054977416992,356296,.0614194869995117,604273,683115,40304,1.514001846313477,8148,-1.188911437988281,100931,.1521673202514648,332670,.5627784729003906,165969,.7791347503662109,2028155,.1721477508544922,1164219,193019,.0783901214599609,16591,90658,216353,.8266839981079102,799010,-.1068239212036133,47201,2118271,1489,-.6315145492553711,30931,-.5184078216552734,427998,303550,.3409347534179688,43076,2137001,.2097740173339844,35970,1.986129760742188,464372,1520955,2.193703651428223,108577,1.67207145690918,60718,.6414108276367188,87130,1.244533538818359,507899,349710,-1.092034339904785,667804,.2105588912963867,435980,87242,.9439144134521484,130000,85035,.7035140991210938,169358,.1637239456176758,matched (3),3492459.8,.91973144,226807.5,416817.63
201004,901849,603,4757,2770450,04,0,0,1,0,0,0,0,0,0,0,0,2028602,.3278589248657227,2997706,.2351140975952148,1383,-2.978299617767334,362241,.7605075836181641,60546,.1744842529296875,634359,.5564699172973633,1304744,-.1603269577026367,16403,.2869710922241211,121714,.4925947189331055,526721,-.0288057327270508,2704306,0,256633,.6456441879272461,478404,.2946939468383789,778102,600169,17849,-.8145036697387695,15010,.6109447479248047,181110,.5846681594848633,310114,-.0702114105224609,72784,-.8243045806884766,2498304,.2084856033325195,0,174959,-.0982370376586914,30013,151772,178939,-.1898670196533203,569744,-.3381862640380859,141601,4541697,14274,2.260334491729736,139348,1.505215644836426,428480,382374,.2308530807495117,35434,2418481,.1237363815307617,16069,-.8057928085327148,534058,1273349,-.1776876449584961,31338,-1.24262809753418,43293,-.3382492065429688,59021,-.3895082473754883,675386,2615775,2.012211799621582,4701142,1.951565742492676,260494,90822,.0402154922485352,40000,44406,-.649688720703125,161279,-.0488786697387695,matched (3),5415534,.91973144,581120.25,678230.13
201005,901849,604,4757,2402290,05,0,0,0,1,0,0,0,0,0,0,0,1225123,-.5043058395385742,2444014,-.2042055130004883,1326,-.0420880317687988,301499,-.1835432052612305,36777,-.4985313415527344,479865,-.2791109085083008,1256546,-.0376396179199219,7814,-.741546630859375,79522,-.4256410598754883,492079,-.0680313110351563,1899343,660379,376642,.3836479187011719,587864,.2060403823852539,673704,783407,17929,.0044727325439453,1544,-2.274340629577637,195737,.077667236328125,455499,.3844537734985352,133621,.6075115203857422,1507842,-.5049333572387695,0,118524,-.3894357681274414,18488,60923,56640,-1.15032958984375,401625,-.3496675491333008,15074,747676,3758,-1.334552764892578,32408,-1.458568572998047,165853,274171,-.3326473236083984,92563,2171869,-.1075515747070313,18164,.1225490570068359,407186,1490918,.1577415466308594,10818,-1.063619613647461,73307,.5266656875610352,31034,-.6428098678588867,604643,1091862,-.8736763000488281,3594580,-.2683782577514648,291413,49629,-.6043262481689453,123000,29086,-.4231176376342773,136371,-.1677570343017578,matched (3),4105601.5,.91973144,258277.2,434744.06
201006,901849,605,4757,3316680,06,0,0,0,0,1,0,0,0,0,0,0,1408212,.1392793655395508,2726087,.1092252731323242,36823,3.323955535888672,699419,.8414831161499023,20660,-.5766725540161133,309193,-.4395389556884766,1124018,-.1114568710327148,13627,.5561361312866211,108077,.3068103790283203,1074225,.7807149887084961,2026757,825176,120268,-1.141571998596191,980809,.5118818283081055,1666843,1939288,40818,.8227033615112305,2498,.4811139106750488,136802,-.3582372665405273,326938,-.3316230773925781,47924,-1.025391578674316,6325588,1.433923721313477,0,186412,.4528436660766602,240614,62341,70789,.2229881286621094,1373943,1.229920387268066,44671,10129317,8347,.7980155944824219,79468,.8969488143920898,335783,443020,.479863166809082,59261,1879808,-.1444187164306641,35255,.6631660461425781,495770,436742,-1.227805137634277,64305,1.782425880432129,102773,.3378658294677734,65549,.7477149963378906,1326008,1836668,.5200691223144531,13063587,1.290402412414551,388683,135968,1.007844924926758,160000,41944,.3660783767700195,219965,.4780893325805664,matched (3),6846628.5,.91973144,853983.69,922812.81
201007,901849,606,4757,3280940,07,0,0,0,0,0,1,0,0,0,0,0,1298713,-.0809469223022461,2118583,-.2521190643310547,1151,-3.46549129486084,411895,-.5294809341430664,31497,.4216928482055664,451611,.3788557052612305,784518,-.3595962524414063,5944,-.8296709060668945,95492,-.1238012313842773,982835,-.0889129638671875,1419249,689116,423833,1.259616851806641,858057,-.1337070465087891,1469212,1813941,59234,.3723726272583008,30650,2.507142543792725,130796,-.044896125793457,302472,-.0777816772460938,30595,-.4487791061401367,5558901,-.1292018890380859,721362,211410,.1258401870727539,28537,94716,55445,-.2443113327026367,816354,-.5205917358398438,49581,2651144,792,-2.355095863342285,88654,.1093864440917969,509874,404724,-.0904102325439453,74533,1568741,-.1808958053588867,42412,.1848239898681641,552414,727877,.5107898712158203,47424,-.304509162902832,164946,.4730958938598633,36936,-.5736112594604492,828807,1122935,-.4920072555541992,9476939,-.3209686279296875,316426,155022,.1311473846435547,207000,36265,-.145482063293457,169899,-.2582645416259766,matched (3),5152823,.91973144,657688.63,744882.31
201008,901849,607,4757,2777435,08,0,0,0,0,0,0,1,0,0,0,0,884056,-.384608268737793,2362532,.1089859008789063,3345,1.066835403442383,267102,-.4331378936767578,30930,-.0181655883789063,219692,-.7205944061279297,1548831,.6801862716674805,6316,.0607032775878906,53713,-.5753879547119141,952370,-.0314874649047852,359738,559903,156735,-.9947834014892578,837458,-.0242996215820313,1310317,739473,15150,-1.363494873046875,10696,-1.052762985229492,69255,-.6358432769775391,368530,.1975326538085938,128021,1.431357383728027,1818179,-1.117565155029297,892005,168499,-.2268695831298828,15964,55743,1843,-3.403997421264648,1385781,.5291709899902344,23722,1292064,292,-.997807502746582,55663,-.4654254913330078,245882,654494,.4806575775146484,35097,1605254,.0230083465576172,71631,.5240964889526367,427694,263660,-1.015472412109375,41351,-.1370315551757813,39579,-1.427319526672363,88632,.8753061294555664,690678,490358,-.8285655975341797,4964415,-.6465654373168945,245001,100449,-.4339170455932617,76000,50389,.3289194107055664,111622,-.4200859069824219,matched (3),3442807.5,.91973144,319969.19,473999.56
201009,901849,608,4757,3644035,09,0,0,0,0,0,0,0,1,0,0,0,2924845,1.196475982666016,2908340,.2078485488891602,48413,2.672301292419434,413050,.4359378814697266,37883,.2027750015258789,666671,1.11007022857666,1158053,-.2907600402832031,14562,.8353300094604492,324110,1.797428131103516,1288055,.3019342422485352,1131640,99361,334780,.7589168548583984,839307,.0022058486938477,1801204,505213,2382244,5.057797431945801,15868,.394434928894043,75481,.086085319519043,392968,.0642061233520508,174829,.3116140365600586,7979443,1.479032516479492,803905,174965,.0376558303833008,79683,142607,4551838,7.811891555786133,1711991,.2113933563232422,34626,1439455,1269,1.469230651855469,48692,-.1338005065917969,199210,500503,-.2682485580444336,49014,2378625,.3932409286499023,125560,.5612554550170898,582108,487199,.6140127182006836,51506,.2196016311645508,79370,.6958217620849609,26884,-1.192961692810059,915890,626625,.2452125549316406,6390979,.2525920867919922,295675,97431,-.0305061340332031,199000,112110,.7997074127197266,159120,.3545408248901367,matched (3),11215274,.91973144,1762073.3,1796440.1
201010,901849,609,4757,2507099,10,0,0,0,0,0,0,0,0,1,0,0,1231980,-.864619255065918,1776219,-.4930953979492188,6082,-2.074434280395508,356940,-.146000862121582,36416,-.0394935607910156,413865,-.4767570495605469,736319,-.4528322219848633,21458,.3876819610595703,73666,-1.481541633605957,855652,-.4090242385864258,450138,46069,218953,-.4246158599853516,901601,.0715951919555664,998625,564074,100094,-3.169688224792481,3569,-1.492019653320313,85047,.11932373046875,210486,-.6243085861206055,36493,-1.56668758392334,3101819,-.9448795318603516,236508,149791,-.1553449630737305,18585,64929,92832,-3.892494201660156,956319,-.5823211669921875,57130,1065525,3522,1.02079963684082,106072,.7786035537719727,285579,1052962,.743748664855957,58260,1915048,-.2167806625366211,67688,-.6178741455078125,746715,679531,.3327302932739258,65208,.2358837127685547,49786,-.4663867950439453,60592,.8126316070556641,541330,1116707,.5777912139892578,2224729,-1.055252075195313,326458,69316,-.3404684066772461,114000,24514,-1.520236015319824,157393,-.0109128952026367,matched (3),3949634.3,.91973144,221621.09,414018.38
