period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1058c222,Y1214c792,growth1214c792,Y1239c792,growth1239c792,Y1267c792,growth1267c792,Y1305c705,growth1305c705,Y1387c152,growth1387c152,Y1728c32,Y1758c344,Y1775c818,Y1820c586,growth1820c586,Y1901c68,growth1901c68,Y2120c757,growth2120c757,Y2493c124,growth2493c124,Y262c352,growth262c352,Y2762c440,growth2762c440,Y2830c586,growth2830c586,Y284c36,Y2914c68,growth2914c68,Y2979c484,growth2979c484,Y3092c608,Y3149c208,growth3149c208,Y3411c705,growth3411c705,Y3422c344,Y3486c152,growth3486c152,Y3597c688,growth3597c688,Y361c792,growth361c792,Y3702c68,growth3702c68,Y3726c68,growth3726c68,Y3834c352,growth3834c352,Y3850c344,Y3855c348,growth3855c348,Y4021c344,Y4184c586,Y4285c376,Y4322c344,Y4381c344,Y4422c344,Y4515c428,growth4515c428,Y4533c428,growth4533c428,Y4667c251,growth4667c251,Y4688c818,Y4719c348,growth4719c348,Y4833c428,growth4833c428,Y4881c124,growth4881c124,Y4976c344,Y543c268,growth543c268,Y573c68,growth573c68,Y617c428,growth617c428,Y829c440,growth829c440,Y937c484,growth937c484,_merge,x,r2,s,sf
201001,901850,600,4758,710664,01,0,0,0,0,0,0,0,0,0,0,0,53787,555356,,359173,,302375,,95015,,832915,,3298313,13505664,4807138,114980,,3748,,7751497,,15785,,10056,,11494,,8333,,410245,5229,,167750,,19139,3360980,,57345,,401348,47666,,360121,,1622310,,13973,,5499,,4934,,3280596,677444,,354768,0,2844000,22688512,8596177,11364921,1664,,2151481,,5898037,,346493,47190,,80067,,234030,,1804987,99150,,76251,,3411,,252121,,190454,,matched (3),,.93101412,,
201002,901850,601,4758,272586,02,1,0,0,0,0,0,0,0,0,0,0,0,314083,-.5699520111083984,301944,-.1735620498657227,291292,-.0373411178588867,51437,-.6136770248413086,820162,-.0154294967651367,3083936,9495863,5709530,155667,.3029613494873047,1575,-.866966724395752,8257387,.0632219314575195,106395,1.908098220825195,23857,.8639078140258789,4093,-1.032546997070313,138627,2.811563491821289,319252,3023,-.5479707717895508,451976,.9911537170410156,10356,2054178,-.4923572540283203,10350,-1.712099075317383,377538,53186,.1095771789550781,136515,-.9700050354003906,1689932,.040837287902832,11106,-.2296409606933594,2351,-.8497257232666016,1681,-1.076761245727539,1435168,1261761,.6219358444213867,336357,26022,2034000,17704920,5319866,9640866,11505,1.933557510375977,2286646,.0609292984008789,4445304,-.282771110534668,843103,43078,-.0911693572998047,39556,-.7051458358764648,636248,1.000138282775879,1503187,74539,-.2853107452392578,108944,.3568029403686523,3075,-.1037006378173828,33396,-2.021472930908203,290659,.4227409362792969,matched (3),-87552.945,.93101412,122933.55,184916.5
201003,901850,602,4758,267277,03,0,1,0,0,0,0,0,0,0,0,0,365,461001,.3837432861328125,361240,.1793003082275391,139928,-.7331981658935547,85602,.5093507766723633,693153,-.1682510375976563,3270977,13951619,8206435,118104,-.276153564453125,3598,.8261227607727051,7474821,-.0995674133300781,55392,-.6527233123779297,17230,-.3254261016845703,1508,-.9984941482543945,22335,-1.825632095336914,263851,19865,1.882709503173828,327219,-.3229990005493164,11179,3538167,.5437335968017578,956,-2.381983757019043,208591,32211,-.5014877319335938,428877,1.144735336303711,2034278,.1854534149169922,8912,-.2200870513916016,1568,-.4050397872924805,13725,2.099830627441406,1864492,1207132,-.0442609786987305,385606,16335,2525000,26175134,6658693,13797108,6010,-.6493568420410156,2567583,.1158790588378906,6148517,.3243627548217773,288498,39065,-.0977859497070313,52559,.2842187881469727,1317521,.7279195785522461,833625,23890,-1.137863159179688,4097,-3.28057861328125,3650,.171422004699707,436557,2.570483207702637,169036,-.5420398712158203,matched (3),251676.78,.93101412,104081.03,172957.56
201004,901850,603,4758,555034,04,0,0,1,0,0,0,0,0,0,0,0,744,670660,.3748617172241211,451101,.2221488952636719,736954,1.661396980285645,184548,.7682008743286133,816863,.1642208099365234,2724090,15963132,5513604,197880,.5160951614379883,10978,1.11551570892334,8153314,.086883544921875,30225,-.6057662963867188,5782,-1.091901779174805,571,-.9711503982543945,59204,.9748344421386719,0,12429,-.4689264297485352,336751,.0287141799926758,20099,2898584,-.1993865966796875,27699,3.36639404296875,340761,50332,.4463329315185547,439213,.0238142013549805,2465257,.1921548843383789,19583,.7872629165649414,1907,.1957302093505859,10436,-.2739582061767578,2298358,684664,-.5670738220214844,604110,60557,1978000,26533764,7250533,12612696,8310,.3240346908569336,4075625,.4620590209960938,9580351,.4435024261474609,550329,35490,-.0959758758544922,77075,.3828420639038086,212062,-1.826628684997559,1037874,666,-3.579925060272217,27034,1.886839866638184,2292,-.4653019905090332,45523,-2.260701179504395,126044,-.2934799194335938,matched (3),60365.336,.93101412,110197.98,176706.11
201005,901850,604,4758,635176,05,0,0,0,1,0,0,0,0,0,0,0,54892,885498,.277888298034668,245911,-.6067218780517578,604679,-.1978273391723633,128328,-.3633203506469727,785552,-.0390853881835938,2928355,16415642,35748496,261383,.2783260345458984,9372,-.1581668853759766,6590585,-.2127819061279297,72665,.8771905899047852,6782,.1595220565795898,1261,.7922711372375488,55402,-.0663738250732422,0,15959,.2499904632568359,175616,-.6510438919067383,20694,3176460,.0915451049804688,156615,1.732394218444824,560171,79561,.4578828811645508,667887,.4191341400146484,1485473,-.5065631866455078,17974,-.0857353210449219,6026,1.150551795959473,18647,.5804243087768555,2496698,1058230,.4354248046875,328299,33007,3181000,26442726,7490484,26365114,18692,.8106355667114258,4001428,-.0183725357055664,10231165,.0657253265380859,2313870,65394,.611180305480957,149256,.660883903503418,402658,.6412086486816406,1067856,30661,3.829456806182861,41142,.4199342727661133,2633,.1386990547180176,211578,1.536375999450684,188705,.4035539627075195,matched (3),343454.25,.93101412,66265.695,153207.69
201006,901850,605,4758,597983,06,0,0,0,0,1,0,0,0,0,0,0,879,865682,-.0226325988769531,181385,-.304347038269043,684229,.1235942840576172,101297,-.2365322113037109,779102,-.008244514465332,2788948,15842816,5076490,167743,-.4435539245605469,2385,-1.368527889251709,6801963,.0315685272216797,116,-6.440024852752686,14001,.7248563766479492,642,-.675072193145752,14077,-1.370073318481445,0,7046,-.8175630569458008,278581,.4614086151123047,19055,3031487,-.0467147827148438,20156,-2.050288200378418,311223,60867,-.2678327560424805,666521,-.0020465850830078,1807225,.1960592269897461,22132,.2080984115600586,2085,-1.061314105987549,10579,-.5668144226074219,2019850,854180,-.2142114639282227,603342,30714,2662000,25991596,8544752,22331504,8165,-.8282384872436523,4225317,.054443359375,9250064,-.1008090972900391,228194,38709,-.5243587493896484,153992,.0312385559082031,168418,-.871638298034668,2128187,624,-3.894596099853516,22148,-.6192817687988281,2305,-.1330432891845703,852929,1.394082069396973,108202,-.5561857223510742,matched (3),158063.83,.93101412,129797.11,189548.8
201007,901850,606,4758,700930,07,0,0,0,0,0,1,0,0,0,0,0,105567,962432,.1059455871582031,55764,-1.17949390411377,805292,.1629123687744141,106439,.0495147705078125,804463,.0320329666137695,3180325,16907908,6314035,209045,.2201166152954102,5136,.7670760154724121,8061823,.1699285507202148,29049,5.523149013519287,68532,1.588172912597656,251,-.9391350746154785,57411,1.405694007873535,772827,6661,-.0561904907226563,341426,.2034225463867188,1693,3175600,.0464439392089844,162791,2.088964462280273,643480,106189,.5565299987792969,671200,.0069952011108398,983989,-.6079330444335938,7977,-1.020462036132813,94073,3.809301853179932,7688,-.3192100524902344,2609543,984803,.1422996520996094,337790,31344,2916000,29390222,8495845,16935824,220,-3.61398458480835,3864281,-.0893192291259766,12362653,.2900505065917969,625254,55560,.3613910675048828,77843,-.6822071075439453,190225,.1217584609985352,1928594,20883,3.510540008544922,85675,1.352813720703125,576,-1.386728286743164,804383,-.0586004257202148,90518,-.1784505844116211,matched (3),1041901.8,.93101412,139659.13,196433.52
201008,901850,607,4758,754519,08,0,0,0,0,0,0,1,0,0,0,0,0,651316,-.3904685974121094,169330,1.110721588134766,944478,.1594276428222656,129870,.1989622116088867,820666,.0199413299560547,4226896,15441806,7089471,354779,.5289449691772461,2524,-.7104301452636719,5265173,-.426025390625,16821,-.546356201171875,37114,-.613306999206543,2089,2.118987560272217,169383,1.081926345825195,506318,13166,.6813678741455078,244064,-.3357009887695313,16959,3231970,.0175952911376953,37479,-1.468686103820801,356333,119682,.1196174621582031,604975,-.1038799285888672,2644268,.9885349273681641,15539,.6667909622192383,8251,-2.433736801147461,13369,.5532779693603516,2878295,821118,-.1817741394042969,463363,92264,3009000,30889196,11889072,18894322,10186,3.835141658782959,4455974,.1424703598022461,3609639,-1.231072425842285,158064,31634,-.5632305145263672,141879,.60028076171875,227989,.1810894012451172,1133950,37937,.5969915390014648,23361,-1.299492835998535,1513,.9657421112060547,1232056,.4263639450073242,98386,.0833492279052734,matched (3),83653.008,.93101412,133811.84,192320.22
201009,901850,608,4758,650213,09,0,0,0,0,0,0,0,1,0,0,0,1385,587412,-.1032686233520508,251720,.3964672088623047,396728,-.8673810958862305,78447,-.5041103363037109,815087,-.0068206787109375,3822674,17017724,6074905,253330,-.3368015289306641,8671,1.234139442443848,7323071,.3299160003662109,59527,1.263802528381348,4353,-2.143129348754883,9382,1.502107620239258,138908,-.1983509063720703,369659,10813,-.1968879699707031,288524,.1673479080200195,35760,3714555,.1391668319702148,21881,-.5381622314453125,201459,80127,-.4012250900268555,610249,.0086793899536133,1207726,-.7836551666259766,10438,-.3979005813598633,1880,-1.479062080383301,2368,-1.730893135070801,1955904,953814,.1498012542724609,2057772,12626,2051000,25767544,9705881,18272388,686,-2.697891712188721,4145307,-.0722684860229492,4503202,.2211809158325195,122812,43029,.3076419830322266,140595,-.0090913772583008,238889,.0467023849487305,1120592,435,-4.46833610534668,33552,.3620281219482422,573,-.9709639549255371,1077316,-.134211540222168,71419,-.3203344345092773,matched (3),965160.19,.93101412,103523.79,172622.8
201010,901850,609,4758,1112181,10,0,0,0,0,0,0,0,0,1,0,0,109486,736759,.2265348434448242,391157,.4407920837402344,326911,-.1935634613037109,40803,-.6536674499511719,816716,.0019960403442383,2702509,15269073,7266038,190692,-.2840337753295898,10491,.1905336380004883,10063072,.3178434371948242,46700,-.2426862716674805,7188,.5015478134155273,12410,.2797098159790039,85231,-.4884462356567383,433910,6731,-.4740257263183594,328055,.1284027099609375,32032,3291852,-.1208086013793945,112131,1.634049415588379,200125,62232,-.2527437210083008,571090,-.066319465637207,1403580,.1502866744995117,39164,1.322304725646973,12584,1.901154518127441,14439,1.807887077331543,2471826,1323133,.3272895812988281,281741,28517,2721000,22150280,13177554,21795084,468,-.3824090957641602,4174510,.0070199966430664,14634208,1.178573608398438,237833,89080,.7276601791381836,176314,.2263832092285156,379157,.4619512557983398,1796382,2937,1.90979814529419,37183,.1027555465698242,4475,2.055375576019287,1231865,.1340570449829102,76442,.0679683685302734,matched (3),97968.359,.93101412,135986.69,193839.72
