period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1068c124,growth1068c124,Y1199c484,growth1199c484,Y1247c752,growth1247c752,Y1268c826,growth1268c826,Y1504c586,growth1504c586,Y1594c440,growth1594c440,Y1755c222,growth1755c222,Y1765c344,Y1783c32,Y2055c705,growth2055c705,Y2074c203,Y2150c352,growth2150c352,Y2346c705,growth2346c705,Y2355c152,growth2355c152,Y2464c218,Y2472c826,growth2472c826,Y2599c616,growth2599c616,Y2620c826,growth2620c826,Y2712c372,growth2712c372,Y2934c688,growth2934c688,Y3276c616,growth3276c616,Y3279c484,growth3279c484,Y3334c124,growth3334c124,Y3415c348,growth3415c348,Y3495c344,Y3603c608,Y3632c826,growth3632c826,Y3646c251,growth3646c251,Y3868c620,growth3868c620,Y3949c152,growth3949c152,Y3984c600,growth3984c600,Y4357c600,growth4357c600,Y4401c68,growth4401c68,Y4414c757,growth4414c757,Y4417c152,growth4417c152,Y4625c268,growth4625c268,Y4630c344,Y4748c32,Y4770c152,growth4770c152,Y4927c268,growth4927c268,Y4982c428,growth4982c428,Y4989c68,growth4989c68,Y573c68,growth573c68,Y599c372,growth599c372,Y629c554,Y663c428,growth663c428,Y667c705,growth667c705,Y674c428,growth674c428,Y829c268,growth829c268,Y855c826,growth855c826,_merge,x,r2,s,sf
201001,901890,600,4759,27972072,01,0,0,0,0,0,0,0,0,0,0,0,113307,,376467,,1667940,,2496216,,2134490,,36118,,14410,,13689092,2678954,108914,,151702,368333,,264535,,10279,,1381661,1329381,,203131,,872519,,56792,,4717,,180142,,10952147,,12122309,,461072,,2222871,15865,1719771,,290505,,3633665,,746526,,372260,,42115,,22447,,5548704,,359451,,11193,,721544,1340800,765157,,3496,,87803,,115770,,76251,,506497,,609551,407363,,920862,,258236,,1973501,,1465793,,matched (3),,.91917032,,
201002,901890,601,4759,25298532,02,1,0,0,0,0,0,0,0,0,0,0,93831,-.1886062622070313,571018,.4165897369384766,600659,-1.021317481994629,2277317,-.0917778015136719,1312612,-.4862089157104492,23486,-.4303874969482422,28928,.6968870162963867,9440332,3035178,68390,-.46533203125,336866,316966,-.1501932144165039,98935,-.9835109710693359,9577,-.0707378387451172,1032021,903613,-.3860673904418945,54655,-1.312809944152832,633523,-.3200883865356445,9747,-1.762435913085938,2819,-.5147905349731445,1205382,1.900806427001953,9323519,-.1609954833984375,11324381,-.0680904388427734,367341,-.2272634506225586,1039687,10678,1479914,-.1502065658569336,426444,.3838605880737305,2425479,-.4042119979858398,699800,-.06463623046875,410543,.0978879928588867,31416,-.293086051940918,9383,-.8722572326660156,4525281,-.2038841247558594,373030,.0370807647705078,65497,1.766716003417969,893923,545731,413459,-.6155223846435547,6610,.6369638442993164,279402,1.157556533813477,54518,-.7530746459960938,108944,.3568029403686523,444456,-.1306676864624023,477630,469999,.1430263519287109,857846,-.0708856582641602,403080,.4452610015869141,1888114,-.0442304611206055,1417582,-.0334434509277344,matched (3),29817564,.91917032,1892715.4,2830168.3
201003,901890,602,4759,26427376,03,0,1,0,0,0,0,0,0,0,0,0,183749,.6720762252807617,814149,.3547229766845703,1183902,.6785440444946289,1889433,-.1867218017578125,1878239,.3583164215087891,59527,.9300260543823242,17868,-.4817981719970703,13569555,3220170,115147,.5209827423095703,311461,393155,.2154092788696289,594200,1.792753219604492,15046,.4517478942871094,975623,1278181,.3467922210693359,350472,1.858240127563477,702051,.1027097702026367,78946,2.091804504394531,14034,1.605100631713867,1409090,.1561479568481445,16024981,.5416088104248047,13981292,.2107620239257813,639980,.5551462173461914,1735630,14311,783411,-.6360816955566406,504258,.1676063537597656,2960407,.1992969512939453,1269739,.5957727432250977,297589,-.3217668533325195,45131,.3622512817382813,30328,1.173171997070313,6841182,.4132804870605469,489396,.2715129852294922,109042,.5097284317016602,1535729,2027737,644639,.4441318511962891,14133,.7599287033081055,554240,.6849460601806641,89596,.4967794418334961,4097,-3.28057861328125,240907,-.6124401092529297,655891,488327,.0382547378540039,1620056,.6357917785644531,436339,.07928466796875,1914982,.014129638671875,1855845,.2693872451782227,matched (3),38982788,.91917032,1485784.1,2575856.3
201004,901890,603,4759,33139918,04,0,0,1,0,0,0,0,0,0,0,0,36115,-1.626862525939941,486839,-.5142097473144531,1111994,-.0626611709594727,2574171,.3092508316040039,2201130,.1586360931396484,25452,-.8496360778808594,17371,-.0282096862792969,14828891,3163013,33049,-1.248218536376953,195337,402735,.0240755081176758,125277,-1.556689262390137,32612,.7735681533813477,1424805,2135096,.5130739212036133,157085,-.8024940490722656,859098,.2018766403198242,16083,-1.591001510620117,20212,.3647937774658203,1665491,.16717529296875,14737562,-.0837478637695313,15150921,.0803413391113281,570726,-.114527702331543,2233977,19256,1558672,.687932014465332,264883,-.6437997817993164,3994690,.2996397018432617,2565931,.7035093307495117,369689,.2169485092163086,36403,-.2149181365966797,64619,.7564363479614258,5195880,-.2750940322875977,214095,-.8267526626586914,138467,.2388992309570313,1022652,1898344,688085,.0652217864990234,6489,-.7784042358398438,562510,.0148105621337891,156959,.5606746673583984,27034,1.886839866638184,295545,.2044105529785156,758890,646893,.2811956405639648,2096977,.2580356597900391,529451,.1934213638305664,2524074,.2761659622192383,2051029,.1000022888183594,matched (3),35299348,.91917032,1833382.4,2790837
201005,901890,604,4759,31337040,05,0,0,0,1,0,0,0,0,0,0,0,1653,-3.084116935729981,13802,-3.563119888305664,1094638,-.0157308578491211,1477141,-.5554189682006836,1541280,-.3563575744628906,50601,.6871776580810547,11623,-.4018154144287109,14211915,1978966,123770,1.320433616638184,140194,841852,.7373247146606445,21674,-1.754413604736328,22286,-.3807220458984375,1142543,1841848,-.1477422714233398,37576,-1.430421829223633,960899,.1119861602783203,6783,-.8633432388305664,12134,-.5102653503417969,1277104,-.2655248641967773,14582313,-.0105915069580078,13968503,-.0812549591064453,706822,.2138700485229492,1722268,6182,1447012,-.0743341445922852,335471,.2362470626831055,3670589,-.0846138000488281,928102,-1.016934394836426,325897,-.1260805130004883,33008,-.0979013442993164,7721,-2.124564170837402,5063040,-.0258989334106445,381355,.5773115158081055,164205,.1704835891723633,831730,1989445,497675,-.3239650726318359,1001,-1.8691086769104,354296,-.462275505065918,136490,-.1397333145141602,41142,.4199342727661133,246351,-.1820640563964844,436045,666057,.0291938781738281,2031854,-.0315485000610352,407252,-.2624082565307617,1528419,-.5016403198242188,1525003,-.2963457107543945,matched (3),36357200,.91917032,1393156.1,2523562
201006,901890,605,4759,40041848,06,0,0,0,0,1,0,0,0,0,0,0,31156,2.93641471862793,577068,3.733146667480469,1198652,.0907735824584961,707902,-.7355575561523438,1935218,.2276067733764648,52261,.0322790145874023,84898,1.98846435546875,15558141,5126924,55665,-.7990732192993164,176441,471589,-.5794963836669922,26535,.2023515701293945,108025,1.578404426574707,1838535,3065935,.5095834732055664,93274,.9091758728027344,976629,.0162382125854492,82806,2.502080917358398,15631,.2532444000244141,1620163,.2379322052001953,13976795,-.0424098968505859,18952898,.3051509857177734,505630,-.3349742889404297,2143420,39342,1500448,.0362634658813477,335732,.0007781982421875,3734088,.01715087890625,1942442,.7385597229003906,553889,.5303831100463867,60045,.5983448028564453,11752,.420079231262207,4077768,-.2164173126220703,287721,-.2817392349243164,200714,.2007656097412109,1004903,1765239,667151,.2930688858032227,67351,4.20891809463501,370907,.0458183288574219,95851,-.3534564971923828,22148,-.6192817687988281,334825,.3068504333496094,606245,890158,.2900238037109375,2361640,.1504077911376953,576254,.3471164703369141,1829257,.1796760559082031,2313587,.4168024063110352,matched (3),42555204,.91917032,1717083.8,2715853
201007,901890,606,4759,41705308,07,0,0,0,0,0,1,0,0,0,0,0,136170,1.474897384643555,373385,-.4353504180908203,317640,-1.328034400939941,950289,.2944602966308594,1937556,.0012073516845703,54029,.0332698822021484,105092,.2133855819702148,17032512,4455651,117503,.7471122741699219,239923,1121172,.8660221099853516,229888,2.159127235412598,38031,-1.043961524963379,1591753,3063740,-.0007162094116211,277760,1.091216087341309,1126322,.1426057815551758,29184,-1.042880058288574,926,-2.826136589050293,1197560,-.3022403717041016,14832557,.0594253540039063,13804881,-.3169345855712891,456207,-.1028585433959961,2233532,48267,1776745,.1690187454223633,298039,-.1190891265869141,4676614,.2250709533691406,2561219,.2765369415283203,425750,-.2631120681762695,67115,.1113128662109375,24821,.7476673126220703,6294540,.4341325759887695,737988,.9419355392456055,247186,.2082595825195313,1121644,2266221,531069,-.228123664855957,21567,-1.138752937316895,428302,.1438770294189453,239116,.9141530990600586,85675,1.352813720703125,302359,-.1019926071166992,604666,1007618,.1239461898803711,2210824,-.0659904479980469,636089,.0987892150878906,2547020,.3310146331787109,3797259,.4954805374145508,matched (3),38113288,.91917032,1055148.9,2353894.5
201008,901890,607,4759,41099192,08,0,0,0,0,0,0,1,0,0,0,0,67683,-.6990690231323242,354899,-.050776481628418,336303,.0570945739746094,787513,-.1878862380981445,1954688,.0088033676147461,51123,-.0552864074707031,10278,-2.324831008911133,15815141,3880092,51328,-.8282270431518555,228009,624293,-.58551025390625,90347,-.933934211730957,25246,-.409733772277832,1678777,1192574,-.9435224533081055,154184,-.5886106491088867,886615,-.2393016815185547,3807,-2.036779403686523,2314,.915858268737793,1300855,.0827350616455078,13389225,-.1023731231689453,16586917,.1835918426513672,443037,-.0292930603027344,1904691,12373,2139852,.1859540939331055,93844,-1.155590057373047,2819937,-.505859375,1475968,-.5511693954467773,188777,-.8132858276367188,98794,.3866300582885742,15637,-.4620504379272461,8815776,.3368597030639648,329003,-.8078603744506836,195232,-.2359523773193359,1316259,1674692,879777,.5047760009765625,4298,-1.613015174865723,241540,-.5727930068969727,84803,-1.036617279052734,23361,-1.299492835998535,409609,.3035879135131836,508308,871073,-.1456193923950195,1735080,-.2423124313354492,604053,-.0516757965087891,907711,-1.031753540039063,2345935,-.4815950393676758,matched (3),36034340,.91917032,1288366.6,2467259.5
201009,901890,608,4759,41321556,09,0,0,0,0,0,0,0,1,0,0,0,167709,.9073953628540039,136455,-.9558382034301758,1332592,1.37686824798584,1025434,.2639913558959961,1988168,.0169820785522461,58780,.1395673751831055,9313,-.0985937118530273,16384012,4082915,60754,.1685962677001953,256458,728114,.1538381576538086,305785,1.219223976135254,28773,.1307697296142578,1857811,1349079,.1233081817626953,124884,-.2107610702514648,1007555,.1278705596923828,13580,1.271757125854492,19808,2.14710807800293,1206934,-.0749387741088867,11478780,-.1539516448974609,14119415,-.1610622406005859,461277,.0403451919555664,1662276,21964,2912696,.3083419799804688,387672,1.418525695800781,2884353,.0225858688354492,1824738,.212122917175293,239405,.2375898361206055,90007,-.0931501388549805,43042,1.01253604888916,8970310,.0173768997192383,354698,.075200080871582,117521,-.5075712203979492,1433778,2701393,410939,-.7612237930297852,12337,1.054452896118164,248254,.0274171829223633,102443,.1889753341674805,33552,.3620281219482422,300204,-.3107404708862305,613860,647473,-.2966480255126953,1127435,-.4311084747314453,689920,.1329135894775391,1680049,.6156520843505859,1661121,-.3451919555664063,matched (3),34015580,.91917032,1535077.3,2604600.3
201010,901890,609,4759,33374388,10,0,0,0,0,0,0,0,0,1,0,0,1810,-4.528903484344482,85566,-.4667072296142578,531088,-.9199533462524414,1447095,.3444423675537109,1471867,-.3006811141967773,30682,-.6501255035400391,29219,1.143407821655273,16683548,3122834,126576,.7340097427368164,255997,836248,.1384677886962891,366076,.1799592971801758,29336,.0193777084350586,1142871,902040,-.4025192260742188,333875,.9833812713623047,998847,-.0086803436279297,10730,-.2355546951293945,13913,-.3532619476318359,1070152,-.1202821731567383,10076909,-.1302528381347656,16315972,.14459228515625,410823,-.1158361434936523,1613888,24499,3002586,.0303955078125,361933,-.0687007904052734,2231507,-.2566232681274414,1346938,-.3036031723022461,203657,-.1617193222045898,58159,-.43670654296875,28080,-.4271183013916016,7759674,-.1449794769287109,290878,-.1983633041381836,71327,-.4993429183959961,1417824,2542430,591963,.3649997711181641,9909,-.2191591262817383,120426,-.7234172821044922,42342,-.8835268020629883,37183,.1027555465698242,453973,.4135751724243164,630477,602319,-.0722904205322266,1108307,-.0171108245849609,634012,-.084507942199707,1657660,-.0134162902832031,2712277,.4902963638305664,matched (3),36104524,.91917032,1329461,2488965
