period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y129c381,Y1497c191,growth1497c191,Y1595c68,growth1595c68,Y1708c757,growth1708c757,Y1900c586,growth1900c586,Y1927c191,growth1927c191,Y2166c208,growth2166c208,Y2207c124,growth2207c124,Y2295c344,Y2307c222,growth2307c222,Y2401c300,growth2401c300,Y2495c703,growth2495c703,Y2646c705,growth2646c705,Y2914c68,growth2914c68,Y3157c152,growth3157c152,Y3431c484,growth3431c484,Y3699c124,growth3699c124,Y3735c268,growth3735c268,Y3748c124,growth3748c124,Y3757c440,growth3757c440,Y3908c208,growth3908c208,Y3955c484,growth3955c484,Y4005c372,growth4005c372,Y4019c440,growth4019c440,Y4089c191,growth4089c191,Y4174c222,growth4174c222,Y4196c484,growth4196c484,Y4271c600,growth4271c600,Y4396c484,growth4396c484,Y4425c218,Y4526c300,growth4526c300,Y4526c484,growth4526c484,Y4528c376,Y4581c68,growth4581c68,Y4620c222,growth4620c222,Y462c752,growth462c752,Y4667c752,Y471c484,growth471c484,Y4759c208,growth4759c208,Y4917c484,growth4917c484,Y4961c600,growth4961c600,Y4977c300,growth4977c300,Y4984c246,growth4984c246,Y5034c757,growth5034c757,Y533c208,growth533c208,Y606c705,growth606c705,Y621c191,growth621c191,Y668c792,growth668c792,Y694c752,growth694c752,Y749c348,growth749c348,_merge,x,r2,s,sf
201001,901920,600,4761,17745862,01,0,0,0,0,0,0,0,0,0,0,0,51243,239116,,150605,,3428401,,68618,,100,,1799821,,41145,,1857410,827052,,68766,,10346,,26569,,5229,,83080,,2609902,,1016731,,4880,,3855903,,66329,,4726757,,10875064,,167990,,105850,,30636,,9692,,31849372,,279969,,4122198,,319499,1408415,,71775648,,1789000,9778048,,684285,,103955,,759810,240499,,22009226,,3451456,,125878,,3458857,,166914,,231091,,2073059,,574452,,69919,,42336,,9798715,,120038,,matched (3),,.92614591,,
201002,901920,601,4761,15058144,02,1,0,0,0,0,0,0,0,0,0,0,50906,169662,-.3431406021118164,99065,-.41888427734375,1199506,-1.05018424987793,67962,-.0096063613891602,4249,3.749268531799316,1641664,-.0919771194458008,42706,.0372371673583984,694419,650262,-.2404918670654297,26452,-.9553775787353516,15696,.4168062210083008,46057,.5501346588134766,3023,-.5479707717895508,55241,-.4080991744995117,2385519,-.0898962020874023,1167791,.1385221481323242,11645,.8697309494018555,3160243,-.1989555358886719,55544,-.1774520874023438,4678635,-.0102329254150391,5878758,-.6151266098022461,25202,-1.896981239318848,8392,-2.534744262695313,33702,.0953807830810547,23510,.8861246109008789,28646682,-.1059799194335938,187582,-.4004621505737305,3841741,-.0704612731933594,170948,1382429,-.0186223983764648,71247320,-.0073890686035156,1233000,4119401,-.8644313812255859,333135,-.7198266983032227,165306,.4638404846191406,1574981,160027,-.4073734283447266,21613764,-.0181312561035156,3556966,.0301113128662109,34722,-1.28794002532959,2489160,-.3289928436279297,338290,.7064247131347656,141716,-.4889869689941406,1605196,-.2557792663574219,654847,.1309843063354492,96894,.3262805938720703,63600,.4069757461547852,9848933,.0051116943359375,205785,.5390243530273438,matched (3),21716128,.92614591,1459598.5,2124613.5
201003,901920,602,4761,17026088,03,0,1,0,0,0,0,0,0,0,0,0,34756,294131,.5502176284790039,147520,.3981876373291016,1186083,-.0112533569335938,61570,-.0987739562988281,16049,1.328963279724121,1670775,.0175771713256836,34351,-.2177085876464844,2176748,1054673,.4836101531982422,34566,.2675380706787109,46296,1.081649780273438,19895,-.8394107818603516,19865,1.882709503173828,153721,1.023434638977051,3353831,.3406867980957031,1521416,.2645273208618164,11128,-.0454120635986328,3477954,.095794677734375,56799,.022343635559082,5374840,.1387224197387695,14301718,.8890352249145508,50884,.7026252746582031,18470,.7888689041137695,42328,.2278919219970703,32865,.3349828720092773,35747408,.2214412689208984,273774,.378087043762207,7012246,.6017322540283203,489520,2151804,.4424638748168945,93145528,.2680072784423828,1661000,4312948,.0459136962890625,323413,-.0296173095703125,167026,.0103511810302734,2154250,58465,-1.006914138793945,23391724,.0790519714355469,3569319,.0034666061401367,27327,-.2394981384277344,2707891,.0842247009277344,579684,.5385799407958984,249461,.5654783248901367,2178554,.305415153503418,721039,.0962915420532227,75938,-.2437000274658203,28334,-.8085508346557617,10472962,.0614337921142578,463562,.812108039855957,matched (3),17355352,.92614591,1402660.9,2085908
201004,901920,603,4761,17081544,04,0,0,1,0,0,0,0,0,0,0,0,102837,217511,-.3017759323120117,254097,.5437526702880859,1475125,.2180862426757813,133861,.7766265869140625,2359,-1.91740894317627,2987303,.5810832977294922,17058,-.70001220703125,1440533,1055961,.001220703125,50373,.3765850067138672,24335,-.6431398391723633,31691,.4655637741088867,12429,-.4689264297485352,80612,-.6454925537109375,2715021,-.2113037109375,1319326,-.1425209045410156,11434,.0271272659301758,3706021,.0635147094726563,67733,.1760549545288086,4678872,-.138671875,10336599,-.3246898651123047,108643,.7585182189941406,14189,-.2636804580688477,26994,-.449833869934082,26353,-.2208261489868164,28131860,-.2395763397216797,178439,-.4280567169189453,6606369,-.0596237182617188,548293,2911254,.3022775650024414,87311136,-.0646858215332031,1709000,4774638,.1016969680786133,716195,.7950220108032227,105519,-.4592580795288086,2916684,295825,1.621339797973633,19513648,-.1812686920166016,3469253,-.0284347534179688,72432,.9747734069824219,3167274,.1567010879516602,3817212,1.884792327880859,202723,-.2074623107910156,2182894,.0019903182983398,651828,-.1009120941162109,128121,.5230579376220703,42512,.4057235717773438,12335982,.1637248992919922,431446,-.0717983245849609,matched (3),23562674,.92614591,2074284.6,2585771
201005,901920,604,4761,20074258,05,0,0,0,1,0,0,0,0,0,0,0,82838,278088,.2456884384155273,198706,-.2458896636962891,1391025,-.0587015151977539,261753,.6705999374389648,2542,.0747132301330566,1549944,-.6561517715454102,112038,1.882219314575195,2293590,1271159,.1854782104492188,23661,-.7556266784667969,20496,-.1716861724853516,37769,.1754560470581055,15959,.2499904632568359,173185,.7647132873535156,3266540,.184931755065918,1482108,.1163444519042969,14163,.2140407562255859,3769805,.0170650482177734,87542,.2565450668334961,4068046,-.1398935317993164,11137159,.0745964050292969,113408,.0429248809814453,14615,.0295810699462891,14525,-.6197433471679688,32615,.2131900787353516,27951012,-.0064487457275391,399951,.8070955276489258,7493541,.126007080078125,423506,1576406,-.6134357452392578,94087600,.0747489929199219,2251000,4646427,-.0272197723388672,549969,-.2640905380249023,171943,.4882717132568359,4314212,388228,.271824836730957,20634888,.0558681488037109,5017116,.3689155578613281,43523,-.5093593597412109,2725260,-.1503076553344727,111397,-3.534175872802734,156418,-.2593088150024414,1749265,-.2214555740356445,692620,.0607004165649414,126757,-.0107040405273438,138499,1.181077003479004,5865324,-.7434635162353516,555940,.2535181045532227,matched (3),22351486,.92614591,1563637.5,2197388.8
201006,901920,605,4761,21810940,06,0,0,0,0,1,0,0,0,0,0,0,83509,319710,.1394767761230469,405124,.7123661041259766,1462884,.0503683090209961,383085,.3808555603027344,9856,1.355129718780518,1535275,-.0095100402832031,41419,-.9950990676879883,2353878,1420892,.1113557815551758,106690,1.506098747253418,77417,1.328976631164551,30421,-.2163553237915039,7046,-.8175630569458008,112080,-.4351472854614258,3905116,.1785564422607422,1341164,-.0999269485473633,28788,.7093257904052734,4015736,.063197135925293,93297,.0636692047119141,4867337,.1793842315673828,17394078,.4458427429199219,119294,.0505990982055664,111718,2.033929824829102,34060,.8522520065307617,41595,.2432079315185547,34441948,.2088222503662109,339969,-.1624879837036133,8365126,.1100301742553711,434204,2339674,.3948640823364258,94464664,.0039997100830078,1187000,6895346,.3947477340698242,1383984,.9228601455688477,295693,.5421590805053711,3384724,138924,-1.027666091918945,20865706,.0111236572265625,5056762,.0078716278076172,24637,-.5690402984619141,2920964,.0693502426147461,355568,1.160616874694824,236028,.4114189147949219,2256104,.2544441223144531,771414,.1077442169189453,137568,.0818471908569336,159555,.1415252685546875,14998266,.9388771057128906,863042,.4398031234741211,matched (3),22638024,.92614591,1605683.5,2227504
201007,901920,606,4761,20183868,07,0,0,0,0,0,1,0,0,0,0,0,31115,320491,.0024394989013672,124331,-1.181245803833008,1376061,-.0611839294433594,368753,-.0381298065185547,59753,1.802138328552246,1312359,-.1568832397460938,26131,-.4606170654296875,1960454,1001503,-.3497829437255859,42436,-.9219303131103516,70293,-.0965347290039063,25031,-.1950178146362305,6661,-.0561904907226563,127931,.1322774887084961,2766353,-.3447580337524414,1246489,-.0732078552246094,11746,-.8964452743530273,4082499,.0164880752563477,86658,-.0738191604614258,4705329,-.0338516235351563,14680496,-.1696109771728516,96495,-.2121000289916992,6607,-2.827848434448242,18902,-.5888557434082031,67706,.4871950149536133,31562346,-.087310791015625,293139,-.1482076644897461,8620403,.0300607681274414,362619,2176319,-.0723772048950195,86858328,-.0839481353759766,1148000,7414295,.0725631713867188,474179,-1.071137428283691,74369,-1.380283355712891,2513855,48345,-1.055563926696777,18779992,-.1053142547607422,4786170,-.0549964904785156,58329,.8618507385253906,1716713,-.5315027236938477,42040,-2.135095596313477,85012,-1.021158218383789,1788373,-.2323331832885742,716364,-.0740365982055664,97081,-.3485727310180664,159589,.000213623046875,8851306,-.527369499206543,667725,-.256587028503418,matched (3),22912830,.92614591,1223483.6,1969890.1
201008,901920,607,4761,20483952,08,0,0,0,0,0,0,1,0,0,0,0,58124,386015,.1860218048095703,182520,.3839130401611328,1814416,.2765378952026367,474489,.2521114349365234,107412,.5864524841308594,2025925,.4342002868652344,37850,.370509147644043,2078435,1518409,.4161605834960938,30783,-.3210344314575195,17144,-1.411023139953613,28528,.1307706832885742,13166,.6813678741455078,152625,.1764936447143555,3024789,.0893115997314453,1411289,.1241731643676758,13654,.1505193710327148,3986181,-.0238752365112305,106725,.2082862854003906,4244101,-.1031656265258789,21423422,.3779659271240234,98164,.0171489715576172,8110,.2049684524536133,31213,.5015668869018555,55342,-.2016429901123047,36799888,.1535301208496094,590592,.7004785537719727,8362869,-.0303306579589844,403519,1269041,-.5393733978271484,103273808,.1731052398681641,1696000,6487026,-.1336050033569336,556869,.1607456207275391,111310,.4032802581787109,1303278,147339,1.114373207092285,18282700,-.0268363952636719,7469328,.4450750350952148,25241,-.8376302719116211,1292424,-.2838916778564453,192031,1.519035339355469,672462,2.068153381347656,2235140,.2229976654052734,752025,.0485811233520508,186575,.6532878875732422,161791,.0137033462524414,9996918,.1217126846313477,678316,.0157365798950195,matched (3),22510194,.92614591,1027564.8,1854573.9
201009,901920,608,4761,17220232,09,0,0,0,0,0,0,0,1,0,0,0,55829,313285,-.2087631225585938,155394,-.1608963012695313,1198194,-.414947509765625,493969,.0402336120605469,170848,.4641027450561523,1915556,-.0560178756713867,19596,-.6583061218261719,2015617,271260,-1.72234058380127,57956,.6327219009399414,58665,1.230195045471191,24548,-.1502552032470703,10813,-.1968879699707031,119029,-.2486171722412109,2849330,-.0597572326660156,1530592,.081151008605957,11689,-.1553840637207031,3850852,-.0345392227172852,102547,-.0399341583251953,5509558,.2609539031982422,20069044,-.0653057098388672,34004,-1.060161590576172,75651,2.2330322265625,32499,.040374755859375,32541,-.531031608581543,34371792,-.0682582855224609,334200,-.5693855285644531,7688258,-.0841073989868164,501717,1541819,.1947011947631836,89331416,-.1450309753417969,1324000,5355675,-.1916475296020508,741945,.2869453430175781,95249,-.1558246612548828,1012479,133753,-.0967416763305664,22157692,.1922283172607422,5577402,-.2920818328857422,57851,.8294010162353516,1260030,-.0253839492797852,10609,-2.895954132080078,87944,-2.034245491027832,2081523,-.0712041854858398,628597,-.1792793273925781,93955,-.6860179901123047,20474,-2.067149162292481,7640748,-.2687826156616211,476011,-.3541717529296875,matched (3),19755374,.92614591,1048143.3,1866054.5
201010,901920,609,4761,18598138,10,0,0,0,0,0,0,0,0,1,0,0,92234,249291,-.2284917831420898,208733,.2950916290283203,2651996,.7944965362548828,328568,-.4077281951904297,56095,-1.113727569580078,2782318,.3732757568359375,37536,.6499748229980469,2817497,503593,.6186904907226563,55032,-.0517692565917969,45874,-.2459449768066406,30413,.2142391204833984,6731,-.4740257263183594,83315,-.3567380905151367,2333839,-.1995697021484375,1878430,.2047815322875977,14395,.2082328796386719,4181302,.0823278427124023,104342,.0173530578613281,5260153,-.0463237762451172,29609036,.3889007568359375,144352,1.445775985717773,16677,-1.512100219726563,24469,-.2838020324707031,74649,.830296516418457,35970608,.0454654693603516,344948,.0316543579101563,10099371,.2727785110473633,586287,1779817,.1435480117797852,96214888,.0742321014404297,2146000,5710542,.0641565322875977,1011540,.3099536895751953,58395,-.4892644882202148,676631,170905,.2451133728027344,23848240,.0735263824462891,5814142,.041569709777832,84249,.3759059906005859,2025043,.4744558334350586,697018,4.18510913848877,140468,.4682788848876953,2209387,.0596151351928711,679572,.077972412109375,93310,-.0068883895874023,248274,2.495376586914063,7065165,-.0783185958862305,817102,.5403232574462891,matched (3),24586050,.92614591,1298299.9,2017210.4
