period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1180c233,Y1247c757,growth1247c757,Y147c124,growth147c124,Y1751c586,growth1751c586,Y1967c124,Y196c757,growth196c757,Y2174c792,growth2174c792,Y2303c620,growth2303c620,Y2362c792,growth2362c792,Y2409c124,growth2409c124,Y2415c428,growth2415c428,Y2543c554,Y2560c616,growth2560c616,Y2640c620,growth2640c620,Y2723c251,growth2723c251,Y2945c124,growth2945c124,Y2967c826,growth2967c826,Y2990c620,growth2990c620,Y3025c554,Y3088c124,growth3088c124,Y3249c372,Y3363c826,growth3363c826,Y3441c484,growth3441c484,Y3486c688,growth3486c688,Y3695c300,growth3695c300,Y3761c222,growth3761c222,Y3776c300,growth3776c300,Y3860c586,growth3860c586,Y4097c484,growth4097c484,Y4130c616,growth4130c616,Y4165c442,Y4180c222,growth4180c222,Y4260c586,growth4260c586,Y4417c222,growth4417c222,Y4442c246,growth4442c246,Y4681c792,growth4681c792,Y4932c36,Y4940c440,growth4940c440,Y4945c703,growth4945c703,Y5006c554,Y57c608,Y587c484,growth587c484,Y588c752,growth588c752,Y620c807,growth620c807,Y628c251,growth628c251,Y639c348,growth639c348,Y666c620,growth666c620,Y850c826,growth850c826,Y870c826,growth870c826,Y981c222,growth981c222,_merge,x,r2,s,sf
201001,902110,600,4763,12806668,01,0,0,0,0,0,0,0,0,0,0,0,0,5040862,,6605338,,1089454,,1528677,14042,,2994984,,130071,,184910,,755146,,53074,,281554,7634,,141628,,2289304,,1077475,,498325,,5149560,,410549,6164637,,49642,1302608,,27565,,24184,,527027,,38749,,102029,,36809,,2631,,24701,,137889,41987,,4109074,,5241,,1508318,,297614,,3291895,310579,,1624403,,409018,6005294,1243619,,287108,,261493,,2157736,,177973,,7249086,,515872,,282732,,55220,,matched (3),,.91959554,,
201002,902110,601,4763,11268630,02,1,0,0,0,0,0,0,0,0,0,0,126,4913660,-.0255575180053711,4776650,-.3241386413574219,745784,-.3789958953857422,1689948,13572,-.0340442657470703,3121338,.0413227081298828,35217,-1.306551933288574,385195,.7338800430297852,499567,-.4131689071655273,42101,-.2316150665283203,218263,4009,-.6440706253051758,103104,-.3174657821655273,1236842,-.6156864166259766,643280,-.5157957077026367,258058,-.6580686569213867,4071939,-.2347917556762695,255846,7333436,.173614501953125,45451,1008964,-.2554445266723633,15836,-.5542612075805664,42255,.5580310821533203,315108,-.5143365859985352,39374,.0160007476806641,86485,-.1652860641479492,88508,.8773508071899414,161985,4.120140075683594,30940,.2252054214477539,31104,6512,-1.863713264465332,3172692,-.2586174011230469,177894,3.524676322937012,2371777,.4526443481445313,50580,-1.772241592407227,2965331,142255,-.7808170318603516,1042251,-.4437570571899414,425466,4791645,1514457,.1970319747924805,385583,.2948980331420898,87651,-1.093044281005859,1839019,-.1598272323608398,119943,-.3946151733398438,6928932,-.0451698303222656,2218396,1.458681106567383,326303,.1433267593383789,53497,-.0317001342773438,matched (3),17042962,.91959554,1073428.6,1611421.4
201003,902110,602,4763,10160728,03,0,1,0,0,0,0,0,0,0,0,0,26,3534318,-.3294992446899414,8485059,.5745677947998047,1696478,.821873664855957,2029106,48911,1.281992912292481,3001042,-.0393028259277344,33238,-.0578346252441406,297446,-.2585163116455078,776109,.4405508041381836,31851,-.2790031433105469,285596,16202,1.39659309387207,26009,-1.37729549407959,1269155,.0257892608642578,880837,.3142929077148438,157176,-.4958181381225586,4025196,-.0115461349487305,225286,6071301,-.1888713836669922,103743,1930913,.6490688323974609,143557,2.204446792602539,27883,-.415705680847168,677836,.7659902572631836,106178,.9920110702514648,61112,-.3472623825073242,11786,-2.016180038452148,34874,-1.535762786865234,100612,1.179222106933594,79707,6460,-.0080165863037109,2027528,-.4477634429931641,7315,-3.191261291503906,1699564,-.3332672119140625,98165,.6630935668945313,2215492,466551,1.187746047973633,349710,-1.092034339904785,280983,4550528,915262,-.5036020278930664,341691,-.120849609375,60054,-.3781194686889648,3071642,.5129804611206055,92960,-.254847526550293,5663809,-.2016086578369141,2883538,.2622337341308594,420264,.253056526184082,60830,.1284580230712891,matched (3),13077996,.91959554,809925.81,1449279
201004,902110,603,4763,12199501,04,0,0,1,0,0,0,0,0,0,0,0,295,4811111,.3084077835083008,4267041,-.6873865127563477,1221519,-.3284587860107422,2140935,5910,-2.11335563659668,1979841,-.4159421920776367,39022,.1604318618774414,170989,-.5536336898803711,412884,-.6311264038085938,37912,.174199104309082,148184,40062,.9052934646606445,42426,.48931884765625,1047128,-.1922998428344727,1065437,.1902675628662109,300654,.6485939025878906,4390956,.0869731903076172,414665,6104521,.0054569244384766,39197,1904108,-.0139789581298828,40442,-1.266863822937012,32333,.1480712890625,359729,-.6335544586181641,25362,-1.431864738464356,82578,.3010349273681641,70072,1.782610893249512,160887,1.528961181640625,154846,.4311599731445313,80634,28898,1.498142242431641,2924502,.366307258605957,4724,-.4372711181640625,2706063,.465123176574707,222814,.8196878433227539,0,376082,-.2155599594116211,2615775,2.012211799621582,254093,5598011,1585288,.5493106842041016,69854,-1.587499618530273,134938,.8095712661743164,3291738,.0692033767700195,116070,.2220249176025391,7863509,.3281364440917969,3367867,.1552610397338867,262121,-.472076416015625,78271,.2520942687988281,matched (3),21095216,.91959554,2732817,2985417.8
201005,902110,604,4763,11515946,05,0,0,0,1,0,0,0,0,0,0,0,75,3869812,-.2177219390869141,5536171,.2603826522827148,1109236,-.0964241027832031,2710846,4274,-.3240957260131836,2043171,.0314865112304688,27378,-.3543863296508789,170100,-.0052127838134766,317395,-.2630195617675781,30847,-.2062282562255859,173272,14480,-1.017660140991211,27525,-.4326667785644531,986444,-.0597000122070313,1118576,.0486717224121094,255371,-.1632423400878906,4324796,-.0151815414428711,410969,5898176,-.0343866348266602,37385,1467144,-.2606964111328125,20997,-.6554889678955078,32065,-.0083227157592773,342818,-.0481510162353516,16911,-.4052877426147461,42248,-.6701869964599609,49732,-.3428754806518555,74744,-.7666330337524414,25746,-1.79415225982666,75491,25197,-.1370468139648438,2490250,-.160740852355957,7102,.4077205657958984,1290316,-.7406082153320313,105560,-.7470579147338867,0,338374,-.1056556701660156,1091862,-.8736763000488281,285904,4556430,1029755,-.4314451217651367,38505,-.5956192016601563,170876,.2361230850219727,3084429,-.0650491714477539,32188,-1.282600402832031,5546452,-.3490743637084961,3366901,-.0002870559692383,269487,.0277137756347656,7691,-2.320126533508301,matched (3),12569578,.91959554,1279749.6,1755616.4
201006,902110,605,4763,13604710,06,0,0,0,0,1,0,0,0,0,0,0,378,3978300,.02764892578125,6753907,.1988182067871094,982559,-.1212663650512695,2766774,6535,.42462158203125,2602326,.2419023513793945,8849,-1.129435539245606,221772,.265263557434082,610737,.6545200347900391,37395,.1924972534179688,100994,61951,1.453575134277344,26205,-.0491447448730469,2167261,.7871131896972656,1435798,.249664306640625,272414,.064605712890625,4851047,.1148290634155273,314107,7821958,.2822914123535156,146407,1204999,-.19683837890625,78264,1.315708160400391,19369,-.5040912628173828,474673,.3254261016845703,35516,.7420186996459961,168897,1.385732650756836,83311,.5159320831298828,80675,.076359748840332,318898,2.516592025756836,78956,35125,.3321876525878906,2701995,.0816068649291992,7235,.0185537338256836,1153046,-.1124792098999023,332750,1.148112297058106,0,199504,-.5283174514770508,1836668,.5200691223144531,296082,4660800,1573827,.424189567565918,49646,.2541303634643555,124704,-.3149957656860352,4020164,.2649555206298828,38245,.172419548034668,5962724,.0723686218261719,1579892,-.7566356658935547,363015,.2979240417480469,54548,1.959030151367188,matched (3),16658763,.91959554,1814637,2176542.5
201007,902110,606,4763,14628280,07,0,0,0,0,0,1,0,0,0,0,0,26,2647124,-.4073810577392578,6182106,-.0884618759155273,888619,-.1004915237426758,2236123,63424,2.272669792175293,3330671,.2467679977416992,4523,-.6711282730102539,191266,-.147984504699707,459047,-.2855138778686523,26401,-.3481349945068359,239360,15129,-1.409729957580566,24437,-.0698518753051758,3436224,.4609088897705078,1236323,-.1495800018310547,394527,.3703641891479492,5629335,.1487970352172852,368577,7398076,-.0557146072387695,61284,1482680,.2073726654052734,124358,.4630765914916992,14966,-.2578935623168945,308427,-.4311408996582031,39570,.108088493347168,88310,-.6484355926513672,168158,.7023239135742188,126432,.4492759704589844,171803,-.6185226440429688,268598,19366,-.5953941345214844,2837877,.0490665435791016,18907,.960601806640625,1076180,-.0689897537231445,105868,-1.145198822021484,3990560,326711,.4932422637939453,1122935,-.4920072555541992,299341,6079058,1581754,.0050239562988281,83276,.517242431640625,109830,-.1270084381103516,4422701,.095428466796875,46768,.2011861801147461,5515164,-.0780258178710938,2316317,.3826217651367188,393019,.0794134140014648,77335,.3490657806396484,matched (3),17619726,.91959554,794232,1440567.4
201008,902110,607,4763,16022879,08,0,0,0,0,0,0,1,0,0,0,0,90,4380494,.503687858581543,7126375,.1421432495117188,562009,-.4581508636474609,2961400,16921,-1.321286201477051,1424790,-.8491497039794922,6595,.37713623046875,126022,-.4172086715698242,504617,.0946464538574219,42207,.4691839218139648,158088,15804,.0436496734619141,25937,.0595722198486328,4575944,.2864398956298828,1732913,.3376626968383789,276503,-.3554658889770508,4896523,-.1394662857055664,373884,8108154,.0916500091552734,2208,1423677,-.0406084060668945,177891,.358006477355957,35366,.8599700927734375,124833,-.9045085906982422,85631,.7719755172729492,46393,-.6437053680419922,94595,-.5752992630004883,87665,-.3661823272705078,62158,-1.016669273376465,86792,11760,-.498814582824707,2351110,-.1881694793701172,46776,.9058380126953125,1246972,.1473007202148438,182862,.546539306640625,3782708,431975,.2792911529541016,490358,-.8285655975341797,450470,6725828,1272590,-.2174806594848633,84433,.0137977600097656,67251,-.4905023574829102,3064830,-.3667583465576172,21695,-.7681169509887695,6403605,.1493597030639648,2586666,.1103916168212891,517210,.2745914459228516,68995,-.1141128540039063,matched (3),13500485,.91959554,868818.75,1482995.5
201009,902110,608,4763,18053654,09,0,0,0,0,0,0,0,1,0,0,0,877,4533362,.0343017578125,7598924,.064204216003418,942061,.5165519714355469,1244611,5944,-1.046173095703125,2062301,.3697986602783203,10234,.4394035339355469,283885,.8121128082275391,524832,.0392789840698242,44909,.0620527267456055,652328,11163,-.3476581573486328,61650,.8658027648925781,3010497,-.4187078475952148,2119040,.2011594772338867,357959,.2581968307495117,4811112,-.0175971984863281,420592,6771672,-.1801223754882813,21926,1228809,-.1471977233886719,14993,-2.473587989807129,45324,.2480859756469727,521915,1.43052864074707,41720,-.7190666198730469,120115,.9513015747070313,1031793,2.389448165893555,198026,.814875602722168,55829,-.1073856353759766,202357,40344,1.232738494873047,2551083,.0816307067871094,11515,-1.401719093322754,1308486,.048151969909668,169787,-.0741872787475586,4209379,683343,.4586296081542969,626625,.2452125549316406,567347,3774997,1372640,.0756816864013672,59812,-.344752311706543,106109,.4560346603393555,3704217,.1894798278808594,146824,1.912152290344238,5686830,-.118708610534668,9871157,1.33924674987793,568849,.0951662063598633,81456,.1660289764404297,matched (3),17281716,.91959554,515487.03,1307729.6
201010,902110,609,4763,18606662,10,0,0,0,0,0,0,0,0,1,0,0,1459,4372863,-.0360450744628906,6787811,-.1128778457641602,956339,.0150423049926758,1730514,19526,1.189364433288574,2460894,.176701545715332,34763,1.222838401794434,185986,-.4228982925415039,643225,.2034158706665039,50533,.1179876327514648,328411,25334,.8195428848266602,137066,.7989892959594727,2687193,-.1136083602905273,1514456,-.335906982421875,614484,.5403642654418945,5040057,.0464897155761719,424477,6447205,-.0491008758544922,13786,2000987,.4875955581665039,172929,2.445298194885254,26735,-.5278635025024414,476792,-.0904245376586914,85665,.7194643020629883,145029,.1884841918945313,377189,-1.006306648254395,71579,-1.017596244812012,84911,.4193096160888672,177743,7553,-1.675498008728027,2680710,.0495634078979492,11642,.0109682083129883,3810960,1.069010734558106,401917,.8617010116577148,3750185,366262,-.6236486434936523,1116707,.5777912139892578,632139,6001535,920910,-.3991279602050781,117263,.673213005065918,366430,1.239340782165527,2932323,-.2336769104003906,69930,-.7417402267456055,4494996,-.2351875305175781,536716,-2.911903381347656,497290,-.1344413757324219,86307,.0578479766845703,matched (3),18664604,.91959554,805295.25,1446696.4
