period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1029c757,growth1029c757,Y1449c484,growth1449c484,Y1459c124,growth1459c124,Y1478c246,growth1478c246,Y1525c752,growth1525c752,Y1656c300,growth1656c300,Y1671c484,growth1671c484,Y1681c484,growth1681c484,Y1722c484,growth1722c484,Y1723c807,growth1723c807,Y1758c484,growth1758c484,Y1775c484,growth1775c484,Y2043c191,growth2043c191,Y2085c484,growth2085c484,Y2126c484,growth2126c484,Y2130c616,growth2130c616,Y2138c484,growth2138c484,Y2361c807,growth2361c807,Y3118c32,Y3178c484,growth3178c484,Y3284c124,growth3284c124,Y3468c484,growth3468c484,Y3502c484,growth3502c484,Y3524c484,growth3524c484,Y3541c484,growth3541c484,Y3546c484,growth3546c484,Y3604c484,growth3604c484,Y3894c344,Y3917c440,growth3917c440,Y3974c484,growth3974c484,Y4019c752,growth4019c752,Y4257c484,growth4257c484,Y4259c124,growth4259c124,Y4259c484,growth4259c484,Y4270c484,growth4270c484,Y4396c208,growth4396c208,Y4461c484,growth4461c484,Y4464c484,growth4464c484,Y4473c484,growth4473c484,Y4482c484,growth4482c484,Y4486c484,growth4486c484,Y4533c484,growth4533c484,Y4604c191,growth4604c191,Y4606c484,growth4606c484,Y4944c428,growth4944c428,Y4970c620,growth4970c620,Y5040c484,growth5040c484,Y579c705,growth579c705,Y669c372,growth669c372,Y669c826,growth669c826,_merge,x,r2,s,sf
201001,902121,600,4764,1979823,01,0,0,0,0,0,0,0,0,0,0,0,673404,,9011592,,3463395,,7271319,,1257540,,1979735,,1024083,,3944586,,22734020,,3164,,53763016,,169627168,,466818,,10480261,,51292868,,4354415,,12430252,,406100,,1669797,1672057,,6093217,,6579812,,152779536,,1721723,,7435912,,2361530,,3853740,,1073996,71822,,10336134,,1614771,,5452704,,34904488,,47471376,,19116588,,5044146,,1947870,,8065898,,6306067,,151278640,,134294544,,82628408,,1306665,,98297008,,515644,,76727,,355793600,,1052069,,17318528,,218968576,,matched (3),,.92625904,,
201002,902121,601,4764,2090428,02,1,0,0,0,0,0,0,0,0,0,0,700663,.0396814346313477,9230239,.0239734649658203,4122839,.1742925643920898,9246960,.2403564453125,1299598,.0328969955444336,2273879,.1385250091552734,858088,-.1768455505371094,4277203,.0809555053710938,26881866,.1675891876220703,2960,-.0666475296020508,67837512,.2325286865234375,199965984,.1645431518554688,725644,.4411201477050781,11921399,.1288414001464844,56614652,.0987148284912109,4289549,-.0150089263916016,16275253,.2695121765136719,490267,.1883506774902344,1853139,1948068,.1527833938598633,5950531,-.0236949920654297,7677868,.1543359756469727,140780432,-.0817947387695313,2247807,.2666292190551758,8264964,.1057043075561523,2673810,.1241950988769531,4781006,.215606689453125,1343520,128854,.5844898223876953,14523582,.3401260375976563,2499478,.4368886947631836,6887670,.2336206436157227,35744460,.0237808227539063,57129536,.1851940155029297,21418808,.1137123107910156,5179768,.0265321731567383,2477878,.2406654357910156,8985190,.1079320907592773,8148732,.2563505172729492,174974960,.1455192565917969,160145840,.1760501861572266,101590888,.2066001892089844,1560415,.1774740219116211,116180592,.1671524047851563,762973,.3918066024780273,105450,.3179836273193359,390852896,.0939807891845703,1124077,.0662040710449219,12871637,-.2967510223388672,211010912,-.037017822265625,matched (3),2595477.5,.92625904,158220.06,242552.56
201003,902121,602,4764,2237213,03,0,1,0,0,0,0,0,0,0,0,0,1055012,.4092798233032227,12062683,.2676315307617188,5156655,.2237462997436523,9100925,-.0159187316894531,1678931,.2561025619506836,3143465,.3238382339477539,1526664,.5761337280273438,6443712,.4098052978515625,41701408,.4390830993652344,4751,.4731655120849609,84868080,.2239837646484375,248069840,.2155647277832031,1374239,.6385955810546875,14620439,.2040843963623047,70445200,.21856689453125,4696257,.0905838012695313,17007438,.0440044403076172,553311,.1209707260131836,2898300,3130617,.4743919372558594,8418338,.3469314575195313,8934172,.1515417098999023,172981840,.2059841156005859,4006892,.5780611038208008,11873212,.3622589111328125,3261704,.1987457275390625,6198429,.2596454620361328,1376435,979682,2.028547286987305,17526528,.1879425048828125,3132252,.2256708145141602,9398489,.3108158111572266,41086768,.1392898559570313,68875512,.1869792938232422,29120682,.3071784973144531,4915329,-.0524015426635742,2989976,.1878633499145508,10987299,.2011623382568359,9494653,.1528654098510742,218680400,.2229671478271484,196787488,.2060394287109375,136905280,.2983360290527344,2047114,.2714786529541016,131912720,.1269950866699219,855282,.1142082214355469,214079,.7081079483032227,491494336,.2291183471679688,1380624,.2055730819702148,23713674,.6110248565673828,250189600,.1703090667724609,matched (3),3415217.3,.92625904,202020.88,273149.38
201004,902121,603,4764,2000640,04,0,0,1,0,0,0,0,0,0,0,0,918426,-.138646125793457,9961634,-.191375732421875,4861806,-.0588788986206055,7950015,-.1352014541625977,1288507,-.2646732330322266,2030368,-.4371089935302734,1275370,-.1798486709594727,4894173,-.275059700012207,28638224,-.3757915496826172,1720,-1.016030788421631,67312792,-.2317485809326172,1358233472,1.700229644775391,1245083,-.0986976623535156,12372515,-.1669425964355469,60945904,-.1448478698730469,3584227,-.2702226638793945,15358294,-.1019935607910156,476242,-.149993896484375,3112378,3640520,.1508970260620117,8289415,-.0154333114624023,7832338,-.131622314453125,148125712,-.1551246643066406,2895840,-.3247404098510742,9091104,-.2669887542724609,2731669,-.177337646484375,4932934,-.2283620834350586,1259238,161748,-1.801188468933106,15239964,-.1397933959960938,2995535,-.0446300506591797,8002959,-.1607370376586914,37508648,-.0911140441894531,57027428,-.1887683868408203,25035580,-.1511497497558594,4706223,-.0434732437133789,2550816,-.1588525772094727,9235220,-.1737155914306641,7430858,-.245086669921875,189847184,-.1413917541503906,168765616,-.1536140441894531,107380496,-.2429103851318359,1881514,-.0843544006347656,119914832,-.0953578948974609,623722,-.3157262802124023,215353,.0059337615966797,443006048,-.1038665771484375,1172520,-.1633806228637695,22495084,-.0527534484863281,236499472,-.0562744140625,matched (3),2991663.5,.92625904,187135.98,262331.91
201005,902121,604,4764,2292005,05,0,0,0,1,0,0,0,0,0,0,0,967037,.0515756607055664,10175518,.0212440490722656,5096750,.0471935272216797,6959497,-.1330661773681641,1225061,-.0504932403564453,3069484,.4132928848266602,1076260,-.1697444915771484,5642685,.1423149108886719,31886508,.1074390411376953,3886,.815056324005127,66000696,-.019683837890625,231893760,-1.767662048339844,1070240,-.1513195037841797,14484126,.1575756072998047,68994448,.1240386962890625,3227900,-.1047115325927734,16658961,.0812911987304688,623240,.2690048217773438,3357206,3434290,-.0583162307739258,9864650,.1739778518676758,8817333,.1184587478637695,169007152,.1318798065185547,3374278,.1529054641723633,10394861,.1340160369873047,3514570,.2520046234130859,5757811,.1546230316162109,1403440,746757,1.52970027923584,15982871,.0475959777832031,5439606,.5965843200683594,8028407,.0031747817993164,40219292,.0697746276855469,62480952,.0913295745849609,27424122,.09112548828125,5564817,.1675786972045898,2989917,.1588325500488281,10668402,.1442623138427734,8158087,.0933685302734375,198657680,.0453643798828125,188569504,.1109561920166016,124536584,.1482200622558594,2022662,.0723381042480469,127470136,.0611000061035156,795637,.243438720703125,296126,.3185062408447266,447889280,.0109634399414063,1115711,-.0496635437011719,24394720,.0810699462890625,249386880,.0530605316162109,matched (3),3609136.5,.92625904,158968.34,243041.33
201006,902121,605,4764,2076920,06,0,0,0,0,1,0,0,0,0,0,0,551561,-.5614843368530273,11367686,.1107883453369141,4746870,-.0711174011230469,5808651,-.1807594299316406,1540560,.2291555404663086,3439326,.1137657165527344,938137,-.1373519897460938,4637273,-.1962337493896484,34388888,.0755519866943359,3953,.017094612121582,68800392,.0415439605712891,284243104,.2035503387451172,985131,-.0828638076782227,14007279,-.0334758758544922,84074576,.1976795196533203,2766507,-.1542453765869141,15634575,-.0634632110595703,622920,-.0005130767822266,3383088,3185079,-.0753335952758789,8693523,-.1263790130615234,8500081,-.0366439819335938,159735488,-.0564212799072266,4215673,.2226285934448242,11297152,.0832386016845703,3838685,.0882129669189453,5695609,-.0108613967895508,1616160,115615,-1.865473747253418,15405655,-.0367832183837891,4581691,-.1716384887695313,8742649,.0852270126342773,40197800,-.0005340576171875,65518440,.0474700927734375,26232194,-.0444355010986328,5269268,-.0545730590820313,2644893,-.122614860534668,10008112,-.0638904571533203,7761685,-.0498104095458984,211468112,.0624904632568359,210420592,.1096420288085938,125193984,.0052642822265625,2085879,.0307760238647461,128015232,.0042667388916016,727785,-.0891380310058594,221378,-.2909135818481445,495552000,.1011257171630859,1014600,-.0949974060058594,22714854,-.0713481903076172,265732704,.0634841918945313,matched (3),2506234.5,.92625904,154884.92,240390.3
201007,902121,606,4764,2304358,07,0,0,0,0,0,1,0,0,0,0,0,986406,.5813159942626953,11634737,.0232219696044922,5118631,.0754013061523438,6438028,.1028738021850586,1244635,-.2133035659790039,3875679,.11944580078125,834032,-.1176233291625977,5067744,.0887689590454102,31839722,-.0770187377929688,16241,1.413064002990723,55872028,-.2081451416015625,222120480,-.2466087341308594,1066871,.0797109603881836,13119794,-.0654544830322266,51962556,-.4811820983886719,4706556,.5313701629638672,16236878,.0378017425537109,530817,-.1600008010864258,3123418,3428802,.0737342834472656,6372688,-.3105564117431641,8332163,-.0199527740478516,157132432,-.0164318084716797,3868716,-.0858869552612305,11071915,-.0201377868652344,3126103,-.2053432464599609,5125906,-.1053886413574219,283042,120860,.0443668365478516,15525562,.0077533721923828,4746846,.0354118347167969,10192029,.1533937454223633,44253616,.0961246490478516,69681088,.0615959167480469,28082596,.0681629180908203,4597584,-.1363601684570313,2820608,.0643215179443359,9279096,-.0756320953369141,7724537,-.0047969818115234,195772880,-.077117919921875,175172048,-.1833400726318359,115496208,-.0806255340576172,2489160,.1767549514770508,122465944,-.0443153381347656,859268,.1660757064819336,166118,-.2871732711791992,504386272,.017669677734375,1056981,.0409221649169922,26020464,.1358642578125,283329984,.0641212463378906,matched (3),2829449.5,.92625904,90029.266,204703.25
201008,902121,607,4764,2309681,08,0,0,0,0,0,0,1,0,0,0,0,1181464,.1804409027099609,13530362,.15093994140625,5388891,.05145263671875,6989941,.0822505950927734,1687328,.3043031692504883,2289667,-.5263147354125977,1164244,.3335552215576172,5404927,.0644159317016602,34923628,.0924472808837891,11950,-.3068075180053711,77146520,.3226413726806641,259919632,.1571521759033203,1467453,.3187980651855469,16117793,.2058010101318359,62343500,.1821365356445313,4737373,.0065269470214844,16238378,.000091552734375,453743,-.156886100769043,3408925,4021331,.1594018936157227,7295265,.1352043151855469,9627883,.1445398330688477,172673744,.0943164825439453,4037509,.0427055358886719,11400700,.0292625427246094,4062500,.2620115280151367,9189791,.5837860107421875,940405,617935,1.63175106048584,18253916,.1618919372558594,8138738,.5391550064086914,8046992,-.2363080978393555,42294688,-.0452766418457031,74514032,.0670585632324219,31918892,.1280479431152344,4251011,-.078373908996582,3698452,.2709617614746094,11449553,.2101879119873047,8924554,.1444034576416016,225588848,.1417579650878906,208558640,.1744518280029297,143373312,.2162132263183594,2014012,-.2118167877197266,146118592,.1765842437744141,1107879,.2541217803955078,160920,-.0317907333374023,546256640,.0797462463378906,1061966,.0047054290771484,21053984,-.2117938995361328,239694528,-.1672458648681641,matched (3),3169921.3,.92625904,133801.25,227378.39
201009,902121,608,4764,2468194,09,0,0,0,0,0,0,0,1,0,0,0,703001,-.5191507339477539,12210708,-.1026229858398438,4569740,-.1648836135864258,6860364,-.018712043762207,1697164,.0058126449584961,2972353,.2609472274780273,960495,-.1923789978027344,5009386,-.0759983062744141,33868620,-.0306739807128906,1916,-1.83049201965332,71098024,-.0816459655761719,236041056,-.0963668823242188,1265823,-.1478052139282227,14139753,-.1309337615966797,54409544,-.1361198425292969,4172868,-.1268796920776367,15762694,-.0297317504882813,466304,.0273065567016602,3557081,4447382,.1007022857666016,6538718,-.1094846725463867,8033783,-.1810073852539063,163894384,-.0521831512451172,3245804,-.2182655334472656,9159635,-.2188682556152344,3600191,-.1208114624023438,5753203,-.4683361053466797,1547488,176277,-1.254326820373535,16959712,-.0735397338867188,6380125,-.2434473037719727,7633878,-.0527029037475586,41707320,-.0139846801757813,66002032,-.1213016510009766,29911712,-.0649490356445313,5026122,.1674919128417969,5501916,.3971824645996094,9354685,-.2020740509033203,10014834,.1152610778808594,202010064,-.1103954315185547,182089232,-.1357231140136719,114946048,-.2209892272949219,2185036,.0815038681030273,138891152,-.0507278442382813,958606,-.1447229385375977,490799,1.115127563476563,542190400,-.0074710845947266,1095624,.0312023162841797,24050224,.1330547332763672,262639920,.0914192199707031,matched (3),3004006.3,.92625904,195224.09,268161.53
201010,902121,609,4764,2576483,10,0,0,0,0,0,0,0,0,1,0,0,1151502,.4934635162353516,12763641,.0442886352539063,4737848,.0361270904541016,7108955,.0355949401855469,1664513,-.0194263458251953,3914632,.2753677368164063,895006,-.07061767578125,20024344,1.385636329650879,30170290,-.115631103515625,15701,2.103485107421875,72962960,.0258922576904297,241861472,.0243587493896484,1310735,.0348653793334961,13753334,-.0277080535888672,57539796,.0559368133544922,5650103,.303070068359375,17199356,.0872268676757813,716509,.4295530319213867,3708759,4763164,.0685968399047852,7731017,.1674995422363281,8008633,-.0031356811523438,162382224,-.0092678070068359,3727082,.1382627487182617,10604476,.1464691162109375,3069944,-.159327507019043,6161890,.0686264038085938,435700,115437,-.4233322143554688,18379774,.0804100036621094,5685193,-.1153230667114258,7591190,-.0056076049804688,44922244,.0742568969726563,68412720,.0358734130859375,29070710,-.0285186767578125,5356571,.0636749267578125,3502311,-.4516735076904297,9779131,.04437255859375,7785879,-.2517547607421875,215579792,.0650119781494141,186214816,.0224037170410156,123114048,.0686492919921875,2422410,.1031303405761719,154447696,.1061649322509766,887577,-.0769844055175781,217307,-.8147239685058594,563094720,.0378303527832031,1251231,.1328039169311523,25477572,.0576534271240234,309726624,.1649055480957031,matched (3),2631271.3,.92625904,137255.3,229427.92
