period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1325c608,Y1343c826,growth1343c826,Y1358c818,Y1764c586,growth1764c586,Y1822c152,growth1822c152,Y1836c246,growth1836c246,Y2105c222,growth2105c222,Y2157c703,growth2157c703,Y2229c428,growth2229c428,Y2241c642,Y2280c826,growth2280c826,Y2295c554,Y2314c826,growth2314c826,Y2363c826,growth2363c826,Y2509c703,growth2509c703,Y2556c203,Y2570c348,growth2570c348,Y2654c208,growth2654c208,Y2829c222,Y2944c807,growth2944c807,Y3271c191,growth3271c191,Y3275c826,growth3275c826,Y3296c792,growth3296c792,Y3412c792,growth3412c792,Y3454c586,growth3454c586,Y3636c348,growth3636c348,Y3693c208,growth3693c208,Y3704c440,growth3704c440,Y3743c608,Y3898c600,growth3898c600,Y393c616,growth393c616,Y404c826,growth404c826,Y4157c68,growth4157c68,Y4158c616,growth4158c616,Y4165c484,growth4165c484,Y4198c428,growth4198c428,Y4318c440,growth4318c440,Y4321c705,growth4321c705,Y4492c608,Y4823c344,Y4889c348,growth4889c348,Y4975c344,Y4988c208,growth4988c208,Y4c68,Y514c348,growth514c348,Y577c208,growth577c208,Y723c826,growth723c826,Y824c826,growth824c826,Y853c208,growth853c208,Y901c372,growth901c372,_merge,x,r2,s,sf
201001,902129,600,4765,373262,01,0,0,0,0,0,0,0,0,0,0,0,467683,433858,,1700304,282820,,28330,,105382,,41021,,11188,,1153,,2878,74552,,69533,307755,,2142163,,217158,,81466,671,,17695,,9515,1972,,367315,,62093260,,757289,,4034682,,8152,,236993,,61860,,3295,,49299,231274,,5014893,,84129,,14364,,478081,,2409076,,2510884,,9419,,86820,,101007,163605,5351,,72886,32093,,40480,54125,,1205884,,414020,,72682736,,57179,,25477,,matched (3),,.87761158,,
201002,902129,601,4765,249416,02,1,0,0,0,0,0,0,0,0,0,0,1266125,178829,-.8862876892089844,1022761,217798,-.2612419128417969,35352,.2214336395263672,91671,-.1393852233886719,78808,.6529302597045898,460887,3.718310356140137,18646,2.783264636993408,480,51110,-.3775167465209961,32463,445747,.3704471588134766,1561518,-.316157341003418,141947,-.4251718521118164,62441,4228,1.840715408325195,17187,-.0291290283203125,2954,1985,.0065708160400391,284448,-.2556695938110352,73362840,.1667804718017578,849271,.1146335601806641,4479325,.1045455932617188,39023,1.565887451171875,140551,-.5224599838256836,61018,-.0137052536010742,7916,.8764801025390625,57370,77181,-1.097450256347656,6326238,.2322940826416016,76299,-.097691535949707,68862,1.567379951477051,622581,.2640933990478516,1199035,-.6977262496948242,1405381,-.5803260803222656,17405,.6140289306640625,110589,.2419834136962891,162041,154850,4420,-.1911439895629883,272591,39329,.2033243179321289,0,30256,-.5816020965576172,775818,-.4410505294799805,293499,-.3440399169921875,64541236,-.1187992095947266,2627,-3.080344676971436,26905,.0545358657836914,matched (3),301170.84,.87761158,68248.93,99678.727
201003,902129,602,4765,50125,03,0,1,0,0,0,0,0,0,0,0,0,524889,289944,.4832582473754883,1741389,578147,.9762601852416992,27302,-.2583951950073242,147140,.4731779098510742,79322,.0065011978149414,33547,-2.620204925537109,1186,-2.755045890808106,10839,10559,-1.577001571655273,66717,412442,-.0776557922363281,1731895,.1035575866699219,195992,.3226203918457031,42409,2284,-.6158008575439453,64307,1.319515228271484,4798,128,-2.741343975067139,366774,.2541952133178711,85668400,.1550674438476563,778847,-.0865640640258789,3104221,-.3667097091674805,32713,-.1763782501220703,149206,.0597572326660156,63545,.0405797958374023,3655,-.7727899551391602,29800,135226,.5607948303222656,5536878,-.133275032043457,74147,-.0286102294921875,212076,1.124839782714844,1777994,1.04936695098877,1685080,.3402957916259766,1138324,-.2107515335083008,14600,-.1757364273071289,100237,-.0982828140258789,175335,58311,4377,-.0097761154174805,221363,33451,-.1618804931640625,0,62934,.7323923110961914,911846,.1615533828735352,760781,.9524717330932617,37730048,-.5368480682373047,57238,3.081375598907471,28078,.0426740646362305,matched (3),651710.5,.87761158,65188.77,97608.953
201004,902129,603,4765,114595,04,0,0,1,0,0,0,0,0,0,0,0,1226252,528210,.5998058319091797,2369871,722445,.2228126525878906,31426,.1406755447387695,224297,.4215869903564453,86384,.0852870941162109,284471,2.137683868408203,23835,3.000569343566895,0,101483,2.262912750244141,104557,617947,.4043073654174805,1887603,.0860910415649414,166631,-.16229248046875,95999,107,-3.060854911804199,29510,-.7789392471313477,675,2618,3.01813554763794,478381,.2656621932983398,60431840,-.348968505859375,1147048,.3871326446533203,3791128,.1999006271362305,11361,-1.057585716247559,151896,.0178680419921875,68929,.0813283920288086,5474,.4039134979248047,127065,137972,.0201034545898438,4359031,-.2391805648803711,104754,.3455648422241211,56530,-1.322173118591309,618175,-1.056468963623047,1978528,.1605405807495117,1415190,.2177066802978516,16837,.1425571441650391,107774,.0724983215332031,122246,35300,4907,.1142988204956055,500529,77269,.8372106552124023,0,86332,.3161134719848633,1435629,.4538869857788086,340757,-.8031759262084961,92280304,.8943748474121094,53242,-.0723705291748047,39999,.3538684844970703,matched (3),413804.84,.87761158,69173.891,100314.3
201005,902129,604,4765,60499,05,0,0,0,1,0,0,0,0,0,0,0,492705,277537,-.6435394287109375,186822,437475,-.5016212463378906,39678,.2331619262695313,119497,-.6296796798706055,132422,.4271907806396484,17859,-2.768123626708984,9513,-.9184961318969727,9771,24364,-1.426785469055176,87887,362598,-.5331077575683594,1844059,-.0233383178710938,117575,-.3487052917480469,49117,2788,3.260251045227051,26926,-.0916366577148438,1251,79,-3.500718116760254,360672,-.2824392318725586,50807176,-.1734790802001953,665594,-.5442676544189453,2322152,-.4901695251464844,5644,-.6995935440063477,139013,-.0886287689208984,61789,-.1093511581420898,4136,-.2802810668945313,74968,106630,-.2576866149902344,3236114,-.297877311706543,101488,-.0316743850708008,136354,.8804826736450195,837835,.3040494918823242,1464239,-.3010177612304688,1289805,-.0927724838256836,9119,-.6132183074951172,105226,-.02392578125,38077,206102,8791,.5830659866333008,333907,38279,-.7023906707763672,0,36998,-.8473358154296875,832083,-.5454263687133789,258435,-.2765254974365234,15586275,-1.778440475463867,28973,-.6084833145141602,26916,-.3961334228515625,matched (3),439698,.87761158,55114.227,91189.414
201006,902129,605,4765,214809,06,0,0,0,0,1,0,0,0,0,0,0,1289535,425527,.4273738861083984,3932204,790710,.5919113159179688,46873,.1666450500488281,159510,.2888154983520508,8392,-2.75871467590332,284169,2.767061233520508,112474,2.470062255859375,10278,87842,1.28243350982666,93034,525186,.370457649230957,2269581,.2076263427734375,228847,.6659774780273438,30847,15418,1.710210800170898,28809,.0675954818725586,2144,17321,5.390227317810059,430709,.177464485168457,63358464,.2207717895507813,1846462,1.020346641540527,3473630,.4027061462402344,22549,1.385097503662109,216957,.4451322555541992,76856,.2182083129882813,4967,.1830873489379883,100039,141046,.2797212600708008,3090996,-.0458793640136719,70679,-.3617916107177734,52563,-.9532413482666016,792876,-.0551548004150391,3545015,.8842067718505859,1467819,.1292867660522461,19445,.7572298049926758,221327,.7435312271118164,77667,106547,189881,3.07266902923584,658064,10071,-1.33524227142334,57310,58301,.4547548294067383,1040936,.2239437103271484,1483956,1.747822761535645,81162728,1.650066375732422,38648,.2881307601928711,29668,.0973472595214844,matched (3),1921569.4,.87761158,256754.38,266834.69
201007,902129,606,4765,179444,07,0,0,0,0,0,1,0,0,0,0,0,1401280,300313,-.3485031127929688,2228251,323338,-.8942327499389648,23556,-.6880617141723633,62153,-.9425077438354492,43731,1.650778770446777,24023,-2.47055721282959,210357,.6260843276977539,5009,168110,.649078369140625,122646,302933,-.5502405166625977,1801726,-.2308502197265625,214559,-.0644683837890625,57527,2313,-1.896989822387695,17915,-.4750490188598633,8346,18,-6.869303226470947,429252,-.0033893585205078,55199576,-.1378536224365234,1151075,-.4725742340087891,2332600,-.3982172012329102,8122,-1.021114349365234,160328,-.3024778366088867,72797,-.0542593002319336,1964,-.9278330802917481,122306,371885,.9694986343383789,2976132,-.0378694534301758,73257,.0358247756958008,91937,.5590906143188477,481738,-.4982662200927734,1887870,-.6300926208496094,1137314,-.2551088333129883,15701,-.2138652801513672,135865,-.4879798889160156,97612,26862,2913,-4.1772141456604,297797,6657,-.4139909744262695,0,50653,-.140620231628418,809729,-.2511758804321289,656863,-.8149919509887695,17868626,-1.513410568237305,5444,-1.959980964660645,29056,-.020843505859375,matched (3),395332.78,.87761158,78615.656,107043.7
201008,902129,607,4765,232112,08,0,0,0,0,0,0,1,0,0,0,0,916614,1753,-5.143496513366699,3156369,386721,.1790046691894531,38441,.4897441864013672,161983,.9578924179077148,90064,.7224626541137695,49887,.730748176574707,32240,-1.875597953796387,19117,133650,-.2293939590454102,123948,280693,-.0762500762939453,2194818,.1973533630371094,267996,.2223873138427734,132232,21295,2.219926834106445,63641,1.267619132995606,14274,2047,4.733758926391602,484725,.1215381622314453,59865764,.0811500549316406,1237246,.0721912384033203,4208588,.590144157409668,90657,2.412507057189941,70666,-.8192567825317383,99593,.3134174346923828,6749,1.234410762786865,180699,507837,.3115758895874023,2555768,-.1522712707519531,88391,.1877965927124023,244609,.9785575866699219,946028,.6748723983764648,3095760,.4945840835571289,1308206,.1399879455566406,21721,.324554443359375,151471,.1087322235107422,71139,83161,6974,.8730053901672363,411900,21102,1.153698921203613,0,77692,.4277534484863281,917218,.1246452331542969,950359,.3693647384643555,53090888,1.088958740234375,61707,2.427883148193359,38089,.2707004547119141,matched (3),729596.81,.87761158,50599.832,88534.031
201009,902129,608,4765,174278,09,0,0,0,0,0,0,0,1,0,0,0,789369,21862,2.523421287536621,905711,289658,-.2890024185180664,9026,-1.449015617370606,160308,-.0103950500488281,47468,-.6404647827148438,9642,-1.643631935119629,129711,1.392101287841797,7232,49062,-1.002139091491699,110326,145702,-.6556987762451172,1954138,-.11614990234375,141732,-.6370344161987305,107392,1598,-2.589719295501709,22894,-1.022382736206055,7342,752,-1.001394271850586,253616,-.6477603912353516,66146296,.0997638702392578,1034163,-.179295539855957,3231240,-.2642612457275391,1762,-3.940633773803711,213107,1.103829383850098,79767,-.2219820022583008,7215,.0667686462402344,150063,131676,-1.34981632232666,3768863,.3884210586547852,107276,.1936349868774414,139924,-.5585613250732422,678497,-.332392692565918,2299279,-.2974376678466797,1140923,-.1368188858032227,14733,-.3881893157958984,141557,-.0676918029785156,144776,68572,3712,-.6306180953979492,313137,24905,.1657009124755859,53338,66013,-.1629009246826172,1104853,.1861228942871094,878481,-.0786457061767578,85902640,.4812088012695313,60818,-.0145111083984375,42886,.1186199188232422,matched (3),266533.97,.87761158,42017.422,83924.938
201010,902129,609,4765,217937,10,0,0,0,0,0,0,0,0,1,0,0,1247118,116596,1.673965454101563,969935,180937,-.4705514907836914,45259,1.612292289733887,221963,.325413703918457,89028,.6288957595825195,21387,.7966547012329102,142091,.0911579132080078,35854,154799,1.149042129516602,198045,295409,.7067975997924805,2850622,.3775882720947266,184649,.2645187377929688,69957,4530,1.041968822479248,34131,.3993310928344727,4184,7276,2.26960039138794,196817,-.2535467147827148,79631880,.1855449676513672,753557,-.3165426254272461,3511442,.083160400390625,26187,2.698813438415527,53323,-1.38542652130127,71681,-.1068840026855469,8876,.207188606262207,213005,402599,1.117596626281738,3795674,.0070877075195313,151978,.3483304977416992,415466,1.088300704956055,1213139,.5810861587524414,2519073,.0912952423095703,772119,-.3904542922973633,15930,.0781145095825195,129816,-.0865840911865234,56089,17100,3919,.0542659759521484,184997,13814,-.589385986328125,24339,62509,-.0545406341552734,1353929,.2032985687255859,386879,-.8200817108154297,91701872,.0653285980224609,23833,-.9368143081665039,29690,-.3677349090576172,matched (3),343438.88,.87761158,37986.387,81981.078
