period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1116c484,growth1116c484,Y1155c191,growth1155c191,Y1276c32,Y1292c246,growth1292c246,Y1432c428,growth1432c428,Y1435c826,growth1435c826,Y1528c807,Y1695c752,growth1695c752,Y1766c586,growth1766c586,Y1850c222,Y1909c152,growth1909c152,Y2164c348,growth2164c348,Y2398c152,growth2398c152,Y2481c428,growth2481c428,Y260c208,Y297c36,Y2991c152,growth2991c152,Y3044c752,growth3044c752,Y3315c620,growth3315c620,Y3394c792,growth3394c792,Y3491c586,growth3491c586,Y3576c376,Y3716c68,growth3716c68,Y3745c246,growth3745c246,Y3753c484,growth3753c484,Y388c757,growth388c757,Y3916c218,Y402c251,growth402c251,Y4190c251,growth4190c251,Y4277c498,Y4282c792,growth4282c792,Y4359c440,growth4359c440,Y4462c792,growth4462c792,Y4471c218,Y448c208,growth448c208,Y4491c344,Y4772c792,growth4772c792,Y4846c36,Y4909c703,growth4909c703,Y4966c32,Y496c208,growth496c208,Y4977c251,growth4977c251,Y4990c32,Y5016c268,growth5016c268,Y609c703,growth609c703,Y633c203,Y661c757,growth661c757,Y71c233,Y892c752,growth892c752,Y915c251,growth915c251,_merge,x,r2,s,sf
201001,902131,600,4766,1351762,01,0,0,0,0,0,0,0,0,0,0,0,373368,,179792,,36340480,129998,,29530,,221972,,14200,1027468,,156784,,52901,6521460,,3392959,,584680,,188661,,214846,357148,287559,,302177,,400944,,279441,,170936,,90000,26900,,91427,,3883833,,1531278,,289046,207069,,4827602,,3252,21031,,330,,30930,,70909,250835,,6324944,686430,,220144,3582,,91931,429036,,15066897,,179030,1490,,106852,,694939,221837,,5892,286309,,6350,,matched (3),,.88604981,,
201002,902131,601,4766,1367853,02,1,0,0,0,0,0,0,0,0,0,0,408597,.0901651382446289,3651,-3.896800041198731,43675664,93724,-.3271646499633789,44847,.4178495407104492,443980,.6932287216186523,11188,1175331,.1344518661499023,130417,-.1841325759887695,42479,3058208,-.7572689056396484,4029739,.1719989776611328,292002,-.6943044662475586,108727,-.5511112213134766,261466,375385,262658,-.0905752182006836,347581,.139984130859375,480716,.1814546585083008,287752,.0293083190917969,209104,.201542854309082,399000,4906,-1.701667785644531,48319,-.6377162933349609,4550345,.1583805084228516,666294,-.832127571105957,110784,281910,.3085355758666992,4424695,-.0871486663818359,11784,23171,.0969038009643555,1376,1.42784309387207,49215,.4644718170166016,81937,222698,-.1189785003662109,5407822,881058,.2496194839477539,210271,5597,.4463090896606445,63626,424624,-.0103368759155273,16424951,.0862998962402344,156350,512,-1.068206787109375,30584,-1.250967979431152,514776,164220,-.3007354736328125,2239,331913,.147801399230957,17817,1.031698226928711,matched (3),8369394,.88604981,554756.81,924377.88
201003,902131,602,4766,3226602,03,0,1,0,0,0,0,0,0,0,0,0,586780,.3619203567504883,16305,1.496471405029297,39592704,210441,.8088512420654297,98110,.7828330993652344,707766,.4663333892822266,3917,1166109,-.0078773498535156,259134,.6866083145141602,57439,1734344,-.5672006607055664,6061946,.4083290100097656,367798,.23077392578125,148269,.3101873397827148,302191,445468,383698,.379002571105957,699502,.699371337890625,712902,.3940677642822266,1182498,1.413285255432129,272738,.2656793594360352,114000,17260,1.257933616638184,92606,.6505298614501953,3870291,-.1618728637695313,2019211,1.108731269836426,176041,283977,.0073051452636719,7953098,.5863609313964844,13109,59979,.9510936737060547,381,-1.284136295318604,69200,.3408021926879883,128557,227880,.0230026245117188,7486045,828550,-.0614461898803711,231017,13090,.8496179580688477,33039,462461,.085357666015625,17389136,.0570449829101563,247089,2184,1.450588703155518,91220,1.09279727935791,955818,246645,.406743049621582,2843,458030,.3220615386962891,46609,.9616403579711914,matched (3),6204294,.88604981,859861.63,1134055.3
201004,902131,603,4766,3287035,04,0,0,1,0,0,0,0,0,0,0,0,447344,-.2713212966918945,86228,1.665522575378418,34579752,329736,.4490871429443359,19612,-1.60994815826416,421082,-.5192861557006836,39131,1330433,.1318321228027344,166573,-.4419116973876953,141567,1268848,-.3125190734863281,3943111,-.4300603866577148,569666,.4375162124633789,175909,.1709394454956055,261437,0,224734,-.534937858581543,725075,.0359058380126953,709594,-.0046510696411133,414235,-1.048951148986816,265705,-.0261249542236328,132000,21724,.2300252914428711,56446,-.4950695037841797,7138520,.6121759414672852,772585,-.9607200622558594,80353,231015,-.2064104080200195,7866298,-.0109739303588867,26463,102814,.5389270782470703,322,-.168248176574707,72221,.042729377746582,240168,35785,-1.851290702819824,8339726,791246,-.0460681915283203,0,48000,1.299352645874023,55795,243175,-.6427803039550781,15596909,-.1087722778320313,185171,4115,.6334810256958008,65108,-.3372259140014648,539579,292791,.1715087890625,6288,314665,-.3754262924194336,125000,.9865198135375977,matched (3),7217321.5,.88604981,666702.31,995595.94
201005,902131,604,4766,3433257,05,0,0,0,1,0,0,0,0,0,0,0,258303,-.5491952896118164,185237,.7646417617797852,29846476,67001,-1.593585014343262,30697,.448023796081543,1281274,1.11278247833252,12911,1160257,-.1368627548217773,171601,.0297384262084961,85473,1429828,.1194448471069336,3863878,-.020298957824707,1125868,.6812591552734375,202915,.1428203582763672,323866,0,347686,.4363822937011719,912020,.2293872833251953,608756,-.1532754898071289,498087,.1843414306640625,326437,.2058506011962891,78000,31680,.3772678375244141,98813,.5599441528320313,5635217,-.2364702224731445,825539,.0662946701049805,107741,256061,.1029329299926758,10481763,.2870492935180664,28088,271183,.9698724746704102,8869,3.315766334533691,72197,-.0003318786621094,70869,148118,1.420480728149414,6847845,1063733,.2959299087524414,0,49544,.0316600799560547,12473,394083,.4827795028686523,21011752,.2980079650878906,289480,4965,.187774658203125,76646,.1631498336791992,602584,276674,-.0566196441650391,2198,370120,.1623191833496094,34964,-1.273994445800781,matched (3),8394120,.88604981,810418.06,1097040
201006,902131,605,4766,3574040,06,0,0,0,0,1,0,0,0,0,0,0,386716,.4035577774047852,196906,.0610904693603516,44015452,57569,-.1517238616943359,9275,-1.196843147277832,1819053,.3504619598388672,20509,1455489,.2266998291015625,276270,.4762067794799805,24247,2414413,.5239019393920898,4434998,.1378555297851563,702926,-.4710578918457031,115745,-.5613985061645508,313869,0,535003,.4309720993041992,952032,.0429363250732422,457909,-.2847471237182617,326601,-.4220361709594727,351639,.0743675231933594,295000,13361,-.8633451461791992,63465,-.4427404403686523,4481669,-.2290401458740234,610165,-.30230712890625,309232,339296,.2814569473266602,11998505,.1351451873779297,21849,29560,-2.216372489929199,983,-2.199708461761475,140076,.6627864837646484,559308,260255,.5636529922485352,7535783,552666,-.65478515625,0,32849,-.4109401702880859,154046,515542,.2686576843261719,19462536,-.0765895843505859,305643,19744,1.380435943603516,45215,-.5277690887451172,765898,311324,.1179943084716797,2234,396352,.0684747695922852,45545,.2643814086914063,matched (3),11829540,.88604981,1215117,1422402.4
201007,902131,606,4766,3471085,07,0,0,0,0,0,1,0,0,0,0,0,347309,-.1074762344360352,104028,-.638066291809082,39460904,53387,-.0754165649414063,11743,.2359352111816406,2647617,.3753433227539063,14315,720563,-.70306396484375,178512,-.4367227554321289,14639,2894486,.1813507080078125,3253790,-.3097066879272461,843162,.1819076538085938,124419,.072265625,307891,395608,245809,-.7777175903320313,1244673,.2680301666259766,389676,-.1613550186157227,285143,-.1357479095458984,337174,-.0420055389404297,153000,6670,-.6947202682495117,91377,.3645057678222656,4340658,-.0319690704345703,355705,-.5396270751953125,249181,309654,-.0914173126220703,10559547,-.1277523040771484,9190,69552,.8556528091430664,212,-1.534022808074951,79566,-.5655984878540039,54267,80924,-1.16815185546875,6499558,551023,-.0029773712158203,264295,4408,-2.008500099182129,39483,442394,-.1530179977416992,16869896,-.1429615020751953,179983,3934,-1.613192558288574,126351,1.02763557434082,545667,272527,-.1330957412719727,7935,75251,-1.661473274230957,35741,-.2424020767211914,matched (3),13042341,.88604981,1630438.5,1790265
201008,902131,607,4766,3724193,08,0,0,0,0,0,0,1,0,0,0,0,352355,.0144243240356445,759506,1.988007545471191,41161688,133366,.9155302047729492,27859,.8638982772827148,1064338,-.9113063812255859,10007,1099310,.4224052429199219,1723649,2.267542839050293,444630,3399402,.160792350769043,4803888,.3896055221557617,1178520,.3348550796508789,237341,.645843505859375,397275,465290,464514,.6364374160766602,1383832,.105982780456543,598392,.4289302825927734,226683,-.2294387817382813,731370,.7743206024169922,262000,11319,.5288629531860352,111078,.1952381134033203,4312795,-.0064401626586914,373525,.0488824844360352,329583,231747,-.2898092269897461,14691133,.3302135467529297,18178,105471,.4163618087768555,1458,1.928234577178955,113066,.3513851165771484,102702,19800,-1.407828330993652,6655011,677968,.2073230743408203,433449,42230,2.259710311889648,69945,360924,-.2035331726074219,17997882,.0647239685058594,376748,13341,1.221184730529785,24531,-1.639126777648926,570796,277574,.0183496475219727,12968,381549,1.623410224914551,69583,.6662216186523438,matched (3),1308924.1,.88604981,2022857.6,2153757.8
201009,902131,608,4766,2614775,09,0,0,0,0,0,0,0,1,0,0,0,458020,.2622737884521484,375395,-.7046890258789063,27960988,120488,-.1015472412109375,56627,.7093305587768555,538505,-.6813116073608398,6379,1204446,.0913372039794922,856372,-.699493408203125,356895,2809077,-.1907434463500977,3566043,-.297968864440918,1020521,-.1439456939697266,191154,-.2164192199707031,429747,409691,223075,-.7334833145141602,1164653,-.1724328994750977,299065,-.6935844421386719,498617,.7882862091064453,251509,-1.067440986633301,154000,9650,-.1595249176025391,73206,-.4169549942016602,4323631,.0025091171264648,873046,.849003791809082,170682,353151,.4212493896484375,15898338,.0789718627929688,41331,468371,1.490824699401856,1447,-.007573127746582,44603,-.9301700592041016,135552,104710,1.665512084960938,5785995,715042,.0532417297363281,314631,29094,-.3725996017456055,372551,355613,-.0148248672485352,20024296,.1066913604736328,258491,11993,-.1065187454223633,74572,1.111827850341797,565227,323109,.1519021987915039,3171,362161,-.0521507263183594,18704,-1.313782691955566,matched (3),3260699.5,.88604981,1044773.7,1279949.8
201010,902131,609,4766,2413799,10,0,0,0,0,0,0,0,0,1,0,0,497812,.0833101272583008,4325,-4.463566780090332,40117736,43317,-1.023005485534668,33619,-.5213947296142578,598321,.1053304672241211,0,971345,-.2150936126708984,707267,-.1912965774536133,175614,4631755,.5000801086425781,4992164,.3364124298095703,675037,-.4133014678955078,399468,.7370548248291016,262737,379860,546728,.8964433670043945,1584383,.3077716827392578,604670,.7040214538574219,262945,-.6398935317993164,511741,.7103395462036133,56000,25457,.9700326919555664,52864,-.3255548477172852,3981190,-.082514762878418,1674238,.6511249542236328,160128,248423,-.3517627716064453,8677120,-.6055259704589844,57157,22435,-3.038639068603516,715,-.7049655914306641,77128,.5476646423339844,109756,292560,1.027475357055664,4990538,533579,-.2927341461181641,177403,26321,-.1001644134521484,189996,394286,.1032333374023438,16731571,-.1796474456787109,302785,7761,-.4352121353149414,35993,-.7284412384033203,557867,556132,.5430154800415039,3057,450374,.2179899215698242,22152,.1691904067993164,matched (3),1013439,.88604981,1244969,1447987.4
