period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1058c440,growth1058c440,Y1210c792,growth1210c792,Y1686c440,growth1686c440,Y1756c484,growth1756c484,Y1771c818,Y1805c218,Y1858c703,growth1858c703,Y1913c152,growth1913c152,Y1970c152,Y2120c372,growth2120c372,Y2149c372,growth2149c372,Y2156c484,growth2156c484,Y2174c152,growth2174c152,Y2459c32,Y2589c152,growth2589c152,Y2621c586,growth2621c586,Y2735c251,growth2735c251,Y2775c251,growth2775c251,Y2863c208,growth2863c208,Y2883c233,Y2904c554,Y2940c752,growth2940c752,Y3343c344,Y3453c616,growth3453c616,Y3490c208,growth3490c208,Y353c124,growth353c124,Y3550c792,growth3550c792,Y3712c152,growth3712c152,Y3772c191,growth3772c191,Y3810c208,Y3887c233,Y3973c428,growth3973c428,Y4018c381,Y4081c484,growth4081c484,Y418c484,growth418c484,Y4294c826,growth4294c826,Y4358c818,Y4447c381,Y458c233,Y4679c826,growth4679c826,Y475c826,growth475c826,Y4770c68,growth4770c68,Y4947c152,growth4947c152,Y528c428,growth528c428,Y622c757,growth622c757,Y720c586,growth720c586,Y722c300,growth722c300,Y841c124,growth841c124,Y917c818,Y91c36,_merge,x,r2,s,sf
201001,902139,600,4767,1150251,01,0,0,0,0,0,0,0,0,0,0,0,44567,,221054,,1912783,,1045944,,190426,32119,41411,,1327722,,617,5462478,,1254425,,1426,,44950,,391127,395503,,757101,,20240256,,2296710,,10955154,,5837,1789,470875,,193264,1055666,,176061,,29476304,,67532,,126869,,192930,,728,130228,527,,1006806,399592,,121790,,3265043,,67415,9133357,5621,128074,,40115,,23103,,2777501,,329127,,165325,,34714,,443662,,1919226496,,258037,104401,matched (3),,.92000735,,
201002,902139,601,4767,774280,02,1,0,0,0,0,0,0,0,0,0,0,13069,-1.226750373840332,273724,.2137136459350586,1596008,-.1810531616210938,659418,-.4613180160522461,198510,995,35976,-.1406946182250977,895205,-.3941669464111328,79652,5353724,-.0201101303100586,33641,-3.618686676025391,4913,1.237011909484863,48225,.0703268051147461,22615,206174,-.6514377593994141,742077,-.0200433731079102,16488651,-.2050018310546875,1257998,-.6019554138183594,10251525,-.0663833618164063,1759,6837,409804,-.1389141082763672,79994,871813,-.1913518905639648,175570,-.0027923583984375,36102976,.202789306640625,64204,-.0505361557006836,76784,-.5021591186523438,70897,-1.001099586486816,8580,555395,881,.513857364654541,969902,290933,-.3173503875732422,29037,-1.433727264404297,3614753,.1017513275146484,30802,8690447,4245,148836,.1502370834350586,84880,.7494878768920898,72302,1.140889167785645,2242009,-.2141790390014648,311483,-.0550985336303711,118035,-.3369321823120117,50854,.3818159103393555,206838,-.763127326965332,1537028608,-.2220726013183594,276243,105718,matched (3),704392.44,.92000735,100151.99,171958.61
201003,902139,602,4767,824703,03,0,1,0,0,0,0,0,0,0,0,0,81382,1.828910827636719,435858,.4651966094970703,2289954,.3610258102416992,1008280,.4246435165405273,264115,18591,112927,1.143889427185059,2063747,.8352260589599609,112571,5937181,.1034412384033203,155343,1.529890060424805,3905,-.2296276092529297,52981,.09405517578125,249026,629358,1.115979194641113,1061791,.3582592010498047,19073816,.1456432342529297,1461286,.1497945785522461,10585727,.0320796966552734,4809,1475,272912,-.406529426574707,301661,707114,-.2093830108642578,195951,.1098270416259766,43968588,.1970996856689453,141414,.7896270751953125,103175,.2954301834106445,272563,1.346641540527344,10167,123220,84632,4.565009593963623,1186783,416628,.359100341796875,224505,2.045327186584473,3884248,.0719051361083984,136163,12261857,2098,302793,.7102041244506836,139832,.4992036819458008,89210,.2101411819458008,2664505,.1726455688476563,423233,.3065776824951172,184221,.445155143737793,75483,.3949489593505859,595261,1.057064056396484,1867431936,.1947135925292969,382421,108114,matched (3),800161.13,.92000735,85996.75,164118.2
201004,902139,603,4767,888432,04,0,0,1,0,0,0,0,0,0,0,0,115252,.3479671478271484,375220,-.1498041152954102,1734974,-.2775392532348633,558660,-.5904598236083984,244401,32478,50319,-.8083591461181641,1778734,-.1486215591430664,959471,6101457,.0272932052612305,1310892,2.132827758789063,1253,-1.136716842651367,69676,.2739229202270508,904896,468865,-.2943849563598633,1094052,.0299310684204102,16559301,-.1413669586181641,852220,-.5392274856567383,7913198,-.2909736633300781,8045,4146,300373,.0958757400512695,516916,1079306,.4228811264038086,98265,-.6901969909667969,35751196,-.2068920135498047,97102,-.3759298324584961,109432,.0588769912719727,239311,-.1301059722900391,8541,515271,139019,.4962987899780273,1010150,268166,-.4405879974365234,145320,-.4349594116210938,2284243,-.5308942794799805,83957,12367772,5497,300064,-.0090541839599609,120267,-.1507272720336914,31184,-1.051088333129883,2386048,-.1103792190551758,497606,.1618862152099609,181592,-.014373779296875,55754,-.3029584884643555,418307,-.3527841567993164,2369682176,.2381916046142578,482293,0,matched (3),546995.75,.92000735,75769.219,158997.86
201005,902139,604,4767,1169126,05,0,0,0,1,0,0,0,0,0,0,0,219793,.6455650329589844,509522,.3059606552124023,2198068,.2365865707397461,975878,.5577964782714844,1967618,18153,121318,.8800325393676758,1828775,.0277442932128906,2769937,6248119,.0237531661987305,108429,-2.492367744445801,12272,2.281779289245606,86118,.2118625640869141,485720,1106546,.8586835861206055,953474,-.1375312805175781,17153840,.0352725982666016,2511672,1.080859184265137,8535387,.075688362121582,942,3628,264350,-.127751350402832,711626,767594,-.3408126831054688,182040,.6165580749511719,39006460,.0871448516845703,179951,.6169223785400391,141190,.2548027038574219,323989,.3029460906982422,15774,519018,601906,1.465490341186523,1243962,329467,.2058706283569336,179725,.212489128112793,3899332,.5347709655761719,472375,14452416,5878,412657,.3186216354370117,47171,-.9359350204467773,47105,.4124746322631836,4559095,.6474857330322266,520418,.0448236465454102,103544,-.5617656707763672,119529,.7626104354858398,413662,-.0111665725708008,2353818880,-.0067157745361328,251997,0,matched (3),1759369.9,.92000735,181338.73,228960.88
201006,902139,605,4767,1120843,06,0,0,0,0,1,0,0,0,0,0,0,46189,-1.559945106506348,342530,-.3971138000488281,1778382,-.2118749618530273,987659,.0120000839233398,522851,20102,95533,-.2389430999755859,1387524,-.2761259078979492,2222413,6595151,.0540542602539063,30424,-1.270864486694336,1970,-1.829286575317383,89891,.0428791046142578,555612,553301,-.6930961608886719,962358,.0092744827270508,25242184,.3862953186035156,6047214,.8786497116088867,7958175,-.0700206756591797,269,1700,313466,.1704168319702148,597221,766166,-.001861572265625,109656,-.5068778991699219,46066532,.1663589477539063,85179,-.747929573059082,124719,-.1240434646606445,245252,-.2784233093261719,940,349550,25837,-3.148293495178223,1389705,241369,-.3111495971679688,183886,.02288818359375,3285065,-.1714191436767578,118290,11289859,1135,349611,-.1657962799072266,43140,-.0893287658691406,35929,-.2708349227905273,5770215,.2355852127075195,577631,.1043024063110352,183568,.5725879669189453,218458,.6030340194702148,219227,-.6349411010742188,1736852096,-.3039646148681641,311793,0,matched (3),353180.75,.92000735,66113.156,154629.53
201007,902139,606,4767,1162381,07,0,0,0,0,0,1,0,0,0,0,0,134406,1.068123817443848,539184,.4536972045898438,2668536,.4058265686035156,1005233,.0176372528076172,393816,35836,61220,-.4449977874755859,1843102,.2839298248291016,3433772,5899639,-.1114435195922852,51402,.5244455337524414,5062,.9437284469604492,256083,1.046903610229492,610074,507659,-.0860919952392578,1069439,.1055030822753906,26495816,.0484695434570313,6524217,.075922966003418,10700861,.2961244583129883,1431,1292,444950,.3502712249755859,218092,825293,.0743398666381836,95875,-.134303092956543,37342300,-.2099609375,250483,1.078636169433594,99810,-.2227945327758789,311578,.2393627166748047,34322,394399,447117,2.851012229919434,1187810,593393,.8995304107666016,173227,-.0597133636474609,3153379,-.0409116744995117,143041,13418835,4715,352423,.0080118179321289,111745,.9517688751220703,78564,.7823686599731445,3634849,-.4621419906616211,619624,.0701780319213867,133646,-.3173904418945313,63095,-1.241951942443848,234046,.0654096603393555,2021392128,.1517105102539063,745473,112392,matched (3),904829.94,.92000735,68600.305,155709.17
201008,902139,607,4767,1268386,08,0,0,0,0,0,0,1,0,0,0,0,330533,.89984130859375,286435,-.6325454711914063,1726047,-.4356966018676758,1386954,.3218898773193359,687447,5730,68372,.1104898452758789,1699292,-.0812387466430664,712853,6928749,.1607885360717773,57193,.1067543029785156,6659,.2742071151733398,85828,-1.093155860900879,726215,565919,.1086406707763672,1011328,-.0558700561523438,24267572,-.0878448486328125,6574309,.0076484680175781,10081145,-.0596580505371094,4550,5053,381820,-.1530122756958008,656304,854685,.0349941253662109,398474,1.424596786499023,45540328,.1984729766845703,131578,-.6437911987304688,145117,.374272346496582,364017,.1555509567260742,4770,1086600,60324,-2.003089904785156,1580736,853827,.3638715744018555,110157,-.4526958465576172,5812088,.6114654541015625,129497,8327340,13870,1084099,1.123672485351563,90389,-.21209716796875,86244,.0932674407958984,4800756,.2782058715820313,657507,.0593423843383789,153233,.1367654800415039,51054,-.2117576599121094,585813,.9174833297729492,1958910720,-.0313968658447266,647195,104858,matched (3),1157758.9,.92000735,95252.398,169151.89
201009,902139,608,4767,1047745,09,0,0,0,0,0,0,0,1,0,0,0,188459,-.5618257522583008,266450,-.0723247528076172,2030829,.1626100540161133,1176693,-.1644020080566406,523584,51213,56899,-.1836862564086914,1664166,-.0208873748779297,400225,7879504,.1285848617553711,134614,.8559799194335938,2833,-.8546328544616699,159153,.6175203323364258,509601,530232,-.0651359558105469,826034,-.2023830413818359,20548440,-.1663570404052734,3604985,-.6008520126342773,6412287,-.4524507522583008,6445,2434,476050,.2205734252929688,346059,783710,-.0866937637329102,136189,-1.07359790802002,52378144,.1398906707763672,310191,.8575878143310547,135685,-.067204475402832,247011,-.3877677917480469,36145,373247,44660,-.3006515502929688,1273669,395311,-.7700557708740234,81326,-.303441047668457,5409798,-.0717287063598633,78291,15234227,2539,528566,-.7183370590209961,136305,.4107723236083984,78333,-.0962114334106445,3741942,-.2491683959960938,597007,-.0965261459350586,127350,-.1850204467773438,231741,1.512736320495606,423276,-.3249759674072266,2038126720,.039642333984375,1090879,43270,matched (3),1113109.9,.92000735,79147.852,160635.38
201010,902139,609,4767,837450,10,0,0,0,0,0,0,0,0,1,0,0,10245,-2.912091255187988,130156,-.7164525985717773,1602066,-.2371501922607422,735634,-.4697303771972656,306795,3083,60271,.0575733184814453,1302476,-.2450571060180664,279097,7591539,-.0372304916381836,145910,.0805788040161133,4103,.3703818321228027,90389,-.5657434463500977,904926,417367,-.239349365234375,2092433,.9294462203979492,16587390,-.214141845703125,3691752,.0237836837768555,5857627,-.0904712677001953,1709,832,432725,-.0954208374023438,700418,1190403,.4180078506469727,250410,.6090555191040039,46802904,-.1125450134277344,87003,-1.271245002746582,207781,.4261484146118164,154169,-.4713830947875977,28030,429723,6174,-1.978732109069824,1807680,379711,-.0402622222900391,254536,1.140976905822754,5335086,-.0139064788818359,146610,11881393,2029,556172,.0509099960327148,88982,-.4264602661132813,71576,-.0902090072631836,3568656,-.0474157333374023,618852,.0359373092651367,138834,.086338996887207,151234,-.4267921447753906,177395,-.8696460723876953,1795102208,-.1269683837890625,900433,68624,matched (3),1179157.5,.92000735,93655.938,168258.06
