period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1117c586,growth1117c586,Y1288c757,growth1288c757,Y1310c428,growth1310c428,Y1397c208,growth1397c208,Y1428c68,growth1428c68,Y1591c826,growth1591c826,Y1594c428,growth1594c428,Y1689c428,growth1689c428,Y1724c792,growth1724c792,Y1904c600,growth1904c600,Y1912c703,growth1912c703,Y1916c428,growth1916c428,Y2142c218,Y246c757,growth246c757,Y2486c344,Y2552c344,Y2731c600,growth2731c600,Y2794c703,growth2794c703,Y3240c688,growth3240c688,Y3308c208,growth3308c208,Y3332c752,growth3332c752,Y3348c233,Y344c152,growth344c152,Y3450c818,Y3476c68,growth3476c68,Y3480c208,growth3480c208,Y3544c268,growth3544c268,Y3550c268,growth3550c268,Y3918c352,growth3918c352,Y3980c428,Y4003c484,growth4003c484,Y4295c222,growth4295c222,Y4302c268,growth4302c268,Y4589c152,growth4589c152,Y4631c344,Y4656c586,growth4656c586,Y4843c352,growth4843c352,Y4886c233,Y4939c600,growth4939c600,Y4960c608,Y4988c484,growth4988c484,Y5012c484,growth5012c484,Y596c428,growth596c428,Y598c616,growth598c616,Y607c807,growth607c807,Y676c620,growth676c620,Y707c608,Y793c208,growth793c208,Y896c372,growth896c372,Y984c208,_merge,x,r2,s,sf
201001,902140,600,4768,16887994,01,0,0,0,0,0,0,0,0,0,0,0,202112,,4276149,,216,,1003381,,944,,3070367,,96031,,25399,,2375265,,16598,,38628,,17213,,61844,3054106,,954719,4543204,525,,73218,,8442,,391235,,922799,,109491,42225,,6175,985565,,134250,,76,,3619,,27267,,0,283840,,2378,,15473,,24049708,,9686823,3120215,,9681,,24219,12641,,7664,20382,,7376,,162626,,1027654,,69837,,203309,,10772844,1071790,,109307,,9461,matched (3),,.84694231,,
201002,902140,601,4768,13880360,02,1,0,0,0,0,0,0,0,0,0,0,288294,.355158805847168,3271267,-.2678756713867188,134,-.4774384498596191,749120,-.292231559753418,3659,1.354819297790527,3570523,.1509151458740234,35545,-.9938716888427734,23570,-.0747346878051758,2535908,.0654430389404297,8993,-.6128358840942383,92369,.8718147277832031,17250,.0021476745605469,21144,2607946,-.157923698425293,522363,3459134,6671,2.542126655578613,51658,-.3487958908081055,16942,.6965761184692383,386431,-.012354850769043,639385,-.3669042587280273,49179,425853,2.311081886291504,489,431315,-.8263759613037109,174940,.2647390365600586,26,-1.072636842727661,386,-2.238115310668945,28767,.0535516738891602,274376,159116,-.5787773132324219,2467,.0367431640625,17765,.1381340026855469,14621448,-.4976348876953125,5908197,4559910,.3794012069702148,1631,-1.780971527099609,23472,1153,-2.394578456878662,11740,9170,-.7987146377563477,3523,-.7389183044433594,126174,-.2537908554077148,1070099,.0404729843139648,28599,-.892791748046875,146775,-.3258266448974609,8901778,38439,-3.328013420104981,122187,.1113929748535156,36811,matched (3),14488469,.84694231,1599997,2938890.5
201003,902140,602,4768,17185608,03,0,1,0,0,0,0,0,0,0,0,0,446261,.4369230270385742,12228653,1.318604469299316,96398,6.5784010887146,1124638,.4063177108764648,17004,1.536258697509766,3647822,.021418571472168,240603,1.912348747253418,26286,.1090621948242188,1870098,-.304560661315918,31096,1.240633010864258,188992,.7159128189086914,25333,.3842954635620117,18669,3048628,.1561288833618164,917276,4829048,3338,-.6923980712890625,69227,.2927455902099609,24340,.3623256683349609,587554,.4190149307250977,973434,.420323371887207,41143,76846,-1.712290763854981,7400,985498,.8263082504272461,74134,-.8585681915283203,660,3.234143495559692,14469,3.623926162719727,29338,.0196552276611328,423765,290839,.6031370162963867,3688,.4020810127258301,25945,.378748893737793,14791588,.0115699768066406,8376254,6637315,.3754043579101563,4476,1.009535789489746,32624,8734,2.024856090545654,40133,13154,.3607883453369141,8939,.9311103820800781,320812,.9331932067871094,1223755,.1341724395751953,109736,1.344705581665039,397571,.9964723587036133,11286483,207586,1.686473846435547,105400,-.1477899551391602,1210,matched (3),24009114,.84694231,2840386.3,3760968.3
201004,902140,603,4768,20299480,04,0,0,1,0,0,0,0,0,0,0,0,675651,.4147729873657227,10481256,-.1541938781738281,185594,.6550760269165039,528344,-.7554693222045898,12403,-.3155107498168945,4043856,.1030683517456055,114557,-.7420759201049805,57131,.7763099670410156,2791680,.4006528854370117,28466,-.0883684158325195,35276,-1.678502082824707,7299,-1.244370460510254,98967,2105143,-.3703088760375977,814883,6007632,4632,.3276176452636719,303108,1.47669792175293,20829,-.1557750701904297,592808,.0089015960693359,953784,-.0203933715820313,163788,820537,2.368155479431152,34127,774428,-.2410221099853516,94015,.2375802993774414,329,-.6961822509765625,14796,.0223484039306641,12013,-.8928947448730469,115605,316947,.0859642028808594,11595,1.145489692687988,64467,.9101743698120117,16287990,.0963687896728516,7662421,9561074,.3649921417236328,7264,.4842014312744141,12617,526,-2.809677600860596,86791,16404,.220799446105957,45896,1.635954856872559,463810,.3686199188232422,1052075,-.1511592864990234,35455,-1.129813194274902,303094,-.2713298797607422,14691986,286456,.3220386505126953,96428,-.0889663696289063,14748,matched (3),20571200,.84694231,2257291.5,3342521.8
201005,902140,604,4768,19908568,05,0,0,0,1,0,0,0,0,0,0,0,210876,-1.164406776428223,4848828,-.7708501815795898,11107,-2.815986633300781,873050,.5022459030151367,2741,-1.509615421295166,5477860,.3035154342651367,40746,-1.033714294433594,31706,-.5888404846191406,1985043,-.34100341796875,20949,-.3066196441650391,47862,.305119514465332,17807,.8918542861938477,57086,1199860,-.5621786117553711,768408,5018017,8364,.5909481048583984,98361,-1.125444412231445,20590,-.011540412902832,702451,.1697053909301758,740505,-.2531042098999023,118656,566815,-.3699254989624023,31617,634705,-.1989650726318359,20458,-1.525080680847168,165,-.6901121139526367,10961,-.3000125885009766,92188,2.037840843200684,219456,234581,-.300933837890625,11833,.0203189849853516,39231,-.4966859817504883,17865226,.0924282073974609,6085889,6672490,-.359705924987793,4377,-.5065670013427734,11818,63,-2.122166633605957,80655,12825,-.246129035949707,11892,-1.350512504577637,317134,-.3801507949829102,1219133,.1473760604858398,11439,-1.131236076354981,278828,-.0834484100341797,13095767,119296,-.8759765625,37921,-.9332914352416992,31334,matched (3),20438756,.84694231,2135863,3261747.8
201006,902140,605,4768,14048556,06,0,0,0,0,1,0,0,0,0,0,0,530937,.9233732223510742,3788332,-.2468118667602539,61592,1.712956428527832,856157,-.0195398330688477,22158,2.0898756980896,5423908,-.0098981857299805,25508,-.4683656692504883,32866,.0359325408935547,1528536,-.2613296508789063,11570,-.5936756134033203,40552,-.1657371520996094,18817,.0551691055297852,93472,6594,-5.203799247741699,568339,4955926,3064,-1.004216194152832,40943,-.8764638900756836,55057,.9835634231567383,596744,-.1630868911743164,3008318,1.401803970336914,71412,447104,-.2372417449951172,10717,736696,.1490154266357422,11011,-.6194791793823242,268,.485041618347168,1201,-2.211189270019531,76233,-.1900358200073242,59048,270032,.1407403945922852,6343,-.6235408782958984,15541,-.9259862899780273,20662614,.1454696655273438,5874017,5842447,-.1328439712524414,2637,-.5067219734191895,9473,12772,5.311875820159912,103521,11944,-.0711669921875,4330,-1.010298728942871,405507,.2458133697509766,938177,-.2619571685791016,43519,1.336169242858887,217804,-.2469987869262695,14151641,772929,1.868578910827637,104097,1.009818077087402,1038,matched (3),29948120,.84694231,2642007,3613487
201007,902140,606,4768,19481252,07,0,0,0,0,0,1,0,0,0,0,0,547496,.0307111740112305,5071355,.291682243347168,58789,-.0465764999389648,367245,-.8464241027832031,27355,.2107009887695313,6055448,.110142707824707,58605,.8318281173706055,23911,-.3180999755859375,1752312,.1366252899169922,75301,1.873078346252441,60288,.3965482711791992,31738,.5227537155151367,37987,9813,.397547721862793,663089,3265384,1491,-.7202739715576172,43791,.0672473907470703,26979,-.7133102416992188,441436,-.3014554977416992,367373,-2.10275936126709,31856,509544,.1307249069213867,48482,1035865,.3408164978027344,17493,.4629058837890625,36,-2.007468223571777,6467,1.683557510375977,67078,-.1279382705688477,148296,388556,.363896369934082,11029,.5531768798828125,38239,.9003744125366211,33195314,.4740829467773438,7773307,5563213,-.0489730834960938,733,-1.280251502990723,11309,11605,-.0958194732666016,96612,16843,.3437061309814453,39010,2.198250770568848,230073,-.5667409896850586,1125223,.181797981262207,66936,.4305391311645508,394602,.5942811965942383,15158980,497890,-.4398078918457031,121021,.1506404876708984,28265,matched (3),22841552,.84694231,1060042.8,2683426.5
201008,902140,607,4768,14052510,08,0,0,0,0,0,0,1,0,0,0,0,343847,-.4651575088500977,3668421,-.3238468170166016,54181,-.0816249847412109,775975,.7480907440185547,3834,-1.964990615844727,5059122,-.1797657012939453,29401,-.6897916793823242,46640,.6681194305419922,1148963,-.4220762252807617,77584,.0298671722412109,44511,-.3033971786499023,16017,-.683863639831543,28964,508720,3.948189735412598,735417,4768494,11869,2.074482917785645,58382,.2875795364379883,23416,-.1416397094726563,622100,.3430681228637695,1068437,1.067574501037598,146399,361242,-.343968391418457,31082,855925,-.1908092498779297,650679,3.616215705871582,11,-1.185623645782471,60202,2.230993270874023,58095,-.1437759399414063,75078,363169,-.0675687789916992,12793,.1483697891235352,118741,1.133089065551758,32670016,-.0159511566162109,9021888,6900861,.2154703140258789,12683,2.85087251663208,43222,10718,-.0795106887817383,451030,16527,-.0189399719238281,10327,-1.329055786132813,138642,-.5065021514892578,1002386,-.1155977249145508,16180,-1.419960975646973,226198,-.5564661026000977,12730290,371507,-.292811393737793,124955,.0319900512695313,14321,matched (3),17750090,.84694231,1301670.8,2787729.3
201009,902140,608,4768,12536998,09,0,0,0,0,0,0,0,1,0,0,0,922314,.9866886138916016,3525871,-.0396337509155273,12254,-1.486477851867676,1034445,.2875003814697266,20431,1.673144340515137,7623681,.4100666046142578,48770,.5060863494873047,9418,-1.599835395812988,1956701,.5324001312255859,40964,-.638667106628418,44653,.0031852722167969,13855,-.1450042724609375,60407,141610,-1.278820991516113,826241,3905029,6875,-.5460386276245117,142132,.8897485733032227,15303,-.4253702163696289,794293,.2443513870239258,888704,-.1841878890991211,51111,708425,.6734962463378906,22373,591425,-.3696479797363281,320344,-.7086210250854492,10,-.0953102111816406,16961,-1.266788482666016,17977,-1.17298698425293,95311,240774,-.4110097885131836,14242,.1072969436645508,21038,-1.73061466217041,27051434,-.1887168884277344,7395394,4986401,-.3249320983886719,3880,-1.184427261352539,105742,10700,-.0016813278198242,1222649,12586,-.2724103927612305,4653,-.7972497940063477,203045,.3815326690673828,949921,-.0537595748901367,82862,1.633400917053223,196461,-.1409473419189453,11899029,345984,-.0711755752563477,73532,-.5302333831787109,27277,matched (3),25540716,.84694231,1337494.1,2804635
201010,902140,609,4768,14266847,10,0,0,0,0,0,0,0,0,1,0,0,642799,-.361053466796875,9182118,.9571304321289063,7674,-.4680147171020508,1019178,-.0148687362670898,76701,1.322861671447754,3789656,-.6989841461181641,28980,-.5205087661743164,34639,1.30235767364502,1738729,-.1181058883666992,170338,1.425090789794922,99322,.7994461059570313,20616,.3974208831787109,54161,167795,.1696662902832031,981598,4369449,24419,1.267470359802246,191515,.2982101440429688,15927,.0399665832519531,758123,-.0466070175170898,851080,-.0432577133178711,78087,297535,-.8675127029418945,30975,1562835,.9717226028442383,658287,.720245361328125,45,1.504077434539795,2166,-2.058034896850586,5648,-1.157791137695313,204948,409142,.5302038192749023,9924,-.3612394332885742,58474,1.022252082824707,32929912,.1966419219970703,8233815,5078691,.0183391571044922,2016,-.6547203063964844,36688,5588,-.6496219635009766,1876382,14298,.1275348663330078,5713,.2052316665649414,270139,.2855091094970703,957489,.0079355239868164,28583,-1.064364433288574,157163,-.2231807708740234,13141599,940049,.9995393753051758,124327,.5251951217651367,13563,matched (3),18746074,.84694231,1926635.8,3128739.8
