period,HS7,T,pid,y,month,_Imonth_2,_Imonth_3,_Imonth_4,_Imonth_5,_Imonth_6,_Imonth_7,_Imonth_8,_Imonth_9,_Imonth_10,_Imonth_11,_Imonth_12,Y1365c757,growth1365c757,Y1430c818,Y1452c818,Y1456c191,growth1456c191,Y1811c792,growth1811c792,Y2212c792,growth2212c792,Y2220c498,Y2275c807,growth2275c807,Y2292c124,Y2426c807,growth2426c807,Y2558c440,growth2558c440,Y2570c484,growth2570c484,Y2631c440,growth2631c440,Y2690c688,growth2690c688,Y2716c372,growth2716c372,Y2876c246,growth2876c246,Y291c36,Y2922c757,growth2922c757,Y2932c826,growth2932c826,Y3088c620,growth3088c620,Y3089c428,growth3089c428,Y3304c705,growth3304c705,Y3316c348,growth3316c348,Y3397c826,growth3397c826,Y3434c586,growth3434c586,Y3687c818,Y3695c818,Y3750c818,Y3760c428,growth3760c428,Y4041c484,growth4041c484,Y4186c268,growth4186c268,Y4193c218,Y4241c554,Y425c826,growth425c826,Y4288c642,Y4339c268,growth4339c268,Y4387c792,growth4387c792,Y439c705,growth439c705,Y4417c124,growth4417c124,Y4463c792,growth4463c792,Y4474c620,growth4474c620,Y4760c792,growth4760c792,Y4774c440,Y4934c818,Y4959c705,growth4959c705,Y4984c600,growth4984c600,Y5039c792,growth5039c792,Y604c586,growth604c586,Y609c222,growth609c222,Y983c792,growth983c792,_merge,x,r2,s,sf
201001,902212,600,4771,5656974,01,0,0,0,0,0,0,0,0,0,0,0,64963,,774257,22126,15945,,295167,,619506,,7857,31545,,1289,21015,,164844,,64782,,67278,,4776,,302674,,34833,,130314,4280516,,17418742,,1222929,,204904,,47664,,87502,,931938,,3173372,,4498,242451,393506,4241,,2028393,,7399,,721197,0,571676,,126650,278392,,1803510,,22087,,1964498,,26519,,2897513,,1962252,,0,3781622,226419,,4291,,341623,,126697,,219499,,362950,,matched (3),,.88550168,,
201002,902212,601,4771,8412256,02,1,0,0,0,0,0,0,0,0,0,0,74925,.142669677734375,899845,319412,60319,1.330501556396484,414795,.3402423858642578,610358,-.0148763656616211,11283,46441,.3867683410644531,16162,52989,.9248485565185547,258869,.4513225555419922,39721,-.4891481399536133,94000,.3344612121582031,40840,2.146059036254883,395480,.2674436569213867,47047,.3005819320678711,148933,4519586,.054347038269043,16754800,-.0388622283935547,1235809,.0104770660400391,229363,.1127643585205078,37391,-.2427463531494141,181673,.7305469512939453,3519827,1.328900337219238,3483579,.0932655334472656,28981,311610,442678,8731,.722081184387207,2494091,.2066802978515625,13738,.6188201904296875,957633,0,542774,-.0518789291381836,808385,460647,.5036020278930664,1428149,-.2333564758300781,21129,-.0443429946899414,2128572,.0802145004272461,18295,-.3712329864501953,3666643,.2354240417480469,4271571,.7778892517089844,44938,3403834,637579,1.035290718078613,23216,1.688322067260742,474964,.3295316696166992,96849,-.2686452865600586,356888,.4860744476318359,407145,.1149044036865234,matched (3),609246.06,.88550168,1735087.1,2513341.3
201003,902212,602,4771,7343500,03,0,1,0,0,0,0,0,0,0,0,0,46330,-.4806985855102539,1013053,16537,22898,-.968597412109375,375739,-.0988893508911133,767851,.2295494079589844,9681,123385,.9771261215209961,45972,26299,-.7005538940429688,181811,-.3533544540405273,2464,-2.780093669891357,36054,-.9582767486572266,104821,.942591667175293,141199,-1.029930114746094,20729,-.8196134567260742,333482,4695118,.0381031036376953,14178479,-.1669597625732422,1206036,-.0243864059448242,334748,.3780717849731445,60820,.4864883422851563,75779,-.8743867874145508,1029513,-1.229325294494629,4590918,.2760200500488281,34789,167094,430438,1629,-1.678914070129395,2673266,.0693769454956055,15252,.1045455932617188,1009618,1384,548884,.0111932754516602,85696,352761,-.266840934753418,2295337,.4745006561279297,11077,-.6457757949829102,2361732,.1039438247680664,39948,.7809505462646484,3715113,.0131320953369141,6456076,.4130401611328125,37462,2826466,789903,.2142314910888672,402,-4.056145191192627,102898,-1.529500961303711,64696,-.4034538269042969,234453,-.4201669692993164,407050,-.0002326965332031,matched (3),-3786552.8,.88550168,2123327.5,2795510
201004,902212,603,4771,7969726,04,0,0,1,0,0,0,0,0,0,0,0,123843,.9832248687744141,581060,10507,53409,.8469295501708984,218892,-.5403165817260742,475259,-.4797353744506836,10794,182820,.393193244934082,13025,14638,-.5859098434448242,180144,-.0092105865478516,30786,2.52527379989624,43243,.1818180084228516,141543,.3003501892089844,222537,.4549236297607422,10807,-.6513395309448242,0,2986384,-.4524602890014648,14820845,.0443096160888672,1751863,.3733406066894531,269912,-.2152824401855469,79242,.2645883560180664,54395,-.3315486907958984,1562198,.4170074462890625,5043905,.0940999984741211,59428,229924,303559,10876,1.898591995239258,1869035,-.3578786849975586,29078,.6452713012695313,390333,42313,849874,.4372014999389648,0,263374,-.2922163009643555,1671686,-.317047119140625,25207,.8222513198852539,2874659,.1965389251708984,46744,.1571073532104492,3111922,-.1771678924560547,5541301,-.1527929306030273,46046,1687883,453071,-.5558614730834961,133,-1.10610294342041,79839,-.2537260055541992,124469,.6543569564819336,270394,.1426248550415039,574283,.3441858291625977,matched (3),-5834886.5,.88550168,2613844.3,3184107
201005,902212,604,4771,8174959,05,0,0,0,1,0,0,0,0,0,0,0,70601,-.5619697570800781,926986,100186,72113,.3002548217773438,357485,.4905157089233398,478030,.0058135986328125,9227,88158,-.7293720245361328,36038,58580,1.386772155761719,146594,-.206089973449707,12622,-.8916187286376953,67356,.4431562423706055,157027,.1038141250610352,377599,.5287389755249023,11265,.0415067672729492,0,5213866,.5572586059570313,15787228,.0631675720214844,1776962,.014225959777832,371181,.3185939788818359,105561,.2867822647094727,13877,-1.366040229797363,3381834,.7723245620727539,5310586,.0515213012695313,114279,200367,2766508,6555,-.5063304901123047,2614499,.3356494903564453,12697,-.8286161422729492,1174031,42147,665428,-.2446575164794922,202247,351416,.288395881652832,2862939,.5380163192749023,7976,-1.15068531036377,2447156,-.1610078811645508,40453,-.1445455551147461,2564954,-.1933002471923828,6491049,.1581954956054688,49238,3583316,103085,-1.480494499206543,10107,4.330634593963623,284083,1.269254684448242,145585,.1567039489746094,288119,.0634937286376953,759372,.2793693542480469,matched (3),-389442.84,.88550168,3424383.8,3877210.5
201006,902212,605,4771,6404387,06,0,0,0,0,1,0,0,0,0,0,0,65356,-.0771951675415039,831537,19285,71818,-.0040988922119141,847894,.8636617660522461,281241,-.530461311340332,6406,113555,.2531566619873047,11319,141887,.8846378326416016,79700,-.6093969345092773,68660,1.6937255859375,72465,.0731115341186523,138193,-.1277666091918945,235947,-.4702253341674805,15222,.3010406494140625,0,4857068,-.0708866119384766,15733731,-.0033950805664063,1398860,-.2392482757568359,300858,-.2100515365600586,102724,-.0272436141967773,67749,1.585577011108398,1211884,-1.026242256164551,4763660,-.1086854934692383,98790,294796,445952,6003,-.0879678726196289,2076483,-.2303962707519531,12370,-.0260915756225586,765462,171425,729863,.0924263000488281,131763,324254,-.0804433822631836,1377317,-.7317113876342773,4120,-.66058349609375,1961095,-.2214231491088867,38502,-.0494308471679688,3106579,.1915817260742188,7321873,.1204414367675781,17923,2630952,448593,1.470561981201172,7731,-.2679901123046875,273667,-.0373544692993164,132663,-.0929479598999023,210894,-.3120183944702148,791835,.0418615341186523,matched (3),-7487671.5,.88550168,2594113,3167930
201007,902212,606,4771,6184102,07,0,0,0,0,0,1,0,0,0,0,0,60245,-.0814294815063477,1127162,4562,62408,-.14044189453125,686650,-.2109308242797852,513897,.6028108596801758,18851,107233,-.0572834014892578,8275,71483,-.6855716705322266,117058,.3843994140625,4601,-2.702893257141113,53640,-.3008089065551758,199191,.3656129837036133,295074,.2236185073852539,39715,.9589872360229492,388679,4332971,-.1141815185546875,16631671,.0555019378662109,1367035,-.0230131149291992,319887,.0613298416137695,92319,-.1067953109741211,60594,-.1116132736206055,2553825,.7454166412353516,5493693,.1425848007202148,134074,313427,634397,3557,-.5233421325683594,1229020,-.5244588851928711,10414,-.172123908996582,766268,733,648455,-.1182641983032227,114761,267525,-.1923141479492188,1411427,.0244636535644531,7611,.6137418746948242,1902064,-.0305633544921875,28859,-.2882881164550781,2818444,-.0973377227783203,6280680,-.1533880233764648,48128,7493074,231655,-.6608667373657227,7389,-.0452461242675781,374285,.313105583190918,77066,-.5431499481201172,313822,.3974704742431641,580482,-.3104944229125977,matched (3),1612796.4,.88550168,2200536.3,2854595.8
201008,902212,607,4771,5548241,08,0,0,0,0,0,0,1,0,0,0,0,141832,.8562231063842773,959506,244081,129844,.732640266418457,810553,.1658916473388672,812968,.4586687088012695,1727,58154,-.6119089126586914,13007,29344,-.8903713226318359,200923,.540252685546875,202340,3.783676147460938,75206,.3379364013671875,159619,-.2214746475219727,411159,.3317537307739258,10570,-1.323709487915039,219203,4147535,-.0437393188476563,15310179,-.0827903747558594,802147,-.5331077575683594,166539,-.6527385711669922,72243,-.2452144622802734,25884,-.8505706787109375,717310,-1.269840240478516,4325001,-.2391891479492188,88835,305551,747893,9978,1.031464576721191,1913934,.4429435729980469,22858,.7861499786376953,1076471,4033,932674,.3634634017944336,89267,253979,-.0519609451293945,1498949,.0601634979248047,16376,.7662220001220703,1821183,-.0434532165527344,22664,-.2416439056396484,2738065,-.0289325714111328,4884854,-.251338005065918,31850,4791211,238030,.0271472930908203,51452,1.940657615661621,111725,-1.208977699279785,166456,.7700691223144531,400401,.2436408996582031,523908,-.1025428771972656,matched (3),3977172.5,.88550168,1677178,2473718.5
201009,902212,608,4771,4481359,09,0,0,0,0,0,0,0,1,0,0,0,289884,.7148380279541016,775808,191686,36464,-1.270008087158203,947680,.1563005447387695,400928,-.7069101333618164,2994,57002,-.0200080871582031,4816,31187,.0609130859375,68177,-1.080814361572266,47315,-1.453122138977051,65473,-.1385936737060547,142765,-.1115894317626953,392369,-.0467767715454102,100804,2.255158424377441,171646,4680446,.1208791732788086,17524938,.1351070404052734,1293659,.4779386520385742,324970,.6685037612915039,174154,.8799047470092773,70060,.9957265853881836,2324033,1.175551414489746,5493097,.2390804290771484,103452,195734,379878,16004,.4724569320678711,2787656,.3760404586791992,19671,-.1501550674438477,713845,26005,593329,-.4523067474365234,177697,337363,.2839078903198242,4084998,1.002556800842285,23209,.3487234115600586,3037474,.5115394592285156,56114,.9066076278686523,2526595,-.0803794860839844,3964235,-.208827018737793,55947,4006645,1155342,1.579754829406738,16833,-1.117308616638184,41140,-.9990596771240234,133767,-.2186317443847656,337271,-.1715793609619141,593480,.1246871948242188,matched (3),776915.94,.88550168,1707909.4,2494656.5
201010,902212,609,4771,3756403,10,0,0,0,0,0,0,0,0,1,0,0,101728,-1.047178268432617,1241709,76642,35528,-.0260047912597656,563508,-.5198354721069336,235700,-.5312213897705078,7671,41176,-.325230598449707,4785,73718,.8602457046508789,208765,1.119101524353027,5968,-2.070415496826172,32642,-.6960372924804688,177338,.2168569564819336,229610,-.5358209609985352,67901,-.3951272964477539,142999,4719688,.0083494186401367,17935108,.0231342315673828,902624,-.35992431640625,352327,.0808267593383789,124923,-.3322429656982422,144265,.7222995758056641,767239,-1.108261108398438,4612428,-.1747379302978516,31694,310746,752591,20404,.2428922653198242,3110073,.1094455718994141,26029,.2800655364990234,620840,0,765294,.2545108795166016,139290,250722,-.2968149185180664,2307519,-.5711479187011719,48918,.74560546875,2521710,-.1860885620117188,23860,-.8551816940307617,2464199,-.0250053405761719,5597977,.3450927734375,22906,4436147,926109,-.2211589813232422,8309,-.7060012817382813,27702,-.3954763412475586,103569,-.2558612823486328,508688,.4109477996826172,550056,-.0759830474853516,matched (3),123646.9,.88550168,1498809.1,2356435
